개발도상국의	개발도상국/NNG+의/JKG
장애인	장애인/NNG
현실은?	현실/NNG+은/JX+?/SF

개발도상국인	개발도상국/NNG+이/VCP+ㄴ/ETM
필리핀,	필리핀/NNP+,/SP
몽골,	몽골/NNP+,/SP
네팔	네팔/NNP
등의	등/NNB+의/JKG
장애인	장애인/NNG
현실은	현실/NNG+은/JX
어떨까?2012아태장애인대회	어떻/VA+ㄹ까/EF+?/SF+2012/SN+아태장애인대회/NNG
이틀째인	이틀/NNG+째/XSN+이/VCP+ㄴ/ETM
25일	25/SN+일/NNB
오전	오전/NNG
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
직·간접적	직/NNG+·/SP+간접적/NNG
차별	차별/NNG
보고대회에서	보고대회/NNG+에서/JKB
개발도상국	개발도상국/NNG
장애인들은	장애인/NNG+들/XSN+은/JX
교육·노동	교육/NNG+·/SP+노동/NNG
분야	분야/NNG
등에서	등/NNB+에서/JKB
차별을	차별/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

필리핀	필리핀/NNP
라이트헤븐장애인자립생활센터	라이트헤븐/NNP+장애인자립생활센터/NNG
에릭존	에릭존/NNP
디(Ericzon	디/NNG+(/SS+Ericzon/SL
Dy)는	Dy/SL+)/SS+는/JX
“학교를	“/SN+학교/NNG+를/JKO
졸업하지	졸업하/VV+지/EC
못한,	못하/VX+ㄴ/ETM+,/SP
학교에	학교/NNG+에/JKB
가지	가/VV+지/EC
못하는	못하/VX+는/ETM
장애아동이	장애아동/NNG+이/JKS
많다	많/VA+다/EC

장애인들에게는	장애인/NNG+들/XSN+에게/JKB+는/JX
학교교육이	학교교육/NNG+이/JKS
제공되지	제공되/VV+지/EC
않고	않/VX+고/EC
있으며	있/VX+으며/EC
접근부터	접근/NNG+부터/JX
어려운	어렵/VA+ㄴ/ETM
현실”이라고	현실”/NNG+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

특히	특히/MAG
필리핀은	필리핀/NNP+은/JX
교통(이동)에	교통/NNG+(/SS+이동/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
접근성	접근성/NNG
문제가	문제/NNG+가/JKS
사회적으로	사회적/NNG+으로/JKB
간과되고	간과되/VV+고/EC
있다고	있/VX+다고/EC
주장했다	주장하/VV+였/EP+다/EF

교통	교통/NNG
접근을	접근/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
인프라를	인프라/NNG+를/JKO
구축하는데	구축하/VV+는/ETM+데/NNB
비용이	비용/NNG+이/JKS
많이	많이/MAG
들기	들/VV+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
것	것/NNB

에릭존	에릭존/NNP
디는	디/NNG+는/JX
“물론	“/SN+물론/MAG
비용이	비용/NNG+이/JKS
다소	다소/MAG
들겠지만	들/VV+겠/EP+지만/EC
사회가	사회/NNG+가/JKS
장애인을	장애인/NNG+을/JKO
고려한다면	고려하/VV+ㄴ다면/EC
접근성을	접근성/NNG+을/JKO
마련해주려는	마련하/VV+여/EC+주/VX+려는/ETM
노력이	노력/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC

사회적	사회적/NNG
편견도	편견/NNG+도/JX
문제로	문제/NNG+로/JKB
지적됐다	지적되/VV+었/EP+다/EF

장애인은	장애인/NNG+은/JX
단순히	단순히/MAG
가족과	가족/NNG+과/JC
사회에	사회/NNG+에/JKB
짐이	짐/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
편견,	편견/NNG+,/SP
돌봄의	돌봄/NNG+의/JKG
대상으로	대상/NNG+으로/JKB
간주되고	간주되/VV+고/EC
잇다는	잇/VX+다는/ETM
것이다	것/NNB+이/VCP+다/EC

에릭존	에릭존/NNP
디는	디/NP+는/JX
“사회활동에	“/SN+사회활동/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
휠체어	휠체어/NNG
등의	등/NNB+의/JKG
보조기구와	보조기구/NNG+와/JC
활동보조인이	활동보조인/NNG+이/JKS
필요하지만	필요하/VA+지만/EC
현실은	현실/NNG+은/JX
녹녹치	녹녹하/VA+지/EC
않다”며	않/VX+다/EC+”/VV+며/EC
“정부는	“/SL+정부/NNG+는/JX
장애인의	장애인/NNG+의/JKG
어려움을	어려움/NNG+을/JKO
이해하려고	이해하/VV+려고/EC
노력해야	노력하/VV+여야/EC
하고	하/VX+고/EC
액션플랜으로	액션플랜/NNG+으로/JKB
잡아야	잡/VV+아야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

몽골	몽골/NNP
보편적진보자립생활센터	보편적진보자립생활센터/NNG
게레세트섹	게레세트/NNG+섹/JKB
런디잔산(Gereltsetseg	런디잔산/NNG+(/SS+Gereltsetseg/SL
Lundeejantsan)	Lundeejantsan/SL+)/SS
동료상담가는	동료상담/NNG+가/XSN+는/JX
“몽골은	“/SN+몽골/NNP+은/JX
의학적	의학적/NNG
모델이	모델/NNG+이/JKS
지배하는	지배하/VV+는/ETM
구조로	구조/NNG+로/JKB
지역사회에서	지역사회/NNG+에서/JKB
부정적	부정적/NNG
태도가	태도/NNG+가/JKS
나타나고	나타나/VV+고/EC
있고	있/VX+고/EC
노동력	노동력/NNG
손실의	손실/NNG+의/JKG
주체로	주체/NNG+로/JKB
보고	보/VV+고/EC
있다”고	있/VX+다”고/EC
토로했다	토로하/VV+였/EP+다/EF

현재	현재/MAG
몽골의	몽골/NNP+의/JKG
전체	전체/NNG
장애인은	장애인/NNG+은/JX
10만8000여명으로	10/SN+만/NR+8000/SN+여/XSN+명/NNB+으로/JKB
이중	이/MM+중/NNB
30%가	30/SN+%/SW+가/JKS
선천적	선천적/NNG
장애인이며,	장애인/NNG+이/VCP+며/EC+,/SP
15%가	15/SN+%/SW+가/JKS
중증장애인이다	중증장애인/NNG+이/VCP+다/EC

게레세트섹	게레세트섹/NNP
런디잔산	런디잔산/NNG
동료상담가는	동료상담가/NNG+는/JX
교육과	교육/NNG+과/JKB
관련해	관련하/VV+여/EC
“학교	“/SN+학교/NNG
접근의	접근/NNG+의/JKG
어려움과	어려움/NNG+과/JC
교사의	교사/NNG+의/JKG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해부족으로	이해부족/NNG+으로/JKB
장애아동에	장애아동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
교육이	교육/NNG+이/JKS
진행되지	진행되/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
구조”라고	구조”/NNG+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

또한	또한/MAG
“장애인의	“/SL+장애인/NNG+의/JKG
노동은	노동/NNG+은/JX
법률로써	법률/NNG+로써/JKB
인정하고	인정하/VV+고/EC
있지만	있/VX+지만/EC
잘	잘/MAG
지켜지지	지키/VV+어/EC+지/VX+지/EC
않고	않/VX+고/EC
있다	있/VX+다/EC

직업	직업/NNG
환경	환경/NNG
접근성,	접근성/NNG+,/SP
고용주	고용주/NNG
의지	의지/NNG
부족에서	부족/NNG+에서/JKB
기인한	기인하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
“기본적으로	“/SL+기본적/NNG+으로/JKB
몽골은	몽골/NNP+은/JX
장애인의	장애인/NNG+의/JKG
자립을	자립/NNG+을/JKO
존중하고	존중하/VV+고/EC
있지	있/VX+지/EC
않으며,	않/VX+으며/EC+,/SP
의사들도	의사/NNG+들/XSN+도/JX
의학적	의학적/NNG
진단에만	진단/NNG+에/JKB+만/JX
치우지고	치우지/VV+고/EC
심리,	심리/NNG+,/SP
출산	출산/NNG
등에	등/NNB+에/JKB
관심과	관심/NNG+과/JC
고려도	고려/NNG+도/JX
없다”며	없/VA+다/EC+”/VX+며/EC
몽골의	몽골/NNP+의/JKG
현실을	현실/NNG+을/JKO
꼬집었다	꼬집/VV+었/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
네팔	네팔/NNP
카트만두	카트만두/NNP
장애인을위한자립생활센터	장애인을위한자립생활센터/NNG
자무나	자무/NNG+나/JC
수베디(Jamuna	수베디/NNG+(/SS+Jamuna/SL
Subedi)	Subedi/SL+)/SS
전무이사는	전무이사/NNG+는/JX
장애인활동가들의	장애인활동가/NNG+들/XSN+의/JKG
교육을	교육/NNG+을/JKO
통해	통하/VV+여/EC
각국의	각국/NNG+의/JKG
변화를	변화/NNG+를/JKO
이끌어내야	이끌/VV+어/EC+내/VX+어야/EC
한다고	하/VX+ㄴ다고/EC
강조했다	강조하/VV+였/EP+다/EC

자무나	자무/NNG+나/JC
수베디	수베디/NNP
전무이사는	전무이사/NNG+는/JX
“네팔	“/SN+네팔/NNP
역시	역시/MAG
2006년	2006/SN+년/NNB
장애인권리협약을	장애인권리협약/NNG+을/JKO
비준했음에도	비준하/VV+였/EP+음/ETN+에/JKB+도/JX
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사회적	사회적/NNG
환경이	환경/NNG+이/JKS
열약하고	열약하/VA+고/EC
인식이	인식/NNG+이/JKS
부족하다”며	부족하/VA+다/EC+”/VV+며/EC
“각국	“/SN+각국/NNG
장애인활동가들의	장애인활동가/NNG+들/XSN+의/JKG
교육을	교육/NNG+을/JKO
통해	통하/VV+여/EC
이	이/NP
같은	같/VA+은/ETM
문제를	문제/NNG+를/JKO
해결해	해결하/VV+여/EC
나가야	나가/VX+아야/EC
한다”고	하/VX+ㄴ다”고/EC
피력했다	피력하/VV+었/EP+다/EC

이어	이어/MAG
“장애인자립생활센터를	“/SN+장애인자립생활센터/NNG+를/JKO
확대	확대/NNG
강화하고,	강화하/VV+고/EC+,/SP
이번	이번/NNG
대회처럼	대회/NNG+처럼/JKB
국제적인	국제적/NNG+이/VCP+ㄴ/ETM
교류에	교류/NNG+에/JKB
적극성을	적극성/NNG+을/JKO
둬야	두/VV+어야/EC
정보	정보/NNG
공유	공유/NNG
등이	등/NNB+이/JKS
활발하게	활발하/VA+게/EC
이뤄질	이루어지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
