‘2013년	‘/SL+2013/SN+년/NNB
복지제도	복지제도/NNG
이렇게	이렇/VA+게/EC
달라진다’	달라지/VV+ㄴ다/EF+’/SW

보건복지부(장관	보건복지부/NNG+(/SS+장관/NNG
임채민)가	임채민/NNP+)/SS+가/JKS
27일	27/SN+일/NNB
홈페이지(http://www	홈페이지/NNG+(/SS+http/SL+:///SP+www/SL

mw	mw/SL

go	go/SL

kr)에	kr/SL+)/SS+에/JKB
'2013년부터	'/SS+2013/SN+년/NNB+부터/JX
이렇게	이렇/VA+게/EC
달라집니다'	달라지/VV+ㅂ니다/EF+'/SS
자료를	자료/NNG+를/JKO
게재했다	게재하/VV+였/EP+다/EF

이	이/MM
자료에는	자료/NNG+에/JKB+는/JX
장애인활동지원제도	장애인활동지원제/NNG+도/JX
대상	대상/NNG
2급	2/SN+급/NNG
장애인까지	장애인/NNG+까지/JX
확대,	확대/NNG+,/SP
장애인연금	장애인연금/NNG
부가급여	부가급/NNG+이/VCP+어/EC
2만원	2/SN+만/NR+원/NNB
상향	상향/NNG
등의	등/NNB+의/JKG
내용이	내용/NNG+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EF

장애아동재활치료서비스	장애아동재활치료서비스/NNG
대상	대상/NNG
확대,	확대/NNG+,/SP
국민기초생활보장	국민기초생활보장/NNG
수급자의	수급자/NNG+의/JKG
부양의무자	부양의무자/NNG
기준	기준/NNG
등	등/NNB
선정기준	선정기준/NNG
완화,	완화/NNG+,/SP
기초노령연금	기초노령연금/NNG
지급대상자	지급대상자/NNG
선정기준액	선정기준액/NNG
확대	확대/NNG
등은	등/NNB+은/JX
국회	국회/NNG
예산	예산/NNG
심의	심의/NNG
후	후/NNG
확정될	확정되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

새해	새해/NNG
달라지는	달라지/VV+는/ETM
복지부	복지부/NNG
제도들을	제도/NNG+들/XSN+을/JKO
소개한다	소개하/VV+ㄴ다/EF

장애인연금의	장애인연금/NNG+의/JKG
부가급여	부가급여/NNG
2만원	2/SN+만/NR+원/NNB
인상=	인상/NNG+=/SW
1월부터	1/SN+월/NNB+부터/JX
중증장애인에게	중증장애인/NNG+에게/JKB
장애로	장애/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
추가비용을	추가비용/NNG+을/JKO
보전하기	보전하/VV+기/ETN
위해	위하/VV+여/EC
현재	현재/MAG
지급하고	지급하/VV+고/EC
있는	있/VX+는/ETM
장애인연금의	장애인연금/NNG+의/JKG
부가급여	부가급여/NNG
지급액이	지급액/NNG+이/JKS
