감사원	감사원/NNG
"복지서비스	"/SS+복지서비스/NNG
전달체계에	전달체계/NNG+에/JKB
`구멍'"	`/SW+구멍/NNG+'"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
이한승	이한승/NNP
기자	기자/NNG
=	=/SW
사회복지	사회복지/NNG
서비스	서비스/NNG
제공자와	제공자/NNG+와/JC
수급자	수급/NNG+자/XSN
사이의	사이/NNG+의/JKG
복지전달체계에	복지전달체계/NNG+에/JKB
허점이	허점/NNG+이/JKS
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

감사원은	감사원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5월17일부터	5/SN+월/NNB+17/SN+일/NNB+부터/JX
6월22일까지	6/SN+월/NNB+22/SN+일/NNB+까지/JX
실시한	실시하/VV+ㄴ/ETM
복지사업	복지사업/NNG
현장실태에	현장실태/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
종합점검	종합점검/NNG
결과를	결과/NNG+를/JKO
11일	11/SN+일/NNB
공개했다	공개하/VV+였/EP+다/EC

감사원에	감사원/NNG+에/JKB
따르면	따르/VV+면/EC
24개	24/SN+개/NNB
시ㆍ군ㆍ구에서는	시/NNG+ㆍ/SP+군/NNG+ㆍ/SP+구/NNG+에서/JKB+는/JX
배우자의	배우자/NNG+의/JKG
소득이	소득/NNG+이/JKS
복지도우미	복지도우미/NNG
선정	선정/NNG
기준을	기준/NNG+을/JKO
초과하는데도	초과하/VV+는데/EC+도/JX
31명을	31/SN+명/NNB+을/JKO
복지도우미로	복지도우미/NNG+로/JKB
선정했다	선정하/VV+였/EP+다/EF

특히	특히/MAG
부양자의	부양자/NNG+의/JKG
월	월/NNG
소득금액이	소득금액/NNG+이/JKS
1천만원	1/SN+천만/NR+원/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
사람도	사람/NNG+도/JX
5명,	5/SN+명/NNB+,/SP
부양자인	부양자/NNG+이/VCP+ㄴ/ETM
아버지의	아버지/NNG+의/JKG
직업이	직업/NNG+이/JKS
공무원인	공무원/NNG+이/VCP+ㄴ/ETM
사람도	사람/NNG+도/JX
49명	49/SN+명/NNB
포함돼	포함되/VV+어/EC
있었다	있/VX+었/EP+다/EF

또	또/MAG
19개	19/SN+개/NNB
시ㆍ군ㆍ구	시/NNG+ㆍ/SP+군/NNG+ㆍ/SP+구/XPN
30개	30/SN+개/NNB
어린이집은	어린이집/NNG+은/JX
근무하지도	근무하/VV+지/EC+도/JX
않은	않/VX+은/ETM
보육교사	보육교사/NNG
32명을	32/SN+명/NNB+을/JKO
허위로	허위/NNG+로/JKB
등록해	등록하/VV+여/EC
3억6천여만원의	3/SN+억/NR+6/SN+천/NR+여/XSN+만/NR+원/NNB+의/JKG
보조금을	보조금/NNG+을/JKO
부당	부당/NNG
수령해	수령하/VV+여/EC
적발됐다	적발되/VV+었/EP+다/EF

52개	52/SN+개/NNB
시ㆍ군ㆍ구는	시/NNG+ㆍ/SP+군/NNG+ㆍ/SP+구/NNG+는/JX
1억원	1/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
비상장주식을	비/XPN+상장주식/NNG+을/JKO
보유한	보유하/VV+ㄴ/ETM
80명을	80/SN+명/NNB+을/JKO
국민기초생활보호	국민기초생활보호/NNP
수급자로	수급/NNG+자/XSN+로/JKB
선정해	선정하/VV+여/EC
3억여원을	3/SN+억/NR+여/XSN+원/NNB+을/JKO
부당	부당/NNG
지급했고,	지급하/VV+였/EP+고/EC+,/SP
464명은	464/SN+명/NNB+은/JX
21억3천여만원의	21/SN+억/NR+3/SN+천/NR+여/XSN+만/NR+원/NNB+의/JKG
생계급여를	생계급여/NNG+를/JKO
과다	과다/NNG
수령했다	수령하/VV+였/EP+다/EC

3개	3/SN+개/NNB
시ㆍ군ㆍ구에서는	시/NNG+ㆍ/SP+군/NNG+ㆍ/SP+구/NNG+에서/JKB+는/JX
지난	지나/VV+ㄴ/ETM
2001년	2001/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
2012년	2012/SN+년/NNB
5월까지	5/SN+월/NNB+까지/JX
장애	장애/NNG
재(再)	재/NNG+(/SS+再/SL+)/SS
판정	판정/NNG
의무를	의무/NNG+를/JKO
이행하지	이행하/VV+지/EC
않은	않/VX+은/ETM
434명이	434/SN+명/NNB+이/JKS
장애인	장애인/NNG
자격을	자격/NNG+을/JKO
그대로	그대로/MAG
유지한	유지하/VV+ㄴ/ETM
채	채/NNB
장애수당	장애수당/NNG
