장애연금	장애연금/NNG
못받는	못/MAG+받/VV+는/ETM
국민연금	국민연금/NNG
‘적용제외자’	‘/SN+적용제외자’/NNG
늘어	늘/VV+어/EC

장애를	장애/NNG+를/JKO
입으면	입/VV+으면/EC
장애연금을	장애연금/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
국민연금	국민연금/NNG
‘적용제외자’가	‘/SN+적용제외/NNG+자/XSN+’/SL+가/JKS
늘어나고	늘어나/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
최동익	최동익/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
23일	23/SN+일/NNB
국민연금공단	국민연금공단/NNG
국정감사자료를	국정감사자료/NNG+를/JKO
통해	통하/VV+여/EC
과거	과거/NNG
국민연금	국민연금/NNG
보험료	보험료/NNG
납부이력은	납부이력/NNG+은/JX
있지만	있/VA+지만/EC
현재는	현재/NNG+는/JX
보험료를	보험료/NNG+를/JKO
납부하지	납부하/VV+지/EC
않아	않/VX+아/EC
연금혜택에서	연금혜택/NNG+에서/JKB
차별을	차별/NNG+을/JKO
받는	받/VV+는/ETM
국민연금	국민연금/NNG
‘적용제외자’들이	‘/SN+적용제외자’/NNG+들/XSN+이/JKS
10년	10/SN+년/NNB
동안	동안/NNG
538만명이나	538/SN+만/NR+명/NNB+이나/JX
되는	되/VV+는/ETM
것으로	것/NNB+으로/JKB
확인됐다고	확인되/VV+었/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

국민연금	국민연금/NNG
‘적용제외자’란	‘/SN+적용제외/NNG+자/XSN+’/SN+란/JX
국민염금	국민염금/NNG
의무가입대상에서	의무가입대상/NNG+에서/JKB
제외되는	제외되/VV+는/ETM
자로서,	자/NNB+로서/JKB+,/SP
국민연금	국민연금/NNG
노령연금수급자,	노령연금수급/NNG+자/XSN+,/SP
타공적연금가입자	타공적연금가입자/NNG
및	및/MAG
수급자,	수급자/NNG+,/SP
기초생활수급자,	기초생활수급/NNG+자/XSN+,/SP
국민연금가입자	국민연금가입자/NNG
및	및/MAG
노령연금	노령연금/NNG
주급자의	주급/NNG+자/XSN+의/JKG
무소득	무소득/NNG
배우자,	배우/VV+자/EC+,/SP
타공적연금가입자	타공적연금가입자/NNG
및	및/MAG
수급자의	수급자/NNG+의/JKG
무소득배우자	무소득배우자/NNG
등이	등/NNB+이/JKS
포함된다	포함되/VV+ㄴ다/EC

