치아홈메우기,	치아홈메우기/NNP+,/SP
10월부터	10/SN+월/NNB+부터/JX
보험적용	보험적용/NNG
확대	확대/NNG

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)는	복지부/NNG+)/SS+는/JX
오는	오/VV+는/ETM
10월1일부터	10/SN+월/NNB+1/SN+일/NNB+부터/JX
어린이	어린이/NNG
충치예방에	충치예방/NNG+에/JKB
효과적인	효과적/NNG+이/VCP+ㄴ/ETM
치아홈메우기의	치아홈메우기/NNG+의/JKG
보험적용을	보험적용/NNG+을/JKO
확대	확대/NNG
시행하는	시행하/VV+는/ETM
'국민건강보험	'/SS+국민건강보험/NNG
요양급여의	요양급여/NNG+의/JKG
기준에	기준/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
규칙'을	규칙/NNG+'/SS+을/JKO
공포했다	공포하/VV+였/EP+다/EC

6세	6/SN+세/NNB
미만	미만/NNG
어린이	어린이/NNG
중	중/NNB
4만1천명에서는	4/SN+만/NR+1/SN+천/NR+명/NNB+에서/JKB+는/JX
치아발육이	치아발육/NNG+이/JKS
빨라	빠르/VA+아/EC
제1큰어금니가	제/XPN+1/SN+큰어금니/NNG+가/JKS
났는데도	나/VV+았/EP+는데/EC+도/JX
연령	연령/NNG
때문에	때문/NNB+에/JKB
보험적용이	보험적용/NNG+이/JKS
되지	되/VV+지/EC
않아	않/VX+아/EC
기다려야	기다리/VV+어야/EC
했던	하/VX+였/EP+던/ETM
것을	것/NNB+을/JKO
하한연령을	하한연령/NNG+을/JKO
삭제해	삭제하/VV+여/EC
불편을	불편/NNG+을/JKO
없앴다	없애/VV+었/EP+다/EF

또한	또한/MAG
제2큰어금니(제2대구치)는	제/XPN+2/SN+큰어금니/NNG+(/SS+제/XPN+2/SN+대구치/NNG+)/SS+는/JX
제1큰어금니와	제/XPN+1/SN+큰어금니/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
1년	1/SN+년/NNB
이내에	이내/NNG+에/JKB
충치가	충치/NNG+가/JKS
발생할	발생하/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
높은	높/VA+은/ETM
치아로	치아/NNG+로/JKB
14세이하	14/SN+세/NNB+이하/NNG
소아	소아/NNG
중	중/NNB
77천명이	77/SN+천/NR+명/NNB+이/JKS
추가로	추가/NNG+로/JKB
보험적용을	보험적용/NNG+을/JKO
함으로써	하/VV+ㅁ/ETN+으로써/JKB
충치예방	충치예방/NNG
효과를	효과/NNG+를/JKO
극대화할	극대화하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이번	이번/NNG
건강보험적용	건강보험적/NNG+용/XSN
확대로	확대/NNG+로/JKB
연간	연간/NNG
58억원의	58/SN+억/NR+원/NNB+의/JKG
재정이	재정/NNG+이/JKS
추가로	추가/NNG+로/JKB
쓰일	쓰이/VV+ㄹ/ETM
전망이다	전망/NNG+이/VCP+다/EC

이는	이/NP+는/JX
대상	대상/NNG
어린이의	어린이/NNG+의/JKG
수검률(9	수검률/NNG+(/SS+9/SN

8%),	8/SN+%/SW+)/SS+,/SP
1인당	1/SN+인/NNG+당/XSN
돋아난	돋아나/VV+ㄴ/ETM
치아수와	치아수/NNG+와/JC
충치가	충치/NNG+가/JKS
발생하지	발생하/VV+지/EC
않은	않/VX+은/ETM
건전한	건전하/VA+ㄴ/ETM
치아수를	치아수/NNG+를/JKO
고려한	고려하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
6세미만의	6/SN+세/NNB+미만/NNG+의/JKG
어린이가	어린이/NNG+가/JKS
추가되면서	추가되/VV+면서/EC
8	8/SN

4억원,	4/SN+억/NR+원/NNB+,/SP
14세	14/SN+세/NNB
미만의	미만/NNG+의/JKG
제2큰어금니가	제/XPN+2/SN+큰어금니/NNG+가/JKS
추가되면서	추가되/VV+면서/EC
49	49/SN

2억원이	2/SN+억/NR+원/NNB+이/JKS
추가로	추가/NNG+로/JKB
소요될	소요되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
장애인	장애인/NNG
치과진료의	치과진료/NNG+의/JKG
접근성	접근성/NNG
제고	제고/NNG
등을	등/NNB+을/JKO
위해	위하/VV+여/EC
10월	10/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
가산이	가산/NNG+이/JKS
인정되는	인정되/VV+는/ETM
장애인	장애인/NNG
범위를	범위/NNG+를/JKO
확대했다	확대하/VV+였/EP+다/EC

장애인	장애인/NNG
가산인정	가산인정/NNG
대상범위는	대상범위/NNG+는/JX
기존	기존/NNG
뇌성마비,	뇌성마비/NNG+,/SP
지적장애인에게만	지적장애인/NNG+에게/JKB+만/JX
해당됐으나,	해당되/VV+었/EP+으나/EC+,/SP
자폐성	자폐성/NNG
장애,	장애/NNG+,/SP
정신장애,	정신장애/NNG+,/SP
뇌병변	뇌병변/NNG
장애로	장애/NNG+로/JKB
확대됐다	확대되/VV+었/EP+다/EF

다만,	다만/MAG+,/SP
가산	가산/NNG
확대로	확대/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
본인부담금	본인부담금/NNG
추가	추가/NNG
부담은	부담/NNG+은/JX
실질적으로	실질적/NNG+으로/JKB
의료접근성을	의료접근성/NNG+을/JKO
저해할	저해하/VV+ㄹ/ETM
수	수/NNB
있으므로	있/VA+으므로/EC
국민건강보험법	국민건강보험법/NNG
시행령을	시행령/NNG+을/JKO
동시에	동시/NNG+에/JKB
개정하여	개정하/VV+여/EC
가산	가산/NNG
신설에	신설/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
추가	추가/NNG
본인부담금은	본인부담금/NNG+은/JX
늘지	늘/VV+지/EC
않도록	않/VX+도록/EC
했다	하/VX+였/EP+다/EF

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
"치아홈메우기	"/SS+치아홈메우기/NNP
보험적용	보험적용/NNG
확대와	확대/NNG+와/JC
장애인	장애인/NNG
가산제도	가산제도/NNG
신설에	신설/NNG+에/JKB
따라	따르/VV+아/EC
충치예방	충치예방/NNG
효과	효과/NNG
극대화와	극대화/NNG+와/JC
장애인	장애인/NNG
치과진료	치과진료/NNG
접근성	접근성/NNG
제고를	제고/NNG+를/JKO
통해	통하/VV+여/EC
청소년기,	청소년기/NNG+,/SP
성인기,	성인기/NNG+,/SP
노년기	노년기/NNG
및	및/MAG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구강건강	구강건강/NNG
향상에	향상/NNG+에/JKB
기여할	기여하/VV+ㄹ/ETM
것"으로	것/NNB+"/SS+으로/JKB
기대감을	기대감/NNG+을/JKO
드러냈다	드러내/VV+었/EP+다/EF
