"턱	"/SS+턱/NNG
없이	없이/MAG
낮은	낮/VA+은/ETM
장애인시설	장애인시설/NNG
급식비"	급식비/NNG+"/SS

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
김정록	김정록/NNP
의원(새누리당)이	의원/NNG+(/SS+새누리당/NNP+)/SS+이/JKS
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
열린	열리/VV+ㄴ/ETM
‘제310회	‘/SN+제/XPN+310/SN+회/NNB
국회	국회/NNG
제1차	제/XPN+1/SN+차/NNB
보건복지위원회-2011년	보건복지위원회/NNG+-/SO+2011/SN+년/NNB
회계연도	회계연도/NNG
결산’에서	결산/NNG+’/SL+에서/JKB
장애인	장애인/NNG
시설과	시설/NNG+과/JKB
관련한	관련하/VV+ㄴ/ETM
문제점을	문제점/NNG+을/JKO
임채민	임채민/NNG
복지부	복지부/NNG
장관에	장관/NNG+에/JKB
집중추궁했다	집중/NNG+추궁하/VV+였/EP+다/EF

이날	이날/NNG
김정록	김정록/NNP
의원은	의원/NNG+은/JX
장애인시설	장애인시설/NNG
급식비,	급식비/NNG+,/SP
장애인복지시설	장애인복지시설/NNG
기능보강사업	기능보강사업/NNG
불용액,	불용액/NNG+,/SP
장애인시설	장애인시설/NNG
기능보강	기능보강/NNG
단가	단가/NNG
등	등/NNB
3가지를	3/SN+가지/NNB+를/JKO
지적하며,	지적하/VV+며/EC+,/SP
대책마련을	대책마련/NNG+을/JKO
주문했다	주문하/VV+였/EP+다/EF

김	김/NNP
의원은	의원/NNG+은/JX
“장애인복지시설	“/SL+장애인복지시설/NNG
협회	협회/NNG
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
장애인거주시설	장애인거주시설/NNG
장애인의	장애인/NNG+의/JKG
한	한/MM
끼	끼/NNG
식사비는	식사비/NNG+는/JX
1368원으로	1368/SN+원/NNB+으로/JKB
이는	이/NP+는/JX
기초생활수급권자	기초생활수급권자/NNG
1508원보다	1508/SN+원/NNB+보다/JKB
낮은	낮/VA+은/ETM
금액임은	금액/NNG+이/VCP+ㅁ/ETN+은/JX
물론,	물론/MAG+,/SP
단체급식기관인	단체급식기관/NNG+이/VCP+ㄴ/ETM
특수학교	특수학교/NNG
2084원,	2084/SN+원/NNB+,/SP
초등학교	초등학교/NNG
1908원,	1908/SN+원/NNB+,/SP
군	군/NNG
장병	장병/NNG
1940원과도	1940/SN+원/NNB+과/JKB+도/JX
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
난다”라고	나/VV+ㄴ다/EC+”/SL+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
김	김/NNP
의원은	의원/NNG+은/JX
“1368원은	“/SL+1368/SN+원/NNB+은/JX
장애인의	장애인/NNG+의/JKG
특성상	특성/NNG+상/XSN
반드시	반드시/MAG
필요한	필요하/VA+ㄴ/ETM
개별식,	개별식/NNG+,/SP
치료식	치료식/NNG
등의	등/NNB+의/JKG
영양식단을	영양식단/NNG+을/JKO
구성하기에도	구성하/VV+기/ETN+에/JKB+도/JX
너무나	너무나/MAG
부족한	부족하/VA+ㄴ/ETM
지원”이라고	지원”/NNG+이/VCP+라고/EC
지적하며,	지적하/VV+며/EC+,/SP
장애인의	장애인/NNG+의/JKG
특성과	특성/NNG+과/JC
외부단체	외부단체/NNG
급식기관과의	급식기관/NNG+과/JKB+의/JKG
‘형평성’을	‘/SL+형평성/NNG+’/SL+을/JKO
고려한	고려하/VV+ㄴ/ETM
수급비	수급비/NNG
책정을	책정/NNG+을/JKO
검토할	검토하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다	주문하/VV+였/EP+다/EF

이에	이/NP+에/JKB
임	임/NNP
장관은	장관/NNG+은/JX
