480만	480/SN+만/NR
장애인	장애인/NNG
울린	울리/VV+ㄴ/ETM
‘활동지원제도’	‘/SN+활동지원제도’/NNG

[2012년	[/SS+2012/SN+년/NNB
결산]-①장애인활동보조(장애인활동지원제도)다사다난했던	결산/NNG+]/SS+-/SO+①/SW+장애인활동보조/NNG+(/SS+장애인활동지원제도/NNG+)/SS+다사다난했/VA+던/ETM
2012년이	2012/SN+년/NNB+이/JKS
끝나간다	끝나가/VV+ㄴ다/EC

특히	특히/MAG
4·11	4/SN+·/SP+11/SN
총선,	총선/NNG+,/SP
18대	18/SN+대/NNB
대선	대선/NNG
등으로	등/NNB+으로/JKB
유난히	유난히/MAG
다사다난했던	다사다난하/VA+였/EP+던/ETM
장애계에서	장애/NNG+계/XSN+에서/JKB
가장	가장/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
이슈는	이슈/NNG+는/JX
무엇이었을까?	무엇/NP+이/VCP+었/EP+을까/EF+?/SF
에이블뉴스가	에이블뉴스/NNP+가/JKS
인터넷설문조사를	인터넷설문조사/NNG+를/JKO
통해	통하/VV+여/EC
선정한	선정하/VV+ㄴ/ETM
‘2012년	‘/SL+2012/SN+년/NNB
장애인계	장애인계/NNG
10대	10/SN+대/NNB
키워드’를	키우/VV+어/EC+드/VX+’/SL+를/JKO
중심으로	중심/NNG+으로/JKB
한해를	한/MM+해/NNB+를/JKO
결산하는	결산하/VV+는/ETM
특집을	특집/NNG+을/JKO
전개한다	전개하/VV+ㄴ다/EC

그	그/MM
첫	첫/MM
번째는	번째/NNB+는/JX
480만의	480/SN+만/NR+의/JKG
장애인들이	장애인/NNG+들/XSN+이/JKS
목놓아	목/NNG+놓/VV+아/EC
울게	울/VV+게/EC
만든	만들/VV+ㄴ/ETM
‘장애인활동보조(장애인활동지원제도)’	‘/SN+장애인활동보조/NNG+(/SS+장애인활동지원제도/NNG+)/SS+’/SN

“장애인들을	“/SL+장애인/NNG+들/XSN+을/JKO
더	더/MAG
이상	이상/NNG
죽이지	죽이/VV+지/EC
말라”던	말/VX+라/EC+”/VX+던/ETM
그들의	그/NP+들/XSN+의/JKG
울음	울음/NNG
섞인	섞이/VV+ㄴ/ETM
절규가	절규/NNG+가/JKS
아직도	아직/MAG+도/JX
귓가를	귓가/NNG+를/JKO
맴돈다	맴돌/VV+ㄴ다/EC

이를	이/NP+를/JKO
증명하듯	증명하/VV+듯/EC
에이블뉴스가	에이블뉴스/NNP+가/JKS
실시한	실시하/VV+ㄴ/ETM
‘2012년	‘/SL+2012/SN+년/NNB
장애인계	장애인계/NNG
10대	10/SN+대/NNB
키워드’	키워드/VV+’/SL
설문조사에서는	설문조사/NNG+에서/JKB+는/JX
‘장애인활동보조’가	‘/SL+장애인활동보조/NNG+’/SL+가/JKS
최고의	최고/NNG+의/JKG
키워드로	키워드/NNG+로/JKB
뽑혔다	뽑허/VV+였/EP+다/EF

■7년만의	■/SW+7/SN+년만/NNB+의/JKG
다시	다시/MAG
이어진	이어지/VV+ㄴ/ETM
악몽=“대중들에게	악몽/NNG+=/SW+“/SN+대중/NNG+들/XSN+에게/JKB
장애인	장애인/NNG
자립생활을	자립생활/NNG+을/JKO
홍보하겠다던	홍보하/VV+겠/EP+다던/ETM
예쁜	예쁘/VA+ㄴ/ETM
주영아!	주영/NNG+아/JKV+!/SF
널	너/NP+ㄹ/JKO
외롭게	외롭/VA+게/EC
죽게해서	죽/VV+게/EC+하/VX+여서/EC
너무	너무/MAG
가슴아프다	가슴아프/VV+다/EF

잘가거라	잘/MAG+가/VV+거라/EC
주영아!”	주영아/NNG+!/SF+”/SL
그녀는	그녀/NP+는/JX
죽음으로써	죽음/NNG+으로써/JKB
다시	다시/MAG
한번	한/MM+번/NNB
장애인활동지원제도의	장애인활동지원제도/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
세상에	세상/NNG+에/JKB
알렸다	알리/VV+었/EP+다/EF

활동지원제도가	활동지원제도/NNG+가/JKS
시행된지	시행되/VV+ㄴ/ETM+지/NNB
1년만에	1/SN+년만/NNB+에/JKB
발생한	발생하/VV+ㄴ/ETM
일이라	일/NNG+이/VCP+라/EC
장애계의	장애/NNG+계/XSN+의/JKG
충격도	충격/NNG+도/JX
너무나	너무나/MAG
