김정록,	김정록/NNP+,/SP
'취약계층	'/SS+취약계층/NNG
원스탑	원스탑/NNG
결핵검진'	결핵검진/NNG+'/SS
확대	확대/NNG
주문	주문/NNG

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
김정록	김정록/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
23일	23/SN+일/NNB
대한결핵협회	대한/NNP+결핵협회/NNG
국정감사	국정감사/NNG
자료를	자료/NNG+를/JKO
통해	통하/VV+여/EC
장애인을	장애인/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
사회적	사회적/NNG
약자들을	약자/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
실시하고	실시하/VV+고/EC
있는	있/VX+는/ETM
‘취약계층	‘/SL+취약계층/NNG
원스탑	원스탑/NNG
결핵검진	결핵검진/NNG
사업’을	사업’/NNG+을/JKO
확대할	확대하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다	주문하/VV+였/EP+다/EF

‘취약계층	‘/SL+취약계층/NNG
원스탑	원스탑/NNG
결핵검진	결핵검진/NNG
사업’은	사업’/NNG+은/JX
사회복지시설·중증장애인시설·특수학교	사회복지시설/NNG+·/SP+중/XPN+증장애인시설/NNG+·/SP+특수학교/NNG
등을	등/NNB+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
전국의	전국/NNG+의/JKG
장애인시설을	장애인시설/NNG+을/JKO
직접	직접/MAG
찾는	찾/VV+는/ETM
‘출장결핵검진’	‘/SL+출장결핵검진/NNG+’/SL
사업을	사업/NNG+을/JKO
말한다	말하/VV+ㄴ다/EF

김	김/NNP
의원이	의원/NNG+이/JKS
대한결핵협회로부터	대한/NNP+결핵협회/NNG+로부터/JKB
제출받은	제출/NNG+받/VV+은/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
'취약계층	'/SS+취약계층/NNG
원스탑	원스탑/NNG
결핵검진	결핵검진/NNG
사업'을	사업/NNG+'/SS+을/JKO
통해	통하/VV+여/EC
결핵검진을	결핵검진/NNG+을/JKO
받은	받/VV+은/ETM
장애인은	장애인/NNG+은/JX
전국	전국/NNG
660여개	660/SN+여/XSN+개/NNB
시설	시설/NNG
이용자	이용자/NNG
6만여명	6/SN+만/NR+여/XSN+명/NNB
중	중/NNB
절반인	절반/NNG+이/VCP+ㄴ/ETM
3만여명인	3/SN+만/NR+여/XSN+명/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

올해	올해/NNG
9월까지	9/SN+월/NNB+까지/JX
2만	2/SN+만/NR
4천여명이	4/SN+천/NR+여/XSN+명/NNB+이/JKS
결핵검진을	결핵검진/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
확인됐다	확인되/VV+었/EP+다/EF

김	김/NNP
의원은	의원/NNG+은/JX
“사회적	“/SN+사회적/NNG
약자	약자/NNG
중에서	중/NNB+에서/JKB
가장	가장/MAG
취약계층인	취약계층/NNG+이/VCP+ㄴ/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
보다	보다/MAG
많이	많이/MAG
결핵검진의	결핵검진/NNG+의/JKG
혜택을	혜택/NNG+을/JKO
받아야	받/VV+아야/EC
한다”라며	하/VX+ㄴ다”/EC+이/VCP+라며/EC
사업	사업/NNG
확대	확대/NNG
노력을	노력/NNG+을/JKO
당부했다	당부하/VV+였/EP+다/EC
