자립	자립/NNG
위한	위하/VV+ㄴ/ETM
장애인복지법	장애인복지법/NNG
개정	개정/NNG
투쟁	투쟁/NNG
선포	선포/NNG

장애인단체들이	장애인단체/NNG+들/XSN+이/JKS
‘장애인복지법’에	‘/SL+장애인복지법’/NNG+에/JKB
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
자립생활	자립생활/NNG
실현을	실현/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
담기	담/VV+기/ETN
위한	위하/VV+ㄴ/ETM
본격적인	본격적/NNG+이/VCP+ㄴ/ETM
투쟁을	투쟁/NNG+을/JKO
선포했다	선포하/VV+였/EP+다/EF

한국장애인단체총연합회(이하	한국장애인단체총연합회/NNP+(/SS+이하/NNG
장총련)와	장총련/NNP+)/SS+와/JC
한국장애인자립생활센터총연합회(이하	한국장애인자립생활센터총연합회/NNP+(/SS+이하/NNG
한자연)는	한자연/NNP+)/SS+는/JX
6일	6/SN+일/NNB
오후	오후/NNG
1시	1/SN+시/NNB
이룸센터에서	이룸센터/NNG+에서/JKB
‘장애인복지법	‘/SN+장애인복지법/NNG
개정	개정/NNG
대정부	대/XPN+정부/NNG
투쟁	투쟁/NNG
선언'	선언/NNG+'/SS
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
필요성을	필요성/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

이들은	이/NP+들/XSN+은/JX
“현	“/SL+현/NNG
장애인복지법은	장애인복지법/NNG+은/JX
장애의	장애/NNG+의/JKG
정도가	정도/NNG+가/JKS
심하여	심하/VA+여/EC
자립하기가	자립하/VV+기/ETN+가/JKS
현저하게	현저하/VA+게/EC
곤란한	곤란하/VA+ㄴ/ETM
장애인에	장애인/NNG+에/JKB
대해	대하/VV+여/EC
평생	평생/NNG
필요한	필요하/VA+ㄴ/ETM
보호	보호/NNG
등을	등/NNB+을/JKO
행하도록	행하/VV+도록/EC
적절한	적절하/VA+ㄴ/ETM
시책을	시책/NNG+을/JKO
강구해야	강구하/VV+여야/EC
된다고	되/VV+ㄴ다고/EC
명시돼	명시되/VV+어/EC
있는	있/VX+는/ETM
등	등/NNB
의료적·재활	의료적/NNG+·/SP+재활/NNG
모델에	모델/NNG+에/JKB
멈춰있다”며	멈추/VV+어/EF+있/VX+다/EC+”/VX+며/EC
“중증장애인의	“/SL+중증장애인/NNG+의/JKG
보호에	보호/NNG+에/JKB
대해	대하/VV+여/EC
언급돼	언급되/VV+어/EC
있지만,	있/VX+지만/EC+,/SP
자립생활지원을	자립생활지원/NNG+을/JKO
제시한	제시하/VV+ㄴ/ETM
법적인	법적/NNG+이/VCP+ㄴ/ETM
근거로	근거/NNG+로/JKB
보지	보/VV+지/EC
않아	않/VX+아/EC
자립생활의	자립생활/NNG+의/JKG
행정·재정적	행정/NNG+·/SP+재정적/NNG
지원을	지원/NNG+을/JKO
받기	받/VV+기/ETN
어려워	어렵/VA+어/EC
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
자립생활	자립생활/NNG
보장은	보장/NNG+은/JX
요원하다”고	요원하/VA+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이	이/MM
자리에서	자리/NNG+에서/JKB
한자연	한자연/NNP
안진환	안진환/NNP
상임대표는	상임대표/NNG+는/JX
“장애인복지법이	“/SL+장애인복지법/NNG+이/JKS
전면개정(자립생활	전면개정/NNG+(/SS+자립생활/NNG
지원	지원/NNG
별도의	별도/NNG+의/JKG
장으로	장/NNG+으로/JKB
신설)된지	신설/NNG+)/SS+되/XSV+ㄴ/ETM+지/NNB
5년이	5/SN+년/NNB+이/JKS
지났지만,	지나/VV+았/EP+지만/EC+,/SP
자립생활을	자립생활/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책들은	정책/NNG+들/XSN+은/JX
전혀	전혀/MAG
낳아진	낳/VV+아/EC+지/VX+ㄴ/ETM
게	것/NNB+이/JKS
없다”며	없/VA+다/EC+”/VX+며/EC
“아직도	“/SL+아직/MAG+도/JX
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
지역사회에서	지역사회/NNG+에서/JKB
주체성을	주체성/NNG+을/JKO
갖고	갖/VV+고/EC
살아가기	살아가/VV+기/ETN
매우	매우/MAG
어려운	어렵/VA+ㄴ/ETM
실정”이라고	실정”/NNG+이/VCP+라고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

한자연	한자연/NNG
투쟁	투쟁/NNG
중앙위원회	중앙위원회/NNG
구근호	구근호/NNP
위원장(새날동대문장애인자립생활센터	위원장/NNG+(/SS+새날동대문장애인자립생활센터/NNG
소장)도	소장/NNG+)/SS+도/JX
“장애인복지법에	“/SN+장애인복지법/NNG+에/JKB
자립생활과	자립생활/NNG+과/JKB
관련한	관련하/VV+ㄴ/ETM
문구는	문구/NNG+는/JX
‘지원	‘/SL+지원/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있다’,	있/VA+다’/EC+,/SP
‘해야	‘/SL+하/VV+여야/EC
한다’는	하/VX+ㄴ다/EC+’/VV+는/ETM
식으로	식/NNB+으로/JKB
명시	명시/NNG
돼	되/VV+어/EC
있는데	있/VX+는데/EC
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
내용은	내용/NNG+은/JX
전혀	전혀/MAG
담고	담/VV+고/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
자립생활에	자립생활/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이름만	이름/NNG+만/JX
있을	있/VA+을/ETM
뿐”이라며	뿐/NNB+”/SL+이/VCP+라며/EC
“선언적인	“/SL+선언적/NNG+이/VCP+ㄴ/ETM
제도화가	제도화/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
중증장애인이	중증장애인/NNG+이/JKS
지역에서	지역/NNG+에서/JKB
