활동지원제도,	활동지원제도/NNG+,/SP
문제생길때만	문제생길때/NNG+만/JX
‘니	‘/SN+니/NNG
탓’	탓/NNG+’/SN

부족한	부족하/VA+ㄴ/ETM
서비스와	서비스/NNG+와/JC
자부담,	자부담/NNG+,/SP
등급판정	등급판정/NNG
등으로	등/NNB+으로/JKB
늘	늘/MAG
위협을	위협/NNG+을/JKO
당하는	당하/VV+는/ETM
장애인,	장애인/NNG+,/SP
바우처를	바우처/NNP+를/JKO
통한	통하/VV+ㄴ/ETM
임금지급	임금지급/NNG
방식으로	방식/NNG+으로/JKB
인해	인하/VV+여/EC
끊임없이	끊임없이/MAG
불안정한	불안정하/VA+ㄴ/ETM
노동상태에	노동상태/NNG+에/JKB
시달리는	시달리/VV+는/ETM
노동자	노동자/NNG

그리고	그리고/MAJ
이를	이/NP+를/JKO
손	손/VV
놓은채	놓/VX+은/ETM+채/NNB
외면하는	외면하/VV+는/ETM
정부	정부/NNG

장애인의	장애인/NNG+의/JKG
자립생활을	자립생활/NNG+을/JKO
지원하는	지원하/VV+는/ETM
활동보조지원제도가	활동보조지원제도/NNG+가/JKS
민간위탁으로	민간위탁/NNG+으로/JKB
인해	인하/VV+여/EC
인권	인권/NNG
침해,	침해/NNG+,/SP
바닥임금	바닥임금/NNG
등으로	등/NNB+으로/JKB
마찰을	마찰/NNG+을/JKO
빚고	빚/VV+고/EC
있자,	있/VX+자/EC+,/SP
관련	관련/NNG
단체가	단체/NNG+가/JKS
제도	제도/NNG
개선을	개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
냈다	내/VV+었/EP+다/EF

활동보조인연대와	활동보조인연대/NNG+와/JC
사회서비스시장화저지공동대책위는	사회서비스시장화저지공동대책위/NNG+는/JX
국가인권위원회(이하	국가인권위원회/NNG+(/SS+이하/NNG
인권위)에	인권위/NNG+)/SS+에/JKB
장애인활동지원제도의	장애인활동지원제도/NNG+의/JKG
제공과정에서	제공과정/NNG+에서/JKB
발생하는	발생하/VV+는/ETM
문제를	문제/NNG+를/JKO
해결하기	해결하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
정책	정책/NNG
점검과	점검/NNG+과/JC
제도	제도/NNG
개선	개선/NNG
권고	권고/NNG
민원을	민원/NNG+을/JKO
23일	23/SN+일/NNB
접수했다	접수하/VV+였/EP+다/EC

이들은	이/NP+들/XSN+은/JX
민원서를	민원서/NNG+를/JKO
통해	통하/VV+여/EC
정부	정부/NNG
직접고용	직접고용/NNG
및	및/MAG
기본급	기본급/NNG
보장,	보장/NNG+,/SP
서비스	서비스/NNG
확대	확대/NNG
및	및/MAG
이용제한	이용제한/NNG
폐지	폐지/NNG
생활임금	생활임금/NNG
보장	보장/NNG
및	및/MAG
근로기준법	근로기준법/NNG+,/SP
적용	적용/NNG
근골격계	근골격계/NNG
질환	질환/NNG
등	등/NNB
산재인정	산재인정/NNG
2인파견	2/SN+인파견/NNG
복지부	복지부/NNG
추가지원	추가지원/NNG
교육	교육/NNG
및	및/MAG
인권보장	인권보장/NNG
서비스표준지침	서비스표준지침/NNG
마련	마련/NNG
및	및/MAG
비현실적인	비/XPN+현실적/NNG+이/VCP+ㄴ/ETM
지침	지침/NNG
개선	개선/NNG
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
의견수렴	의견수렴/NNG
통로	통로/NNG
마련	마련/NNG
및	및/MAG
제도개선을	제도개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
계획	계획/NNG
수립	수립/NNG
권리보장을	권리보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
실질적	실질적/NNG
조치	조치/NNG
마련	마련/NNG
등을	등/NNB+을/JKO
요청했다	요청하/VV+였/EP+다/EC

이는	이/NP+는/JX
장애인활동지원제도가	장애인활동지원제도/NNG+가/JKS
정부의	정부/NNG+의/JKG
서비스에	서비스/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해	이해/NNG
부족과	부족/NNG+과/JC
무책임한	무책임하/VA+ㄴ/ETM
관리,	관리/NNG+,/SP
시장화	시장/NNG+화/XSN
기도	기도/NNG
등으로	등/NNB+으로/JKB
이용자는	이용자/NNG+는/JX
안정적이고	안정적/NNG+이/VCP+고/EC
질	질/NNG
좋은	좋/VA+은/ETM
서비스를	서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
활동보조인은	활동보조인/NNG+은/JX
온갖	온갖/MM
노동권의	노동권/NNG+의/JKG
침해와	침해/NNG+와/JC
인권침해에	인권침해/NNG+에/JKB
노출되어	노출되/VV+어/EC
있다는	있/VX+다는/ETM
주장에서	주장/NNG+에서/JKB
비롯됐다	비롯되/VV+었/EP+다/EF

이러한	이러하/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
활동보조서비스제도가	활동보조서비스제도/NNG+가/JKS
민간위탁으로	민간위탁/NNG+으로/JKB
운영됨으로	운영되/VV+ㅁ/ETN+으로/JKB
인해	인하/VV+여/EC
공공서비스로서의	공공서비스/NNG+로서/JKB+의/JKG
역할을	역할/NNG+을/JKO
제대로	제대로/MAG
수행하지	수행하/VV+지/EC
못하고,	못하/VX+고/EC+,/SP
바우처를	바우처/NNP+를/JKO
통한	통하/VV+ㄴ/ETM
임금지급	임금지급/NNG
방식으로	방식/NNG+으로/JKB
인해	인하/VV+여/EC
노동권을	노동권/NNG+을/JKO
보장할	보장하/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
설계되어	설계되/VV+어/EC
있기	있/VX+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
것	것/NNB

현재	현재/MAG
책임주체인	책임주체/NNG+이/VCP+ㄴ/ETM
복지부는	복지부/NNG+는/JX
민간위탁	민간위탁/NNG
방식으로	방식/NNG+으로/JKB
제도를	제도/NNG+를/JKO
운영하고	운영하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
이로인해	이로인하/VV+여/EC
기관	기관/NNG
간의	간/NNB+의/JKG
경쟁,	경쟁/NNG+,/SP
이용자	이용자/NNG
빼가기,	빼가/VV+기/ETN+,/SP
활동보조인과	활동보조인/NNG+과/JC
코디네이터의	코디네이터/NNG+의/JKG
노동권에	노동권/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
외면	외면/NNG
등	등/NNB
서비스의	서비스/NNG+의/JKG
질을	질/NNG+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
고민보다는	고민/NNG+보다/JKB+는/JX
운영과	운영/NNG+과/JC
수익을	수익/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
방식에	방식/NNG+에/JKB
치중할	치중하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
것이	것/NNB+이/JKS
이들의	이/NP+들/XSN+의/JKG
주장	주장/NNG

또한	또한/MAG
복지부는	복지부/NNG+는/JX
예산만을	예산/NNG+만/JX+을/JKO
편성하고	편성하/VV+고/EC
운영은	운영/NNG+은/JX
중개기관에	중개기관/NNG+에/JKB
맡긴	맡기/VV+ㄴ/ETM
채	채/NNB
문제가	문제/NNG+가/JKS
발생할	발생하/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
부정수급	부정수급/NNG
단속이라는	단속/NNG+이/VCP+라는/ETM
명목으로	명목/NNG+으로/JKB
노동자,	노동자/NNG+,/SP
이용자,	이용자/NNG+,/SP
중개기관	중개기관/NNG
모두를	모두/NNG+를/JKO
위협하며	위협하/VV+며/EC
자신들의	자신/NNG+들/XSN+의/JKG
책임을	책임/NNG+을/JKO
방기하고	방기하/VV+고/EC
있다는	있/VX+다는/ETM
것	것/NNB

연대는	연대/NNG+는/JX
“근로기준법에	“/SN+근로기준법/NNG+에/JKB
준해	준하/VV+여/EC
수당을	수당/NNG+을/JKO
달라고	달/VV+라고/EC
했더니	하/VV+였/EP+더니/EC
장애인의	장애인/NNG+의/JKG
바우처에서	바우처/NNP+에서/JKB
잘라주고,	자르/VV+아/EC+주/VX+고/EC+,/SP
장애인의	장애인/NNG+의/JKG
안전과	안전/NNG+과/JC
노동자의	노동자/NNG+의/JKG
건강을	건강/NNG+을/JKO
위해	위하/VV+여/EC
2인	2/SN+인/NNG
파견제를	파견제/NNG+를/JKO
시행하라고	시행하/VV+라고/EC
했더니	하/VV+였/EP+더니/EC
시급의	시급/NNG+의/JKG
75%를	75/SN+%/SW+를/JKO
바우처에서	바우처/NNP+에서/JKB
잘라주도록	자르/VV+아/EC+주/VX+도록/EC
