독립생활연대,	독립생활연대/NNG+,/SP
'전동휠체어	'/SS+전동휠체어/NNG
LED	LED/SL
전등'	전등/NNG+'/SS
지원	지원/NNG

중증장애인독립생활연대(대표	중증장애인독립생활연대/NNG+(/SS+대표/NNG
윤두선)는	윤두선/NNP+)/SS+는/JX
사화복지공동모금회와	사화복지공동모금회/NNG+와/JC
한국마사회	한국/NNP+마사회/NNG
용산지사의	용산지사/NNP+의/JKG
후원을	후원/NNG+을/JKO
받아	받/VV+아/EC
19일	19/SN+일/NNB
용산역광장에서	용산역/NNP+광장/NNG+에서/JKB
중증장애인	중증장애인/NNG
30명에게	30/SN+명/NNB+에게/JKB
‘전동휠체어	‘/SN+전동휠체어/NNG
LED	LED/SL
전등’를	전등’/NNG+를/JKO
지원했다	지원하/VV+였/EP+다/EC

이는	이/NP+는/JX
전동휠체어에	전동휠체어/NNG+에/JKB
LED	LED/SL
전등을	전등/NNG+을/JKO
설치,장애인들이	설치/NNG+,/SP+장애인/NNG+들/XSN+이/JKS
야간에도	야간/NNG+에/JKB+도/JX
안심하고	안심하/VV+고/EC
이동할	이동하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/EF
것	것/NNB

최근	최근/NNG
장애인들의	장애인/NNG+들/XSN+의/JKG
외출	외출/NNG
횟수가	횟수/NNG+가/JKS
늘어나면서	늘어나/VV+면서/EC
야간	야간/NNG
활동도	활동/NNG+도/JX
증가하는	증가하/VV+는/ETM
반면	반면/NNG
전동휠체어에는	전동휠체어/NNG+에/JKB+는/JX
조명등이	조명등/NNG+이/JKS
없거나	없/VA+거나/EC
형식적으로	형식적/NNG+으로/JKB
설치돼	설치되/VV+어/EC
교통사고나	교통사고/NNG+나/JC
낙상사고의	낙상사고/NNG+의/JKG
위험에	위험/NNG+에/JKB
노출돼	노출되/VV+어/EC
있다	있/VX+다/EF

한편	한편/MAG
이날	이날/NNG
자리에는	자리/NNG+에/JKB+는/JX
윤두선	윤두선/NNP
중증장애인독립생활연대	중증장애인독립생활연대/NNG
대표와	대표/NNG+와/JC
고흥길	고흥길/NNP
특임장관,	특임장관/NNG+,/SP
용산구	용산구/NNP
진영	진영/NNP
의원,	의원/NNG+,/SP
이미재	이미재/NNP
복지건설위원장,	복지건설위/NNP+원장/NNG+,/SP
양창훈	양창훈/NNP
HDC현대아이파크몰	HDC/SL+현대아이파크몰/NNP
사장,	사장/NNG+,/SP
심치호	심치호/NNP
코레일	코레일/NNP
용산역장,	용산역장/NNP+,/SP
차성남	차성남/NNP
한국마사회	한국/NNP+마사회/NNG
용산지점장,	용산/NNP+지점장/NNG+,/SP
용산구청	용산구청/NNP
김영귀	김영귀/NNP
복지과장	복지과장/NNG
등이	등/NNB+이/JKS
참석했다	참석하/VV+였/EP+다/EC

고흥길	고흥길/NNP
특임장관과	특임장관/NNG+과/JC
진영	진영/NNP
용산구	용산구/NNP
의원의	의원/NNG+의/JKG
LED	LED/SL
설치재연	설치재연/NNG
모습	모습/NNG

ⓒ주은미	ⓒ/SN+주은미/NNG
LED	LED/SL
설치	설치/NNG
장애인들과의	장애인/NNG+들/XSN+과/JKB+의/JKG
기념촬영	기념촬영/NNG
모습	모습/NNG

ⓒ주은미	ⓒ/SL+주은미/NNG
*	*/SW
주은미	주은미/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
중증장애인독립생활연대	중증장애인독립생활연대/NNG
자립생활지원팀장으로	자립생활지원팀장/NNG+으로/JKB
근무하고	근무하/VV+고/EC
있습니다	있/VX+습니다/EF
