장애인부부의	장애인부부/NNG+의/JKG
결혼	결혼/NNG
전·후	전/NNG+·/SP+후/NNG
어려운	어렵/VA+ㄴ/ETM
점은?	점/NNG+은/JX+?/SF

많은	많/VA+은/ETM
미혼들이	미혼/NNG+들/XSN+이/JKS
‘결혼’에	‘/SL+결혼’/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
환상을	환상/NNG+을/JKO
갖고	갖/VV+고/EC
있다	있/VX+다/EC

달콤한	달콤하/VA+ㄴ/ETM
신혼생활과	신혼생활/NNG+과/JC
행복한	행복하/VA+ㄴ/ETM
로맨스	로맨스/NNG

결혼은	결혼/NNG+은/JX
사랑하는	사랑하/VV+는/ETM
이와	이/NNB+와/JKB
꿈꿔오던	꿈꾸/VV+어/EC+오/VX+던/ETM
상상이	상상/NNG+이/JKS
현실로	현실/NNG+로/JKB
이뤄질	이루어지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수단이	수단/NNG+이/JKC
된다	되/VV+ㄴ다/EF

이	이/NP
같은	같/VA+은/ETM
욕구는	욕구/NNG+는/JX
장애	장애/NNG
유무와는	유무/NNG+와/JKB+는/JX
무관하다	무관하/VA+다/EC

그렇다면	그렇/VA+다면/EC
현실	현실/NNG
속	속/NNG
장애인의	장애인/NNG+의/JKG
결혼은	결혼/NNG+은/JX
어떨까?	어떻/VA+ㄹ까/EF+?/SF
많이	많이/MAG
알려진	알려지/VV+ㄴ/ETM
바와	바/NNB+와/JKB
같이	같이/MAG
중증장애	중증장애/NNG
부부들은	부부/NNG+들/XSN+은/JX
사실	사실/MAG
혼	혼/NNG
관계이지만	관계/NNG+이/VCP+지만/EC
혼인	혼인/NNG
신고	신고/NNG
조차	조차/JX
하지	하/VV+지/EC
않고	않/VX+고/EC
‘법	‘/SN+법/NNB
적인	적/NNG+이/VCP+ㄴ/ETM
배우자’가	배우자’/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
‘마음의	‘/SL+마음/NNG+의/JKG
배우자’로만	배우자’/NNG+로/JKB+만/JX
살아가고	살아가/VV+고/EC
있다	있/VX+다/EC

이들은	이/NP+들/XSN+은/JX
기초생활수급비와	기초생활수급비/NNG+와/JC
활동보조서비스	활동보조서비스/NNG
시간이	시간/NNG+이/JKS
삭감되기	삭감되/VV+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
입을	입/NNG+을/JKO
모은다	모으/VV+ㄴ다/EC

또한	또한/MAG
장애·비장애인	장애/NNG+·/SP+비장애인/NNG
커플의	커플/NNG+의/JKG
경우	경우/NNG
결혼을	결혼/NNG+을/JKO
결심하기까지	결심하/VV+기/ETN+까지/JX
‘장애’로	‘/SN+장애/NNG+’/SL+로/JKB
인한	인하/VV+ㄴ/ETM
부모의	부모/NNG+의/JKG
반대	반대/NNG
등	등/NNB
현실의	현실/NNG+의/JKG
한계에	한계/NNG+에/JKB
부딪히고	부딪히/VV+고/EC
만다	말/VX+ㄴ다/EC

지난	지나/VV+ㄴ/ETM
11일부터	11/SN+일/NNB+부터/JX
13일까지	13/SN+일/NNB+까지/JX
한국관광공사와	한국관광공사/NNP+와/JC
SK이노베이션,	SK/SL+이노베이션/NNG+,/SP
에이블복지재단이	에이블복지재단/NNP+이/JKS
진행한	진행하/VV+ㄴ/ETM
‘함께하는	‘함께하/VV+는/ETM
여행’	여행/NNG+’/SL
제3차	제/XPN+3/SN+차/NNB
아주	아주/MAG
특별한	특별하/VA+ㄴ/ETM
허니문	허니문/NNG
제주여행에	제주/NNP+여행/NNG+에/JKB
참가한	참가하/VV+ㄴ/ETM
이용섭·노현주,	이용섭/NNP+·/SP+노현주/NNP+,/SP
서영오·김화영,	서영오/NNP+·/SP+김화영/NNP+,/SP
강용삼·박미숙	강용삼/NNP+·/SP+박미숙/NNP
부부에게	부부/NNG+에게/JKB
결혼하기	결혼하/VV+기/ETN
전과	전/NNG+과/JC
결혼생활을	결혼생활/NNG+을/JKO
유지해오며	유지하/VV+여/EC+오/VX+며/EC
느꼈던	느끼/VV+었/EP+던/ETM
어려움이	어려움/NNG+이/JKS
무엇이었냐고	무엇/NP+이/VCP+었/EP+냐고/EC
물어봤다	물어보/VV+았/EP+다/EF

이들	이/NP+들/XSN
부부는	부부/NNG+는/JX
결혼을	결혼/NNG+을/JKO
하고	하/VV+고/EC
부부의	부부/NNG+의/JKG
연을	연/NNG+을/JKO
이어가기까지	잇/VV+어/EC+가/VX+기/ETN+까지/JX
많은	많/VA+은/ETM
고민들을	고민/NNG+들/XSN+을/JKO
했고,	하/VV+였/EP+고/EC+,/SP
앞으로도	앞/NNG+으로/JKB+도/JX
많은	많/VA+은/ETM
어려움을	어려움/NNG+을/JKO
겪게	겪/VV+게/EC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

특히	특히/MAG
결혼을	결혼/NNG+을/JKO
하기까지	하/VV+기/ETN+까지/JX
그리고	그리고/MAJ
현재	현재/MAG
결혼생활을	결혼생활/NNG+을/JKO
하며	하/VV+며/EC
가장	가장/MAG
어려운	어렵/VA+ㄴ/ETM
점이	점/NNG+이/JKS
무엇이냐는	무엇/NP+이/VCP+냐는/ETM
질문에	질문/NNG+에/JKB
‘장애’에	‘/SN+장애/NNB+’/SL+에/JKB
대한	대하/VV+ㄴ/ETM
편견과	편견/NNG+과/JC
시선,	시선/NNG+,/SP
정기적인	정기적/NNG+이/VCP+ㄴ/ETM
수입의	수입/NNG+의/JKG
부족,	부족/NNG+,/SP
장애가정의	장애가정/NNG+의/JKG
다양한	다양하/VA+ㄴ/ETM
지원책	지원/NNG+책/XSN
부족	부족/NNG
등의	등/NNB+의/JKG
어려움이	어려움/NNG+이/JKS
크다고	크/VA+다고/EC
입을	입/NNG+을/JKO
모았다	모으/VV+았/EP+다/EC

해맑게	해맑/VA+게/EC
웃고	웃/VV+고/EC
있는	있/VX+는/ETM
노현주·이용섭	노현주/NNP+·/SP+이용섭/NNP
부부	부부/NNG

ⓒ에이블복지재단	ⓒ/SL+에이블복지재단/NNP
"수급비	"/SS+수급비/NNG
삭감	삭감/NNG
무서워	무섭/VA+어/EC
일	일/NNG
안	안/MAG
하게	하/VV+게/EC
돼"이용섭(지체	되/VV+어/EC+"/SS+이용섭/NNP+(/SS+지체/NNG
1급,	1/SN+급/NNG+,/SP
52세)·노현주(39세)	52/SN+세/NNB+)/SS+·/SP+노현주/NNP+(/SS+39/SN+세/NNB+)/SS
씨는	씨/NNB+는/JX
결혼	결혼/NNG
3년차를	3/SN+년차/NNB+를/JKO
맞이하는	맞이하/VV+는/ETM
부부다	부부/NNG+이/VCP+다/EF

교회에서	교회/NNG+에서/JKB
만나	만나/VV+아/EC
나름	나름/NNB
'깨'	'/SS+깨/NNG+'/SS
볶는	볶/VV+는/ETM
냄새가	냄새/NNG+가/JKS
한창	한창/MAG
나는	나/VV+는/ETM
신혼부부에	신혼부부/NNG+에/JKB
해당되지만,	해당되/VV+지만/EC+,/SP
행복한	행복하/VA+ㄴ/ETM
결혼생활을	결혼생활/NNG+을/JKO
누리지도	누리/VV+지/EC+도/JX
못한	못하/VX+ㄴ/ETM
채	채/NNB
현재	현재/MAG
정기적인	정기적/NNG+이/VCP+ㄴ/ETM
수입이	수입/NNG+이/JKS
없어	없/VA+어/EC
늘	늘/MAG
어려움을	어려움/NNG+을/JKO
겪는다고	겪/VV+는다고/EC
토로했다	토로하/VV+였/EP+다/EF

이씨	이/NNP+씨/NNB
부부는	부부/NNG+는/JX
현재	현재/MAG
몸상태로	몸상태/NNG+로/JKB
인해	인하/VV+여/EC
정기적인	정기적/NNG+이/VCP+ㄴ/ETM
일은	일/NNG+은/JX
할	하/VV+ㄹ/ETM
수	수/NNB
없지만	없/VA+지만/EC
간단한	간단하/VA+ㄴ/ETM
소	소/NNG
일거리를	일거리/NNG+를/JKO
해서	하/VV+여서/EC
가계에	가계/NNG+에/JKB
보탬이	보탬/NNG+이/JKC
되고	되/VV+고/EC
싶은	싶/VX+은/ETM
마음이	마음/NNG+이/JKS
굴뚝같지만,	굴뚝같/VA+지만/EC+,/SP
소득이	소득/NNG+이/JKS
발생하면	발생하/VV+면/EC
기초생활수급비	기초생활수급비/NNG
삭감으로	삭감/NNG+으로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
도저히	도저히/MAG
일	일/VV
할	하/VV+ㄹ/ETM
엄두가	엄두/NNG+가/JKS
안난다고	안/MAG+나/VV+ㄴ다고/EC
말했다	말하/VV+였/EP+다/EC

“제일	“/SL+제/NNG+이/VCP+ㄹ/ETM
어려운	어렵/VA+ㄴ/ETM
거야	거야/EC
뭐	뭐/NP
