“국제협력	“/SL+국제협력/NNG
통한	통하/VV+ㄴ/ETM
장애인자립은	장애인자립/NNG+은/JX
시대적	시대적/NNG
흐름”	흐름/NNG+”/SN

“주변국가와	“/SL+주변국가/NNG+와/JKB
협력하고	협력하/VV+고/EC
연대한	연대하/VV+ㄴ/ETM
가운데	가운데/NNG
장애인의	장애인/NNG+의/JKG
자립생활을	자립생활/NNG+을/JKO
확산해야	확산하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
게	것/NNB+이/JKS
시대적	시대적/NNG
흐름이다	흐름/NNG+이/VCP+다/EC

”한국장애인자립생활센터총연합회	”/SL+한국/NNP+장애인자립생활센터/NNG+총/XPN+연합회/NNG
안진환	안진환/NNP
상임대표는	상임대표/NNG+는/JX
26일	26/SN+일/NNB
인천송도컨벤시아에서	인천송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2012아태장애인자립생활대회(이하	2012/SN+아태장애인자립생활대회/NNG+(/SS+이하/NNG
AP	AP/SL
NIL대회)	NIL/SL+대회/NNG+)/SS
개회식에서	개회식/NNG+에서/JKB
“이번	“/SN+이번/NNG
대회가	대회/NNG+가/JKS
국제적으로	국제적/NNG+으로/JKB
서로	서로/MAG
상호	상호/NNG
협력할	협력하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
초석이	초석/NNG+이/JKC
되기를	되/VV+기/ETN+를/JKO
희망한다”고	희망하/VV+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

안진환	안진환/NNP
상임대표는	상임대표/NNG+는/JX
특히	특히/MAG
“이번	“/SL+이번/NNG
대회가	대회/NNG+가/JKS
장애인의	장애인/NNG+의/JKG
자립생활을	자립생활/NNG+을/JKO
가속화시키고	가속화/NNG+시키/XSV+고/EC
각	각/MM
국가의	국가/NNG+의/JKG
장애인	장애인/NNG
정책의	정책/NNG+의/JKG
변화에도	변화/NNG+에/JKB+도/JX
원동력으로	원동력/NNG+으로/JKB
작용하는	작용하/VV+는/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
생각한다”고	생각하/VV+ㄴ다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

AP	AP/SL
NIL대회는	NIL/SL+대회/NNG+는/JX
장애인자립생활센터	장애인자립생활센터/NNG
아태지역	아태/NNP+지역/NNG
10개국의	10/SN+개국/NNB+의/JKG
국외참가자와	국외참가자/NNG+와/JC
국내	국내/NNG
참가자를	참가자/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
네트워크를	네트워크/NNG+를/JKO
형성하고,	형성하/VV+고/EC+,/SP
아태지역	아태/NNP+지역/NNG
장애인자립생활의	장애인자립생활/NNG+의/JKG
발전과	발전/NNG+과/JC
지원을	지원/NNG+을/JKO
도모하고자	도모하/VV+고자/EC
마련된	마련되/VV+ㄴ/ETM
자리다	자리/NNG+이/VCP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
AP	AP/SL
NIL대회에서는	NIL/SL+대회/NNG+에서/JKB+는/JX
‘한·미·일	‘한/SN+·/SP+미/NNP+·/SP+일/NNP
장애인자립생활센터	장애인자립생활센터/NNG
비교’와	비교/NNG+’/SL+와/JC
‘각	‘/SN+각/NNG
국가의	국가/NNG+의/JKG
자립생활운동’이	자립생활운동/NNG+’/SL+이/JKS
발표되고	발표되/VV+고/EC
장애인	장애인/NNG
권익옹호,	권익옹호/NNG+,/SP
동료상담,	동료상담/NNG+,/SP
자립생활,	자립생활/NNG+,/SP
활동보조서비스	활동보조서비스/NNG
등을	등/NNB+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
4개	4/SN+개/NNB
분과별	분과/NNG+별/XSN
그룹토의가	그룹토의/NNG+가/JKS
진행된다	진행되/VV+ㄴ다/EC

한편	한편/MAG
이날	이날/NNG
개회식에	개회식/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
아태장애인자립생활네트워크	아태/NNP+장애인자립생활네트워크/NNG
소지	소지/NNG
나카니시	나카니시/NNP
의장은	의장/NNG+은/JX
개회사를	개회사/NNG+를/JKO
통해	통하/VV+여/EC
“자립생활센터는	“/SL+자립생활센터/NNG+는/JX
지난	지나/VV+ㄴ/ETM
20년간의	20/SN+년/NNB+간/XSN+의/JKG
장애인운동의	장애인운동/NNG+의/JKG
성과”라며	성과”/NNG+이/VCP+라며/EC
“향후에도	“/SL+향후/NNG+에/JKB+도/JX
단계적으로	단계적/NNG+으로/JKB
성장해	성장하/VV+여/EC
나가는	나가/VX+는/ETM
것이	것/NNB+이/JKS
필요하다”고	필요하/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
“자립생활센터의	“/SN+자립생활센터/NNG+의/JKG
종사자	종사자/NNG
절반이상은	절반이상/NNG+은/JX
장애인으로	장애인/NNG+으로/JKB
장애인당사자가	장애인당사자/NNG+가/JKS
중심이	중심/NNG+이/JKC
돼야한다”며	되/VV+어야/EC+하/VX+ㄴ다/EC+”/VV+며/EC
“만일	“/SN+만/NR+일/NNB
운영권의	운영권/NNG+의/JKG
주체가	주체/NNG+가/JKS
바뀐다면	바뀌/VV+ㄴ다면/EC
자립생활	자립생활/NNG
정신을	정신/NNG+을/JKO
잃어버리게	잃어버리/VV+게/EC
되면서	되/VV+면서/EC
지속될	지속되/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
경고했다	경고하/VV+였/EP+다/EC

아태장애인자립생활네트워크	아태/NNP+장애인자립생활네트워크/NNG
소지	소지/NNG
나카니시	나카니시/NNP
의장의	의장/NNG+의/JKG
개회사	개/NNB+회사/NNG
모습	모습/NNG

ⓒ한국장애인연맹	ⓒ/SL+한국/NNP+장애인연맹/NNG
2012아태장애인대회	2012/SN+아태장애인대회/NNG
삼일째인	삼일/NNG+째/XSN+이/VCP+ㄴ/ETM
26일	26/SN+일/NNB
오전	오전/NNG
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
2012아태장애인자립생활대회	2012/SN+아태장애인자립생활대회/NNG
개회식	개회식/NNG
모습	모습/NNG

ⓒ한국장애인연맹	ⓒ/SL+한국/NNP+장애인연맹/NNG
2012아태장애인자립생활대회	2012/SN+아태장애인자립생활대회/NNG
참가자들	참가자/NNG+들/XSN

ⓒ한국장애인연맹	ⓒ/SL+한국/NNP+장애인연맹/NNG
