복지부장관	복지부장관/NNG
‘망신	‘/SL+망신/NNG
끝’	끝/NNG+’/SL
장애단체	장애단체/NNG
면담	면담/NNG
수용	수용/NNG

보건복지부	보건복지부/NNG
임채민	임채민/NNP
장관이	장관/NNG+이/JKS
故	故/SL
김주영(뇌병변장애	김주영/NNP+(/SS+뇌병변/NNP+장애/NNG
1급)씨의	1/SN+급/NNG+)/SS+씨/NNB+의/JKG
화재	화재/NNG
사망과	사망/NNG+과/JKB
관련,	관련/NNG+,/SP
전국장애인차별철폐연대(이하	전/MM+국장애인차별철폐연대/NNG+(/SS+이하/NNG
전장연))와	전장연/NNP+))/SS+와/JC
2주안에	2/SN+주안/NNG+에/JKB
면담을	면담/NNG+을/JKO
갖기로	갖/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
전장연	전장연/NNP
회원	회원/NNG
등	등/NNB
장애인	장애인/NNG
100여명은	100/SN+여/XSN+명/NNB+은/JX
오후	오후/NNG
5시	5/SN+시/NNB
40분경	40/SN+분/NNB+경/XSN
인천	인천/NNP
송도컨벤시아	송도컨벤시아/NNP
로비	로비/NNG
점거농성을	점거농성/NNG+을/JKO
풀었다	풀/VV+었/EP+다/EC

전장연은	전장연/NNP+은/JX
오후	오후/NNG
1시	1/SN+시/NNB
로비에서	로비/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
임	임/NNP
장관이	장관/NNG+이/JKS
최근	최근/NNG
발생한	발생하/VV+ㄴ/ETM
김주영씨의	김주영/NNP+씨/NNB+의/JKG
죽음에	죽음/NNG+에/JKB
대해	대하/VV+여/EC
복지	복지/NNG
당국의	당국/NNG+의/JKG
책임자로써	책임자/NNG+로써/JKB
무책임한	무책임하/VA+ㄴ/ETM
행동을	행동/NNG+을/JKO
보이고	보이/VV+고/EC
있다며	있/VX+다며/EC
공식적인	공식적/NNG+이/VCP+ㄴ/ETM
사과를	사과/NNG+를/JKO
촉구했다	촉구하/VV+였/EP+다/EC

또한	또한/MAG
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
보장	보장/NNG
등의	등/NNB+의/JKG
대책	대책/NNG
마련을	마련/NNG+을/JKO
요구했다	요구하/VV+었/EP+다/EC

이어	이어/MAG
전장연은	전장연/NNP+은/JX
2층에서	2/SN+층/NNG+에서/JKB
진행되는	진행되/VV+는/ETM
'유엔에스캅	'/SS+유엔/NNP+에스캅/NNG
장관급	장관급/NNG
회의'에	회의/NNG+'/SS+에/JKB
참석한	참석하/VV+ㄴ/ETM
임	임/NNP
장관을	장관/NNG+을/JKO
만나기	만나/VV+기/ETN
위해	위하/VV+여/EC
엘리베이터와	엘리베이터/NNG+와/JKB
에스컬레이터를	에스컬레이터/NNG+를/JKO
이용하려	이용하/VV+려/EC
했으나	하/VX+였/EP+으나/EC
대회	대회/NNG
주최	주최/NNG
측에	측/NNB+에/JKB
의해	의하/VV+여/EC
봉쇄됐다	봉쇄되/VV+었/EP+다/EF

이	이/MM
과정에서	과정/NNG+에서/JKB
잦은	잦/VA+은/ETM
고성과	고성/NNG+과/JC
몸싸움이	몸싸움/NNG+이/JKS
오가기도	오가/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

5시간가량	5/SN+시간/NNB+가량/XSN
진행된	진행되/VV+ㄴ/ETM
농성은	농성/NNG+은/JX
임	임/NNP
장관	장관/NNG
측에서	측/NNB+에서/JKB
2주내	2/SN+주내/NNB
면담을	면담/NNG+을/JKO
갖자고	갖/VV+자고/EC
답변해	답변하/VV+여/EC
오면서	오/VX+면서/EC
마무리됐다	마무리/NNG+되/XSV+었/EP+다/EF

전장연	전장연/NNP
박경석	박경석/NNP
상임대표는	상임대표/NNG+는/JX
마무리	마무리/NNG
발언에서	발언/NNG+에서/JKB
“김주영씨는	“/SL+김주영/NNP+씨/NNB+는/JX
24시간	24/SN+시간/NNB
활동보조인이	활동보조인/NNG+이/JKS
보장되지	보장되/VV+지/EC
않아	않/VX+아/EC
도움도	도움/NNG+도/JX
받지	받/VV+지/EC
못하고	못하/VX+고/EC
허무하게	허무하/VA+게/EC
죽었다"면서	죽/VV+었/EP+다/EF+"/SS+면서/EC
"복지부	"/SS+복지부/NNG
쪽에서는	쪽/NNB+에서/JKB+는/JX
영안실도	영안실/NNG+도/JX
한번	한/MM+번/NNB
찾아오지	찾아오/VV+지/EC
않았다”고	않/VX+았/EP+다/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“복지부가	“/SN+복지부/NNG+가/JKS
2주내로	2/SN+주내/NNB+로/JKB
대표단과	대표단/NNG+과/JC
면담을	면담/NNG+을/JKO
갖자고	갖/VV+자고/EC
답변해	답변하/VV+여/EC
왔다"면서	오/VX+았/EP+다/EF+"/SS+면서/EC
"장애인들의	"/SS+장애인/NNG+들/XSN+의/JKG
마음을	마음/NNG+을/JKO
이해했다면	이해하/VV+였/EP+다면/EC
오늘	오늘/NNG
면담하고,	면담하/VV+고/EC+,/SP
사과했어야	사과하/VV+였/EP+어야/EC
옳았다"고	옳/VA+았/EP+다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

한편	한편/MAG
이날	이날/NNG
농성에는	농성/NNG+에/JKB+는/JX
인천세계장애대회에	인천/NNP+세계장애대회/NNG+에/JKB
참가한	참가하/VV+ㄴ/ETM
국외	국외/NNG
장애인들도	장애인/NNG+들/XSN+도/JX
참여해	참여하/VV+여/EC
힘을	힘/NNG+을/JKO
보탰다	보태/VV+었/EP+다/EC

파키스탄의	파키스탄/NNP+의/JKG
에바스씨는	에바스/NNP+씨/NNB+는/JX
“새로운	“/SN+새롭/VA+ㄴ/ETM
10년	10/SN+년/NNB
전략은	전략/NNG+은/JX
수정할	수정하/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
죽은	죽/VV+은/ETM
사람의	사람/NNG+의/JKG
생명은	생명/NNG+은/JX
살릴	살리/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

이는	이/NP+는/JX
비단	비단/MAG
한국의	한국/NNP+의/JKG
문제만은	문제/NNG+만은/JX
아니다	아니/VCN+다/EC

각국의	각국/NNG+의/JKG
장애인들도	장애인/NNG+들/XSN+도/JX
공감하는	공감하/VV+는/ETM
문제”라고	문제”/NNG+이/VCP+라고/EC
피력했다	피력하/VV+었/EP+다/EC

이어	이어/MAG
“변화가	“/SN+변화/NNG+가/JKS
필요하다	필요하/VA+다/EC

사람의	사람/NNG+의/JKG
생명은	생명/NNG+은/JX
중요한	중요하/VA+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
장애인활동지원제도는	장애인활동지원제도/NNG+는/JX
시정돼야	시정되/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

특히	특히/MAG
에바스씨는	에바스/NNP+씨/NNB+는/JX
“이해	“/SN+이해/NNG
당사자들의	당사자/NNG+들/XSN+의/JKG
의견	의견/NNG
반영이	반영/NNG+이/JKS
무엇보다	무엇/NP+보다/JKB
중요하다	중요하/VA+다/EC

한국정부는	한국/NNP+정부/NNG+는/JX
장애인당사자들의	장애인당사자/NNG+들/XSN+의/JKG
이견을	이견/NNG+을/JKO
들을	듣/VV+을/ETM
준비가	준비/NNG+가/JKC
돼있어야	되/VV+어/EC+있/VX+어야/EC
한다”고	하/VX+ㄴ다”고/EC
일침을	일침/NNG+을/JKO
놓았다	놓/VV+았/EP+다/EF

세계재활협회(RI)	세계재활협회/NNG+(/SS+RI/SL+)/SS
애니	애니/NNP
호커	호커/NNG
회장은	회장/NNG+은/JX
기자회견을	기자회견/NNG+을/JKO
통해	통하/VV+여/EC
“유엔장애인권리협약에는	“/SL+유엔/NNP+장애인권리협약/NNG+에/JKB+는/JX
