한자연,	한자연/NNG+,/SP
자립생활센터	자립생활센터/NNG
인증기준	인증기준/NNG
‘확정’	‘/SL+확정/NNG+’/SL
발표	발표/NNG

장애인자립생활센터의	장애인자립생활센터/NNG+의/JKG
위상	위상/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+여/EC
‘질	‘/SN+질/NNG
관리’	관리’/NNG
과제를	과제/NNG+를/JKO
제시했던	제시하/VV+였/EP+던/ETM
한국장애인자립생활센터총연합회(이하	한국장애인자립생활센터총연합회/NNP+(/SS+이하/NNG
한자연)가	한자연/NNP+)/SS+가/JKS
그간	그간/NNG
장애계의	장애/NNG+계/XSN+의/JKG
다양한	다양하/VA+ㄴ/ETM
의견을	의견/NNG+을/JKO
수렴한	수렴하/VV+ㄴ/ETM
최종	최종/NNG
인증기준을	인증기준/NNG+을/JKO
발표,	발표/NNG+,/SP
내년부터	내년/NNG+부터/JX
적용하기로	적용하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

한자연은	한자연/NNP+은/JX
26일	26/SN+일/NNB
이룸센터	이룸센터/NNG
누리홀에서	누리홀/NNG+에서/JKB
‘장애인자립생활센터	‘/SN+장애인자립생활센터/NNG
인증매뉴얼	인증매뉴얼/NNG
설명회’를	설명회’/NNG+를/JKO
갖고	갖/VV+고/EC
그간	그간/NNG
이뤄졌던	이루어지/VV+었/EP+던/ETM
자립생활과	자립생활/NNG+과/JC
설립의	설립/NNG+의/JKG
목적을	목적/NNG+을/JKO
되살리기	되살리/VV+기/ETN
위해	위하/VV+여/EC
시작한	시작하/VV+ㄴ/ETM
‘한국형	‘/SL+한국/NNP+형/XSN
장애인자립생활센터	장애인자립생활센터/NNG
인증기준	인증기준/NNG
개발연구’의	개발연구/NNG+’/SL+의/JKG
최종안을	최종안/NNG+을/JKO
확정해	확정하/VV+여/EC
발표했다	발표하/VV+였/EP+다/EC

앞서	앞서/MAG
이번	이번/NNG
연구를	연구/NNG+를/JKO
맡은	맡/VV+은/ETM
목원대학교	목원대학교/NNP
김동기	김동기/NNP
교수는	교수/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
인증기준을	인증기준/NNG+을/JKO
발표함으로써	발표하/VV+ㅁ/ETN+으로써/JKB
우후죽순으로	우후죽순/NNG+으로/JKB
늘어나고	늘어나/VV+고/EC
있는	있/VX+는/ETM
자립생활센터의	자립생활센터/NNG+의/JKG
‘질	‘/SN+질/NNG
관리’를	관리’/NNG+를/JKO
통해	통하/VV+여/EC
장애인	장애인/NNG
자조모임과의	자조모임/NNG+과/JKB+의/JKG
역할	역할/NNG
및	및/MAG
성격을	성격/NNG+을/JKO
명확해야	명확하/VA+여야/EC
할	하/VX+ㄹ/ETM
필요성이	필요성/NNG+이/JKS
있음을	있/VA+음/ETN+을/JKO
강조한	강조하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

하지만	하지만/MAJ
발표된	발표되/VV+ㄴ/ETM
인증기준에	인증기준/NNG+에/JKB
장애계의	장애/NNG+계/XSN+의/JKG
의견은	의견/NNG+은/JX
엇갈렸다	엇갈리/VV+었/EP+다/EF

'도입할	'/SS+도입하/VV+ㄹ/ETM
필요성이	필요성/NNG+이/JKS
있다'며	있/VA+다/EF+'/SS+며/EC
박수를	박수/NNG+를/JKO
친	치/VV+ㄴ/ETM
의견도	의견/NNG+도/JX
있었던	있/VA+었/EP+던/ETM
반면,	반면/NNG+,/SP
‘시기상조다’,	‘/SL+시기상/NNG+조다/JX+’/SL+,/SP
‘누가	‘/SL+누구/NP+가/JKS
누굴	누구/NP+ㄹ/JKO
인정하느냐’라고	인정하/VV+느냐’/EC+라고/JKQ
반색한	반색하/VA+ㄴ/ETM
의견으로	의견/NNG+으로/JKB
갑론을박이	갑론을박/NNG+이/JKS
이어지기도	이어지/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

특히	특히/MAG
신규센터의	신규센터/NNG+의/JKG
경우,	경우/NNG+,/SP
기존	기존/NNG
센터와	센터/NNG+와/JC
‘같은	‘/SL+같/VA+은/ETM
잣대로	잣대/NNG+로/JKB
들이대서는	들이대/VV+어서/EC+는/JX
안	안/MAG
된다’라는	되/VV+ㄴ다/EC+’/VV+라는/ETM
의견이	의견/NNG+이/JKS
컸던	크/VA+었/EP+던/ETM
만큼	만큼/NNB
이번	이번/NNG
최종안에서는	최종안/NNG+에서/JKB+는/JX
신규센터와	신규센터/NNG+와/JC
‘군’	‘/SL+군/NNG+’/SL
단위	단위/NNG
소재	소재/NNG
센터의	센터/NNG+의/JKG
기준을	기준/NNG+을/JKO
따로	따로/MAG
두는	두/VV+는/ETM
것으로	것/NNB+으로/JKB
장애계의	장애/NNG+계/XSN+의/JKG
의견을	의견/NNG+을/JKO
반영하도록	반영하/VV+도록/EC
했다	하/VX+였/EP+다/EC

먼저	먼저/MAG
인증부여	인증부여/NNG
기준은	기준/NNG+은/JX
조직(총회	조직/NNG+(/SS+총회/NNG
60점,	60/SN+점/NNB+,/SP
운영위원회	운영위원회/NNG
90점,	90/SN+점/NNG+,/SP
소장	소장/NNG
40점,	40/SN+점/NNB+,/SP
직원	직원/NNG
50점)	50/SN+점/NNB+)/SS
운영(예산	운영/NNG+(/SS+예산/NNG
60점,	60/SN+점/NNB+,/SP
시설	시설/NNG
및	및/MAG
설비	설비/NNG
120점,	120/SN+점/NNB+,/SP
기록	기록/NNG
및	및/MAG
문서관리	문서관리/NNG
30점,	30/SN+점/NNB+,/SP
지역사회관계	지역사회관계/NNG
90점,	90/SN+점/NNB+,/SP
이용자	이용자/NNG
관리	관리/NNG
120점)	120/SN+점/NNB+)/SS
사업(계획	사업/NNG+(/SS+계획/NNG
60점,	60/SN+점/NNB+,/SP
