"계단	"/SS+계단/NNG
있는	있/VA+는/ETM
버스는	버스/NNG+는/JX
장애	장애/NNG
'차별'	'/SS+차별/NNG+'/SS
버스"	버스/NNG+"/SS

"계단버스는	"/SS+계단버스/NNG+는/JX
차별버스!	차별버스/NNG+!/SF
시민과	시민/NNG+과/JKB
함께하는	함께하/VV+는/ETM
계단없는	계단없/VA+는/ETM
버스	버스/NNG
만들기!"	만들/VV+기/EF+!/SF+"/SS
전국의	전국/NNG+의/JKG
장애인들이	장애인/NNG+들/XSN+이/JKS
1일	1/SN+일/NNB
낮	낮/NNG
12시	12/SN+시/NNB
서울의	서울/NNP+의/JKG
대학로를	대학로/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
전국	전국/NNG
80여곳의	80/SN+여/XSN+곳/NNG+의/JKG
버스정류장에서	버스정류장/NNG+에서/JKB
‘저상버스	‘/SN+저상버스/NNG
100%	100/SN+%/SW
도입’을	도입/NNG+’/SL+을/JKO
촉구하는	촉구하/VV+는/ETM
전국	전국/NNG
동시다발	동시다발/NNG
버스정류장	버스정류장/NNG
1인시위를	1/SN+인시위/NNG+를/JKO
벌였다	벌이/VV+었/EP+다/EF

이들은	이/NP+들/XSN+은/JX
지난해	지난해/NNG
국토해양부가	국토해양부/NNP+가/JKS
저상버스	저상버스/NNG
31	31/SN

5%	5/SN+%/SW
도입	도입/NNG
계획을	계획/NNG+을/JKO
세웠지만	세우/VV+었/EP+지만/EC
실제	실제/NNG
연말	연말/NNG
저상버스는	저상버스/NNG+는/JX
12%만	12/SN+%/SW+만/JX
도입된	도입되/VV+ㄴ/ETM
현실을	현실/NNG+을/JKO
지적하며,	지적하/VV+며/EC+,/SP
저상버스와	저상버스/NNG+와/JC
특별교통수단에	특별교통수단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국가와	국가/NNG+와/JC
도지사	도지사/NNG
책임을	책임/NNG+을/JKO
명시한	명시하/VV+ㄴ/ETM
'교통약자이동편의증진법	'/SS+교통약자이동편의증진법/NNG
개정'을	개정/NNG+'/SS+을/JKO
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC

앞으로	앞/NNG+으로/JKB
이들은	이/NP+들/XSN+은/JX
저상버스	저상버스/NNG
확대에	확대/NNG+에/JKB
동의하는	동의하/VV+는/ETM
시민사회단체들과	시민사회단체/NNG+들/XSN+과/JKB
함께	함께/MAG
매주	매주/MAG
수요일	수요일/NNG
정오	정오/NNG
각	각/MM
지역의	지역/NNG+의/JKG
버스정류장에서	버스정류장/NNG+에서/JKB
1인시위를	1/SN+인시위/NNG+를/JKO
진행할	진행하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
