“저상버스	“/SL+저상버스/NNG
타려면	타/VV+려면/EC
2시간	2/SN+시간/NNB
이상	이상/NNG
기다려야”	기다리/VV+어야/EC+”/SN

“휠체어를	“/SL+휠체어/NNG+를/JKO
타고	타/VV+고/EC
나오면	나오/VV+면/EC
버스정류장에서	버스정류장/NNG+에서/JKB
2시간	2/SN+시간/NNB
이상	이상/NNG
기다려야	기다리/VV+어야/EC
되요	되/VV+요/EF

저상버스가	저상버스/NNG+가/JKS
없어	없/VA+어/EC
서요…”서울,	서요/NNG+…/SE+”/SL+서울/NNP+,/SP
경기,	경기/NNP+,/SP
대전	대전/NNP
등	등/NNB
전국	전국/NNG
11개	11/SN+개/NNB
지역의	지역/NNG+의/JKG
장애인단체들이	장애인단체/NNG+들/XSN+이/JKS
25일	25/SN+일/NNB
새누리당	새누리당/NNP
중앙당사를	중앙당사/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
각	각/MM
지역당사	지역당사/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
‘교통약자이동편의증진법(이하	‘/SN+교통약자이동편의증진법/NNG+(/SS+이하/NNG
이동편의증진법)’	이동편의증진법/NNG+)/SS+’/SL
개정에	개정/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구하는	촉구하/VV+는/ETM
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

이는	이/NP+는/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
당당히	당당히/MAG
누려야할	누리/VV+어야/EC+하/VX+ㄹ/ETM
이동권을	이동/NNG+권/XSN+을/JKO
보장	보장/NNG
받기	받/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
개선이	개선/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
절박함에	절박하/VA+ㅁ/ETN+에/JKB
기인한다	기인하/VV+ㄴ다/EC

장애인단체	장애인단체/NNG
등에	등/NNB+에/JKB
