활발해	활발하/VA+여/EC
지고	지/VX+고/EC
있는	있/VX+는/ETM
미얀마	미얀마/NNP
장애인자립생활	장애인자립생활/NNG
운동	운동/NNG

미얀마,	미얀마/NNP+,/SP
동남아시아	동남아시아/NNP
지역에서	지역/NNG+에서/JKB
최대면적(677,000kmm²)을	최대면적/NNG+(/SS+677,000/SN+kmm²/SL+)/SS+을/JKO
차지하고	차지하/VV+고/EC
있는	있/VX+는/ETM
나라다	나라/NNG+이/VCP+다/EC

인구	인구/NNG
6000만명중	6000/SN+만/NR+명중/NNB
2	2/SN

3%인	3/SN+%/SW+이/VCP+ㄴ/ETM
130만명이	130/SN+만/NR+명/NNB+이/JKS
장애인이다	장애인/NNG+이/VCP+다/EC

현재	현재/MAG
미얀마의	미얀마/NNP+의/JKG
장애인들은	장애인/NNG+들/XSN+은/JX
한국과	한국/NNP+과/JKB
마찬가지로	마찬가지/NNG+로/JKB
장애인의	장애인/NNG+의/JKG
자립생활에	자립생활/NNG+에/JKB
무게를	무게/NNG+를/JKO
둔	두/VV+ㄴ/ETM
활동을	활동/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다	있/VX+다/EC

26일	26/SN+일/NNB
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2012장애인자립생활대회에서	2012/SN+장애인자립생활대회/NNG+에서/JKB
미얀마	미얀마/NNP
장애인자립생활	장애인자립생활/NNG
운동을	운동/NNG+을/JKO
주제로	주제/NNG+로/JKB
발표한	발표하/VV+ㄴ/ETM
미얀마장애인자립생활센터	미얀마/NNP+장애인자립생활센터/NNG
나이린서	나이리/VV+ㄴ서/EC
프로그램	프로그램/NNG
부장에	부장/NNG+에/JKB
따르면	따르/VV+면/EC
미얀마에	미얀마/NNP+에/JKB
자립생활	자립생활/NNG
개념이	개념/NNG+이/JKS
처음	처음/NNG
들어선	들어서/VV+ㄴ/ETM
것은	것/NNB+은/JX
2005년부터다	2005/SN+년/NNB+부터다/JX

당시	당시/NNG
한국,	한국/NNP+,/SP
일본,	일본/NNP+,/SP
태국을	태국/NNP+을/JKO
통해	통하/VV+여/EC
자립생활	자립생활/NNG
운동을	운동/NNG+을/JKO
배웠고	배우/VV+었/EP+고/EC
이는	이/NP+는/JX
2010년까지	2010/SN+년/NNB+까지/JX
지속된다	지속되/VV+ㄴ다/EF

이후	이후/NNG
2011년	2011/SN+년/NNB
나이린	나이린/NNG
서	서/NNP
부장을	부장/NNG+을/JKO
포함해	포함하/VV+여/EC
3명의	3/SN+명/NNB+의/JKG
장애인들이	장애인/NNG+들/XSN+이/JKS
동료들과	동료/NNG+들/XSN+과/JKB
함께	함께/MAG
미얀마	미얀마/NNP
독립적	독립적/NNG
삶	삶/NNG
계획을	계획/NNG+을/JKO
수립하고	수립하/VV+고/EC
장애인자립생활센터를	장애인자립생활센터/NNG+를/JKO
설립했다	설립하/VV+였/EP+다/EF

물론	물론/MAG
미얀마	미얀마/NNP
정부	정부/NNG
역시	역시/MAG
장애관련	장애관련/NNP
주관부서로	주관부서/NNG+로/JKB
사회복지부가	사회복지부/NNG+가/JKS
있으며,	있/VA+으며/EC+,/SP
1958년	1958/SN+년/NNB
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
법으로	법/NNG+으로/JKB
‘장애인을	‘/SN+장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
직장교체법’	직장교체법/NNG+’/SN
마련했다	마련하/VV+였/EP+다/EC

하지만	하지만/MAJ
이	이/MM
법은	법/NNG+은/JX
문서로만	문서/NNG+로/JKB+만/JX
존재,	존재/NNG+,/SP
이행되지는	이행되/VV+지/EC+는/JX
않았다	않/VX+았/EP+다/EF

이후	이후/NNG
2009년	2009/SN+년/NNB
미얀마	미얀마/NNP
정부는	정부/NNG+는/JX
국가장애설문조사를	국가장애설문조사/NNG+를/JKO
실시,	실시/NNG+,/SP
2010년	2010/SN+년/NNB
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국가	국가/NNG
행동계획을	행동계획/NNG+을/JKO
수립하고	수립하/VV+고/EC
2012년	2012/SN+년/NNB
장애인	장애인/NNG
인권에	인권/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
종합법안을	종합법안/NNG+을/JKO
발의했다	발의하/VV+였/EP+다/EF

2011년에는	2011/SN+년/NNB+에/JKB+는/JX
유엔장애인권리협약을	유엔/NNP+장애인권리협약/NNG+을/JKO
비준하기도	비준하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

현재	현재/MAG
장애인	장애인/NNG
자조그룹은	자조그룹/NNP+은/JX
35개,	35/SN+개/NNB+,/SP
장애이슈와	장애이슈/NNG+와/JKB
관련한	관련하/VV+ㄴ/ETM
NGO는	NGO/SL+는/JX
6개	6/SN+개/NNB
정도다	정도/NNG+이/VCP+다/EF

이들은	이/NP+들/XSN+은/JX
정부	정부/NNG
및	및/MAG
기타	기타/NNG
이해당사자	이해당사자/NNG
지지,	지지/NNG+,/SP
장애인	장애인/NNG
및	및/MAG
장애인단체의	장애인단체/NNG+의/JKG
능력	능력/NNG
개발,	개발/NNG+,/SP
자립생활운동	자립생활운동/NNG
시작을	시작/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자립생활센터	자립생활센터/NNG
수립,	수립/NNG+,/SP
장애인보장을	장애인보장/NNG+을/JKO
