"인화학교	"/SS+인화학교/NNG
성폭력,	성폭력/NNG+,/SP
인권	인권/NNG
측면에서	측면/NNG+에서/JKB
노력해야"	노력하/VV+여야/EF+"/SS

지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
13일	13/SN+일/NNB
반시설과	반시설/NNG+과/JC
장애인자립생활보장법	장애인자립생활보장법/NNG
제정을	제정/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위해	위하/VV+여/EC
9명의	9/SN+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
‘국토대장정’을	‘/SL+국토대장정’/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
23일간	23/SN+일/NNB+간/XSN
부산을	부산/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
창원,	창원/NNP+,/SP
울산,	울산/NNP+,/SP
대구,	대구/NNP+,/SP
대전,	대전/NNP+,/SP
인천	인천/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
9월	9/SN+월/NNB
4일	4/SN+일/NNB
서울에	서울/NNP+에/JKB
입성하게	입성하/VV+게/EC
된다	되/VV+ㄴ다/EF

전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
장애인	장애인/NNG
시설의	시설/NNG+의/JKG
문제점과	문제점/NNG+과/JC
인권침해·유린	인권침해/NNG+·/SP+유린/NNG
등의	등/NNB+의/JKG
현실과	현실/NNG+과/JC
장애인	장애인/NNG
자립생활	자립생활/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘장애인자립생활보장법	‘/SL+장애인자립생활보장법/NNG
제정’의	제정/NNG+’/SL+의/JKG
필요성을	필요성/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

국토대장정을	국토대장정/NNG+을/JKO
공동주관한	공동주관하/VV+ㄴ/ETM
한국장애인연맹(DPI)의	한국/NNP+장애인연맹/NNG+(/SS+DPI/SL+)/SS+의/JKG
자료협조를	자료협조/NNG+를/JKO
받아	받/VV+아/EC
긴	길/VA+ㄴ/ETM
여정의	여정/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
연재한다	연재하/VV+ㄴ다/EF

<편집자주>	</SS+편집자주/NNG+>/SS
8월	8/SN+월/NNB
28일,	28/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희(서울장애인인권포럼	이권희/NNP+(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원어제	대원어제/NNG
예측한대로	예측하/VV+ㄴ/ETM+대로/NNB
태풍의	태풍/NNG+의/JKG
영향권	영향/NNG+권/XSN
안에	안/NNG+에/JKB
들었는지	듣/VV+었/EP+는지/EC
오전	오전/NNG
8시쯤	8/SN+시/NNB+쯤/XSN
기상하였을	기상하/VV+였/EP+을/ETM
때	때/NNG
밖을	밖/NNG+을/JKO
보니	보/VV+니/EC
강한	강하/VA+ㄴ/ETM
바람과	바람/NNG+과/JKB
함께	함께/MAG
비가	비/NNG+가/JKS
몰아쳤다	몰아치/VV+었/EP+다/EF

숙소	숙소/NNG
앞에	앞/NNG+에/JKB
주차해	주차하/VV+여/EC
놓은	놓/VX+은/ETM
스텝차량에	스텝차량/NNG+에/JKB
물건을	물건/NNG+을/JKO
가지러	가지/VV+러/EC
가기도	가/VV+기/ETN+도/JX
어려울	어렵/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
비바람이	비바람/NNG+이/JKS
세찼다	세차/VV+았/EP+다/EF

대원들과	대원/NNG+들/XSN+과/JKB
함께	함께/MAG
급하게	급하/VA+게/EC
논의를	논의/NNG+를/JKO
진행한	진행하/VV+ㄴ/ETM
결과	결과/NNG
별도의	별도/NNG+의/JKG
시민전을	시민/NNG+전/XSN+을/JKO
하기에는	하/VV+기/ETN+에/JKB+는/JX
기상조건이	기상조건/NNG+이/JKS
좋지	좋/VA+지/EC
않을뿐더러	않/VX+을뿐더러/EC
거리에	거리/NNG+에/JKB
시민도	시민/NNG+도/JX
없을	없/VA+을/ETM
것	것/NNB
같아	같/VA+아/EC
숙소	숙소/NNG
내에서	내/NNB+에서/JKB
하루를	하루/NNG+를/JKO
쉬기로	쉬/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

어제	어제/MAG
귀가한	귀가하/VV+ㄴ/ETM
권인자	권인자/NNG
대원(충남장애인자립생활센터	대원/NNG+(/SS+충남/NNP+장애인자립생활센터/NNG
소장)이	소장/NNG+)/SS+이/JKS
사무국장과	사무국/NNG+장/XSN+과/JC
함께	함께/MAG
막걸리와	막걸리/NNG+와/JC
분식을	분식/NNG+을/JKO
사와서	사/VV+아/EC+오/VV+아서/EC
대접했다	대접하/VV+였/EP+다/EC

대원들은	대원/NNG+들/XSN+은/JX
다함께	다함께/MAG
모여서	모이/VV+어서/EC
처음으로	처음/NNG+으로/JKB
사적인	사적/NNG+이/VCP+ㄴ/ETM
얘기와	얘기/NNG+와/JC
관심거리에	관심거리/NNG+에/JKB
대해	대하/VV+여/EC
이야기	이야기/NNG
나누었고,	나누/VV+었/EP+고/EC+,/SP
싱거운	싱겁/VA+ㄴ/ETM
농을	농/NNG+을/JKO
서로	서로/MAG
건네며	건네/VV+며/EC
즐거운	즐겁/VA+ㄴ/ETM
시간을	시간/NNG+을/JKO
보냈다	보내/VV+었/EP+다/EF

황화성	황화성/NNP
전	전/MM
충남의회	충남의회/NNP
의원도	의원/NNG+도/JX
지지방문을	지지방문/NNG+을/JKO
