“자립생활센터	“/SL+자립생활센터/NNG
지역사회	지역사회/NNG
내	내/NNB
인지도	인지도/NNG
높여야”	높열/VV+야/EC+”/SN

한국장애인재활협회와	한국/NNP+장애인재활협회/NNG+와/JC
신한금융그룹이	신한금융그룹/NNP+이/JKS
주최하는	주최하/VV+는/ETM
'2012	'/SS+2012/SN
장애청년드림팀	장애청년드림팀/NNG
6대륙에	6/SN+대륙/NNG+에/JKB
도전하다'의	도전하/VV+다/EF+'/SS+의/JKG
북미대륙	북미/NNP+대륙/NNG
연수에	연수/NNG+에/JKB
나서는	나서/VV+는/ETM
‘Indy팀’이	‘Indy/SL+팀/NNG+’/SN+이/JKS
최근	최근/NNG
서울	서울/NNP
길동	길동/NNP
강동양지장애인자립생활센터(소장	강동양/NNP+지장애인자립생활센터/NNG+(/SS+소장/NNG
오성섭)를	오성섭/NNP+)/SS+를/JKO
방문했다	방문하/VV+였/EP+다/EC

자립생활센터	자립생활센터/NNG
관계자들과	관계자/NNG+들/XSN+과/JC
인사를	인사/NNG+를/JKO
나눈	나누/VV+ㄴ/ETM
뒤	뒤/NNG
Indy팀은	Indy/SL+팀/NNG+은/JX
오는	오/VV+는/ETM
8월	8/SN+월/NNB
26일부터	26/SN+일/NNB+부터/JX
9월	9/SN+월/NNB
4일까지	4/SN+일/NNB+까지/JX
'미국	'/SS+미국/NNP
장애인자립생활센터	장애인자립생활센터/NNG
체험'이라는	체험/NNG+'/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
떠나는	떠나/VV+는/ETM
미국	미국/NNP
연수에	연수/NNG+에/JKB
대해	대하/VV+여/EC
간략히	간략히/MAG
소개하고,	소개하/VV+고/EC+,/SP
자문을	자문/NNG+을/JKO
구했다	구하/VV+였/EP+다/EC

오성섭	오성섭/NNP
소장은	소장/NNG+은/JX
"국내	"/SS+국내/NNG
자립생활센터	자립생활센터/NNG
몇몇	몇몇/MM
활성화된	활성화되/VV+ㄴ/ETM
곳	곳/NNG
이외에	이외/NNG+에/JKB
많은	많/VA+은/ETM
자립생활센터들이	자립생활센터/NNG+들/XSN+이/JKS
아직	아직/MAG
지역사회에서	지역사회/NNG+에서/JKB
인지도가	인지도/NNG+가/JKS
낮다"고	낮/VA+다/EF+"/SS+고/JKQ
지적하면서	지적하/VV+면서/EC
"시급히	"/SS+시급히/MAG
인지도를	인지도/NNG+를/JKO
높이는	높이/VV+는/ETM
것이	것/NNB+이/JKS
중요하다	중요하/VA+다/EC

