장애인들	장애인/NNG+들/XSN
반시설	반시설/NNG
국토대장정	국토대장정/NNG
‘스타트’	‘/SL+스타트/NNG+’/SN

지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
반시설과	반시설/NNG+과/JC
장애인자립생활보장법	장애인자립생활보장법/NNG
제정을	제정/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위해	위하/VV+여/EC
9명의	9/SN+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
‘국토대장정’을	‘/SL+국토대장정’/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
23일간	23/SN+일/NNB+간/XSN
부산을	부산/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
창원,	창원/NNP+,/SP
울산,	울산/NNP+,/SP
대구,	대구/NNP+,/SP
대전,	대전/NNP+,/SP
인천	인천/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
9월	9/SN+월/NNB
4일	4/SN+일/NNB
서울에	서울/NNP+에/JKB
입성하게	입성하/VV+게/EC
된다	되/VV+ㄴ다/EF

전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
장애인	장애인/NNG
시설의	시설/NNG+의/JKG
문제점과	문제점/NNG+과/JC
인권침해·유린	인권침해/NNG+·/SP+유린/NNG
등의	등/NNB+의/JKG
현실과	현실/NNG+과/JC
장애인	장애인/NNG
자립생활	자립생활/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘장애인자립생활보장법	‘/SL+장애인자립생활보장법/NNG
제정’의	제정/NNG+’/SL+의/JKG
필요성을	필요성/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

국토대장정을	국토대장정/NNG+을/JKO
공동주관한	공동주관하/VV+ㄴ/ETM
한국장애인연맹(DPI)의	한국/NNP+장애인연맹/NNG+(/SS+DPI/SL+)/SS+의/JKG
자료협조를	자료협조/NNG+를/JKO
받아	받/VV+아/EC
긴	길/VA+ㄴ/ETM
여정의	여정/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
연재한다	연재하/VV+ㄴ다/EF

<편집자주>	</SS+편집자주/NNG+>/SS
13일	13/SN+일/NNB
부산시청에서	부산/NNP+시청/NNG+에서/JKB
가진	가지/VV+ㄴ/ETM
출정식	출정식/NNG
모습	모습/NNG

이날	이날/NNG
부산	부산/NNP
지역의	지역/NNG+의/JKG
장애인단체	장애인단체/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
참석했다	참석하/VV+였/EP+다/EC

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
8월	8/SN+월/NNB
13일,	13/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희	이권희/NNP
(서울장애인인권포럼	(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원	대원/NNG
어제	어제/NNG
저녁은	저녁/NNG+은/JX
국토대장정에	국토대장정/NNG+에/JKB
참여하기	참여하/VV+기/ETN
위해	위하/VV+여/EC
서울,	서울/NNP+,/SP
인천	인천/NNP
등지에서	등지/NNB+에서/JKB
이	이/MM
곳	곳/NNG
부산에	부산/NNP+에/JKB
모이느라	모이/VV+느라/EC
먼	멀/VA+ㄴ/ETM
거리를	거리/NNG+를/JKO
달려오느라	달려오/VV+느라/EC
피곤할	피곤하/VA+ㄹ/ETM
만도	만/NNB+도/JX
한데	한데/NNG
23일이라는	23/SN+일/NNB+이/VCP+라는/ETM
긴	길/VA+ㄴ/ETM
행군일정이	행군일정/NNG+이/JKS
주는	주/VV+는/ETM
중압감과	중압감/NNG+과/JC
울산에서	울산/NNP+에서/JKB
진행될	진행되/VV+ㄹ/ETM
거점투쟁,	거점투쟁/NNG+,/SP
혹시	혹시/MAG
모를	모르/VV+ㄹ/ETM
사건사고	사건사고/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
불안함	불안하/VA+ㅁ/ETN
때문인지	때문/NNB+이/VCP+ㄴ지/EC
새벽녘까지	새벽녘/NNG+까지/JX
쉽게	쉽/VA+게/EC
잠을	잠/NNG+을/JKO
들지	들/VV+지/EC
못했다	못하/VX+였/EP+다/EC

오늘	오늘/NNG
일어나	일어나/VV+아/EC
보니	보/VX+니/EC
천둥번개에	천둥번개/NNG+에/JKB
시커먼	시커멓/VA+ㄴ/ETM
먹구름	먹구름/NNG
등	등/NNB
첫	첫/MM
출정을	출정/NNG+을/JKO
앞두고	앞두/VV+고/EC
모든	모든/MM
대원들은	대원/NNG+들/XSN+은/JX
바짝	바짝/MAG
긴장했다	긴장하/VV+였/EP+다/EC

오전	오전/NNG
8시	8/SN+시/NNB
30분	30/SN+분/NNB
부산시청	부산/NNP+시청/NNG
광장에	광장/NNG+에/JKB
집결했다	집결하/VV+였/EP+다/EC

부산DPI를	부산/NNP+DPI/SL+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
지역장애인단체	지역장애인단체/NNG
활동가들도	활동가/NNG+들/XSN+도/JX
6~70명	6/SN+~/SO+70/SN+명/NNB
참가한	참가하/VV+ㄴ/ETM
가운데	가운데/NNG
부산	부산/NNP
출정식을	출정식/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

빗줄기를	빗줄기/NNG+를/JKO
맞으며	맞/VV+으며/EC
본대원과	본대/NNG+원/XSN+과/JC
구간대원은	구간대원/NNG+은/JX
사직운동장까지	사직운동장/NNG+까지/JX
이동했다	이동하/VV+였/EP+다/EC

대원들은	대원/NNG+들/XSN+은/JX
조금이라도	조금/NNG+이라도/JX
서로를	서로/NNG+를/JKO
알아가기	알아가/VV+기/ETN
위해	위하/VV+여/EC
약속이나	약속/NNG+이나/JC
한	한/MM
듯	듯/NNB
서로	서로/MAG
한	하/VV+ㄴ/ETM
사람	사람/NNG
한	한/MM
사람에게	사람/NNG+에게/JKB
말을	말/NNG+을/JKO
건네며	건네/VV+며/EC
어색함을	어색하/VA+ㅁ/ETN+을/JKO
달랬다	달러/VV+었/EP+다/EF

특히	특히/MAG
모두들	모두/NNG+들/XSN
내가	내/NP+가/JKS
타고	타/VV+고/EC
온	온/MM
핸드싸이클에	핸드싸이클/NNG+에/JKB
모두	모두/MAG
관심을	관심/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

국산인지,	국산/NNG+이/VCP+ㄴ지/EC+,/SP
수입품인지부터	수입품/NNG+이/VCP+ㄴ지/EC+부터/JX
시작해	시작하/VV+여/EC
가격,	가격/NNG+,/SP
중고	중고/NNG
여부	여부/NNG
등까지	등/NNB+까지/JX
직접	직접/MAG
타보겠다고	타/VV+아/EC+보/VX+겠/EP+다고/EC
하는	하/VV+는/ETM
사람도	사람/NNG+도/JX
있었다	있/VA+었/EP+다/EF

이후	이후/NNG
종합운동장역까지	종합운동장역/NNG+까지/JX
이동해	이동하/VV+여/EC
대저역까지	대저역/NNG+까지/JX
지하철을	지하철/NNG+을/JKO
이용했다	이용하/VV+였/EP+다/EC

부득이하게	부득이하/VA+게/EC
지하철을	지하철/NNG+을/JKO
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없었던	없/VA+었/EP+던/ETM
이유는	이유/NNG+는/JX
부산에서	부산/NNP+에서/JKB
경사와	경사/NNG+와/JC
차량정체가	차량정체/NNG+가/JKS
제일	제일/MAG
심하다는	심하/VA+다는/ETM
만덕터널	만덕터널/NNG
통과를	통과/NNG+를/JKO
우회하기	우회하/VV+기/ETN
위함이였는데,	위하/VV+ㅁ/ETN+이/VCP+였/EP+는데/EC+,/SP
사실	사실/MAG
대원들의	대원/NNG+들/XSN+의/JKG
안전이	안전/NNG+이/JKS
가장	가장/MAG
우선	우선/MAG
고려되었다는	고려되/VV+었/EP+다는/ETM
후문을	후문/NNG+을/JKO
듣기도	듣/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

아쉽게도	아쉽/VA+게/EC+도/JX
구간대원으로	구간대원/NNG+으로/JKB
