'강남구	'/SS+강남구/NNP
보조공학서비스센터'	보조공학서비스센터/NNG+'/SS
설립	설립/NNG
촉구	촉구/NNG

서울	서울/NNP
강남구에	강남구/NNP+에/JKB
중증장애인	중증장애인/NNG
및	및/MAG
노인을	노인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
보조공학서비스센터	보조공학서비스센터/NNG
설립이	설립/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
목소리가	목소리/NNG+가/JKS
제기됐다	제기되/VV+었/EP+다/EF

굿잡장애인자립생활센터는	굿잡장애인자립생활센터/NNG+는/JX
26일	26/SN+일/NNB
성명서를	성명서/NNG+를/JKO
통해	통하/VV+여/EC
강남구청에	강남구청/NNP+에/JKB
장애인	장애인/NNG
및	및/MAG
노인을	노인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
보조공학서비스센터	보조공학서비스센터/NNG
설치를	설치/NNG+를/JKO
촉구했다	촉구하/VV+였/EP+다/EC

보조공학은	보조공학/NNG+은/JX
장애인과	장애인/NNG+과/JC
노인의	노인/NNG+의/JKG
손상된	손상되/VV+ㄴ/ETM
신체적	신체/NNG+적/XSN
기능을	기능/NNG+을/JKO
대체·보완·향상시켜	대체/NNG+·/SP+보완/NNG+·/SP+향상/NNG+시키/XSV+어/EC
일상생활과	일상생활/NNG+과/JC
근로·여가활동	근로/NNG+·/SP+여가활동/NNG
등을	등/NNB+을/JKO
가능케	가능하/VA+게/EC
하는	하/VX+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
우리나라에서도	우리나라/NNG+에서/JKB+도/JX
장애인의	장애인/NNG+의/JKG
사회참여와	사회참여/NNG+와/JC
자립생활이	자립생활/NNG+이/JKS
강조되면서	강조되/VV+면서/EC
장애인	장애인/NNG
당사자와	당사자/NNG+와/JC
전문가들을	전문가/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
보조공학서비스의	보조공학서비스/NNG+의/JKG
중요성이	중요성/NNG+이/JKS
제기되고	제기되/VV+고/EC
있다	있/VX+다/EC

‘장애인복지법’과	‘/SL+장애인복지법’/NNG+과/JC
‘장애인	‘/SN+장애인/NNG
차별금지	차별금지/NNG
및	및/MAG
권리구제	권리구제/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률’	법률/NNG+’/SN
등에서도	등/NNB+에서/JKB+도/JX
보조공학에	보조공학/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
사항이	사항/NNG+이/JKS
일부	일부/NNG
반영되어	반영되/VV+어/EC
있으나,	있/VX+으나/EC+,/SP
실행에	실행/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
법·제도적	법/NNG+·/SP+제도적/NNG
장치가	장치/NNG+가/JKS
실질적으로	실질적/NNG+으로/JKB
마련되지	마련되/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
실정이다	실정/NNG+이/VCP+다/EC

서울시에서도	서울시/NNP+에서/JKB+도/JX
행정과	행정/NNG+과/JC
예산	예산/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
보조공학서비스센터가	보조공학서비스센터/NNG+가/JKS
용산구,	용산구/NNP+,/SP
강동구	강동구/NNP
2개소에	2/SN+개소/NNB+에/JKB
불과하다	불과하/VA+다/EC

센터가	센터/NNG+가/JKS
자료를	자료/NNG+를/JKO
분석한	분석하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
서울시에서	서울시/NNP+에서/JKB
보조기기가	보조기기/NNG+가/JKS
필요한	필요하/VA+ㄴ/ETM
1,2급	1,2/SN+급/NNG
장애인의	장애인/NNG+의/JKG
수는	수/NNG+는/JX
9만3000명으로,	9/SN+만/NR+3000/SN+명/NNB+으로/JKB+,/SP
강남구에서만	강남구/NNP+에서/JKB+만/JX
4400명이다	4400/SN+명/NNB+이/VCP+다/EC

강남구,	강남구/NNP+,/SP
관악구,	관악구/NNP+,/SP
구로구	구로구/NNP
등	등/NNB
서울	서울/NNP
한강이남	한강/NNP+이남/NNG
지역의	지역/NNG+의/JKG
수가	수/NNG+가/JKS
무려	무려/MAG
2만2300명으로,	2/SN+만/NR+2300/SN+명/NNB+으로/JKB+,/SP
이들의	이/NP+들/XSN+의/JKG
수요를	수요/NNG+를/JKO
위해서는	위하/VV+여서/EC+는/JX
센터	센터/NNG
설립이	설립/NNG+이/JKS
꼭	꼭/MAG
필수적이라는	필수적/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
이들의	이/NP+들/XSN+의/JKG
설명	설명/NNG

센터는	센터/NNG+는/JX
“현재	“/SL+현재/NNG
광역	광역/NNG
보조공학서비스센터도	보조공학서비스센터/NNG+도/JX
아니고	아니/VCN+고/EC
성격이	성격/NNG+이/JKS
