‘주거지원법	‘/SL+주거지원법/NNG
시행령’	시행령/NNG+’/SL
장애인	장애인/NNG
‘외면’	‘/SL+외면/NNG+’/SN

오는	오/VV+는/ETM
8월부터	8/SN+월/NNB+부터/JX
시행될	시행되/VV+ㄹ/ETM
국토해양부(이하	국토해양부/NNP+(/SS+이하/NNG
국토부)의	국토부/NNG+)/SS+의/JKG
‘장애인	‘/SL+장애인/NNG
고령자	고령자/NNG
등	등/NNB
주거약자	주/MM+거약자/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’시행령에	법률/NNG+’/SL+시행령/NNG+에/JKB
대해	대하/VV+여/EC
장애계가	장애/NNG+계/XSN+가/JKS
보다	보다/MAG
실효성	실효성/NNG
있는	있/VA+는/ETM
대안을	대안/NNG+을/JKO
마련해야	마련하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
수정을	수정/NNG+을/JKO
요구했다	요구하/VV+었/EP+다/EC

한국장애인단체총연맹(이하	한국/NNP+장애인단체총연맹/NNG+(/SS+이하/NNG
장총)은	장총/NNP+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
국토부에	국토부/NNG+에/JKB
제정안의	제정안/NNG+의/JKG
주요	주요/NNG
쟁점	쟁점/NNG
사항에	사항/NNG+에/JKB
대해	대하/VV+여/EC
개선해야	개선하/VV+여야/EC
할	하/VX+ㄹ/ETM
부분을	부분/NNG+을/JKO
수정해	수정하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구하는	요구하/VV+는/ETM
검토의견서를	검토의견/NNG+서/XSN+를/JKO
제출했다	제출하/VV+였/EP+다/EC

앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
4월26일	4/SN+월/NNB+26/SN+일/NNB
국토부는	국토부/NNG+는/JX
오는	오/VV+는/ETM
8월로	8/SN+월/NNB+로/JKB
예정된	예정되/VV+ㄴ/ETM
‘장애인·고령자	‘/SN+장애인/NNG+·/SP+고령자/NNG
등	등/NNB
주거약자	주/MM+거약자/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’의	법률/NNG+’/SL+의/JKG
제도시행을	제도시행/NNG+을/JKO
위해	위하/VV+여/EC
시행령	시행령/NNG
및	및/MAG
시행규칙을	시행규칙/NNG+을/JKO
입법	입법/NNG
예고했다	예고하/VV+였/EP+다/EC

이번	이번/NNG
입법	입법/NNG
예고는	예고/NNG+는/JX
제정	제정/NNG
법안에	법안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
후속조치로서	후속조치/NNG+로서/JKB
동법에서	동법/NNG+에서/JKB
위임된	위임되/VV+ㄴ/ETM
사항과	사항/NNG+과/JC
그	그/MM
시행에	시행/NNG+에/JKB
관해	관하/VV+여/EC
필요한	필요하/VA+ㄴ/ETM
사항을	사항/NNG+을/JKO
시행령	시행령/NNG
및	및/MAG
시행규칙으로	시행규칙/NNG+으로/JKB
규정한	규정하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
,‘편의시설	,/SP+‘/SN+편의시설/NNG
설치기준’,	설치기준/NNG+’/SL+,/SP
‘의무적으로	‘/SL+의무적/NNG+으로/JKB
건설하여야	건설하/VV+여야/EC
하는	하/VX+는/ETM
건설임대주택	건설임대주택/NNG
유형	유형/NNG
및	및/MAG
의무건설	의무건설/NNG
비율’등을	비율/NNG+’/SN+등/NNB+을/JKO
규정하고	규정하/VV+고/EC
있다	있/VX+다/EC

장총의	장총/NNG+의/JKG
검토	검토/NNG
결과,	결과/NNG+,/SP
제정안은	제정안/NNG+은/JX
현재	현재/MAG
시행되고	시행되/VV+고/EC
있는	있/VX+는/ETM
주거	주거/NNG
정책을	정책/NNG+을/JKO
그대로	그대로/MAG
반영하거나,	반영하/VV+거나/EC+,/SP
일부	일부/NNG
규정은	규정/NNG+은/JX
오히려	오히려/MAG
현	현/MM
정책보다도	정책/NNG+보다/JKB+도/JX
퇴보된	퇴보/NNG+되/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있어	있/VX+어/EC
제정	제정/NNG
취지를	취지/NNG+를/JKO
충분히	충분히/MAG
반영하지	반영하/VV+지/EC
못한다라는	못하/VX+ㄴ다라는/ETM
결과를	결과/NNG+를/JKO
낳았다	낳/VV+았/EP+다/EC

■장애유형에	■/SW+장애유형/NNP+에/JKB
상관없이	상관없이/MAG
편의시설	편의시설/NNG
공통	공통/NNG
적용=검토서에	적용/NNG+=/SW+검토서/NNG+에/JKB
따르면	따르/VV+면/EC
먼저	먼저/MAG
주거약자용	주거약자/NNG+용/XSN
주택의	주택/NNG+의/JKG
편의시설	편의시설/NNG
설치기준이	설치기준/NNG+이/JKS
마련된	마련되/VV+ㄴ/ETM
시행령	시행령/NNG
제3조인	제/XPN+3/SN+조/NNB+이/VCP+ㄴ/ETM
‘편의시설	‘/SN+편의시설/NNG
설치	설치/NNG
기준’에	기준/NNG+’/SL+에/JKB
반대	반대/NNG
의견을	의견/NNG+을/JKO
표했다	표하/VV+였/EP+다/EC

이는	이/NP+는/JX
주택유형별로	주택유형/NNG+별/XSN+로/JKB
반드시	반드시/MAG
설치해야하는	설치하/VV+여야/EC+하/VX+는/ETM
편의시설과	편의시설/NNG+과/JC
장애유형별로	장애유형/NNG+별/XSN+로/JKB
선택해	선택하/VV+여/EC
설치할	설치하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시설을	시설/NNG+을/JKO
구분해	구분하/VV+여/EC
규정짓고	규정짓/VV+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
이는	이/NP+는/JX
편의시설을	편의시설/NNG+을/JKO
적용주택별,	적용주택/NNG+별/XSN+,/SP
장애유형별	장애유형별/NNG
적용대상에	적용대상/NNG+에/JKB
따라	따르/VV+아/EC
설치	설치/NNG
