"폭우를	"/SS+폭우/NNG+를/JKO
피한다면	피하/VV+ㄴ다면/EC
기다리는	기다리/VV+는/ETM
건	것/NNB+ㄴ/JX
땡볕"	땡볕/NNG+"/SS

지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
반시설과	반시설/NNG+과/JC
장애인자립생활보장법	장애인자립생활보장법/NNG
제정을	제정/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위해	위하/VV+여/EC
9명의	9/SN+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
‘국토대장정’을	‘/SL+국토대장정’/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
23일간	23/SN+일/NNB+간/XSN
부산을	부산/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
창원,	창원/NNP+,/SP
울산,	울산/NNP+,/SP
대구,	대구/NNP+,/SP
대전,	대전/NNP+,/SP
인천	인천/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
9월	9/SN+월/NNB
4일	4/SN+일/NNB
서울에	서울/NNP+에/JKB
입성하게	입성하/VV+게/EC
된다	되/VV+ㄴ다/EF

전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
장애인	장애인/NNG
시설의	시설/NNG+의/JKG
문제점과	문제점/NNG+과/JC
인권침해·유린	인권침해/NNG+·/SP+유린/NNG
등의	등/NNB+의/JKG
현실과	현실/NNG+과/JC
장애인	장애인/NNG
자립생활	자립생활/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘장애인자립생활보장법	‘/SL+장애인자립생활보장법/NNG
제정’의	제정/NNG+’/SL+의/JKG
필요성을	필요성/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

국토대장정을	국토대장정/NNG+을/JKO
공동주관한	공동주관하/VV+ㄴ/ETM
한국장애인연맹(DPI)의	한국/NNP+장애인연맹/NNG+(/SS+DPI/SL+)/SS+의/JKG
자료협조를	자료협조/NNG+를/JKO
받아	받/VV+아/EC
긴	길/VA+ㄴ/ETM
여정의	여정/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
연재한다	연재하/VV+ㄴ다/EF

<편집자주>	</SS+편집자주/NNG+>/SS
비를	비/NNG+를/JKO
맞으며	맞/VV+으며/EC
행군하던	행군하/VA+던/ETM
도중	도중/NNG
국토대장정	국토대장정/NNG
대원의	대원/NNG+의/JKG
휠체어가	휠체어/NNG+가/JKS
방전되어	방전되/VV+어/EC
확인하는	확인하/VV+는/ETM
모습	모습/NNG

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
8월	8/SN+월/NNB
22일,	22/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희	이권희/NNP
(서울장애인인권포럼	(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원이른	대원이르/VA+ㄴ/ETM
아침	아침/NNG
미리	미리/MAG
챙겨놓은	챙기/VV+어/EC+놓/VX+은/ETM
짐을	짐/NNG+을/JKO
차에	차/NNG+에/JKB
옮겨	옮기/VV+어/EC
싣고,	싣/VV+고/EC+,/SP
경찰과	경찰/NNG+과/JKB
만나기로	만나/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
김천역으로	김천역/NNP+으로/JKB
향했다	향하/VV+었/EP+다/EC

김천역	김천역/NNP
역사에서	역사/NNG+에서/JKB
따로	따로/MAG
잠을	잠/NNG+을/JKO
잔	자/VV+ㄴ/ETM
박정선	박정선/NNP
대원이	대원/NNG+이/JKS
걱정이	걱정/NNG+이/JKC
되어	되/VV+어/EC
