‘장애인전환서비스센터	‘/SL+장애인전환서비스센터/NNG
제구실	제구실/NNG
못	못/MAG
한다’	하/VV+ㄴ다/EF+’/SF

서울시가	서울시/NNP+가/JKS
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
추진하고	추진하/VV+고/EC
있는	있/VX+는/ETM
탈시설-자립생할	탈시설/NNG+-/SO+자립생/NNG+하/XSV+ㄹ/ETM
지원정책	지원정책/NNG
중	중/NNB
하나인	하나/NNG+이/VCP+ㄴ/ETM
장애인전환서비스센터(지랍생활체험홈·자립생활가정)의	장애인전환서비스센터/NNG+(/SS+지랍생활체험홈/NNG+·/SP+자립생활가정/NNG+)/SS+의/JKG
업무가	업무/NNG+가/JKS
실질적으로	실질적/NNG+으로/JKB
지역사회자립으로까지	지역사회자립/NNG+으로/JKB+까지/JX
이어지지	이어지/VV+지/EC
못하고	못하/VX+고/EC
있다는	있/VX+다는/ETM
지적이다	지적/NNG+이/VCP+다/EC

서울시자립생활지원네트워크,	서울시자립생활지원네트워크/NNP+,/SP
서울시장애인차별철폐연대,	서울/NNP+시장애인차별철폐연대/NNG+,/SP
서울장애인자립생활활센터협의회,	서울/NNP+장애인자립생활활센터협의회/NNG+,/SP
서울시의회장애인특별위원회는	서울/NNP+시의회장애인특별위원회/NNG+는/JX
공동으로	공동/NNG+으로/JKB
13일	13/SN+일/NNB
오후	오후/NNG
서울시의회	서울시/NNP+의회/NNG
별관	별관/NNG
의원회관에서	의원회관/NNG+에서/JKB
‘서울시	‘/SN+서울시/NNP
탈시설	탈시설/NNG
장애인	장애인/NNG
지원체계	지원체계/NNG
구축을	구축/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책	정책/NNG
토론회’를	토론회’/NNG+를/JKO
개최했다	개최하/VV+였/EP+다/EC

이번	이번/NNG
토론회는	토론회/NNG+는/JX
서울시가	서울시/NNP+가/JKS
추진하고	추진하/VV+고/EC
있는	있/VX+는/ETM
탈시설-자립생활	탈시설/NNG+-/SO+자립생활/NNG
지원정책의	지원정책/NNG+의/JKG
현재를	현재/NNG+를/JKO
살펴보고	살펴보/VV+고/EC
향후	향후/NNG
나아가야할	나아가/VV+아야/EC+하/VX+ㄹ/ETM
방안을	방안/NNG+을/JKO
모색하기	모색하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
자리다	자리/NNG+이/VCP+다/EF

현재	현재/MAG
서울시가	서울시/NNP+가/JKS
추진하고	추진하/VV+고/EC
있는	있/VX+는/ETM
탈시설-자립생활	탈시설/NNG+-/SO+자립생활/NNG
지원정책은	지원정책/NNG+은/JX
크게	크/VA+게/EC
4가지로	4/SN+가지/NNB+로/JKB
장애인전환서비스센터(이하	장애인전환서비스센터/NNG+(/SS+이하/NNG
서비스센터),	서비스센터/NNG+)/SS+,/SP
초기정착에	초기정착/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
탈시설정착금	탈시설정착금/NNG
지원,	지원/NNG+,/SP
중증장애인전세주택	중증장애인전세주택/NNG
제공사업,	제공사업/NNG+,/SP
주거환경개선사업	주거환경개선사업/NNG
등이다	등/NNB+이/VCP+다/EC

김은애	김은애/NNP
장애와인권발바닥행동	장애와인권발바닥행동/NNP
상임활동가	상임활동가/NNG

김	김/NNP
활동가는	활동가/NNG+는/JX
서울시가	서울시/NNP+가/JKS
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
추진하고	추진하/VV+고/EC
있는	있/VX+는/ETM
탈시설-자립생할	탈시설/NNG+-/SO+자립생/NNG+하/XSV+ㄹ/ETM
지원정책	지원정책/NNG
중	중/NNB
하나인	하나/NNG+이/VCP+ㄴ/ETM
장애인전환서비스센터의	장애인전환서비스센터/NNG+의/JKG
업무가	업무/NNG+가/JKS
실질적으로	실질적/NNG+으로/JKB
지역사회자립으로까지	지역사회자립/NNG+으로/JKB+까지/JX
이어지지	이어지/VV+지/EC
못하고	못하/VX+고/EC
있다	있/VX+다/EC
지적했다	지적하/VV+였/EP+다/EF

이날	이날/NNG
발제자로	발제/NNG+자/XSN+로/JKB
나선	나서/VV+ㄴ/ETM
김은애	김은애/NNP
장애와인권발바닥행동	장애와인권발바닥행동/NNP
상임활동가는	상임활동가/NNG+는/JX
“서비스센터의	“/SN+서비스센터/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
보면	보/VV+면/EC
장애인생활시설,	장애인생활시설/NNG+,/SP
자립생활	자립생활/NNG
체험홈,	체험홈/NNG+,/SP
자립생활가정,	자립생활가정/NNG+,/SP
지역사회자립	지역사회자립/NNG
순의	순/NNP+의/JKG
구도를	구도/NNG+를/JKO
가지고	가지/VV+고/EC
있으나	있/VX+으나/EC
지역사회지원연계와	지역사회지원연계/NNG+와/JC
사후관리	사후관리/NNG
및	및/MAG
지원	지원/NNG
등의	등/NNB+의/JKG
지역사회자립을	지역사회자립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
실질적	실질적/NNG
지원체계가	지원체계/NNG+가/JKS
없다”고	없/VA+다”고/EC
주장했다	주장하/VV+였/EP+다/EC

김	김/NNP
활동가는	활동가/NNG+는/JX
“서비스센터는	“/SN+서비스센터/NNG+는/JX
실질적으로	실질적/NNG+으로/JKB
자립생활체험홈과	자립생활체험홈/NNG+과/JC
자립생활가정까지만	자립생활가정/NNG+까지만/JX
지원을	지원/NNG+을/JKO
하고	하/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“지역사회자립을	“/SL+지역사회자립/NNG+을/JKO
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
것인지에	것/NNB+이/VCP+ㄴ지/EC+에/JKB
대한	대하/VV+ㄴ/ETM
구체적	구체적/NNG
내용이	내용/NNG+이/JKS
만들어져야	만들/VV+어/EC+지/VX+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

서비스센터는	서비스센터/NNG+는/JX
2007년까지	2007/SN+년/NNB+까지/JX
석암재단	석암재단/NNP
베데스타요양원에	베데스타요양원/NNP+에/JKB
거주했던	거주하/VV+였/EP+던/ETM
8명의	8/SN+명/NNB+의/JKG
장애인들이	장애인/NNG+들/XSN+이/JKS
2008년	2008/SN+년/NNB
시설장애인을	시설장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대책을	대책/NNG+을/JKO
촉구하면서	촉구하/VV+면서/EC
마련됐다	마련되/VV+었/EP+다/EF

당시	당시/NNG
8명의	8/SN+명/NNB+의/JKG
장애인들은	장애인/NNG+들/XSN+은/JX
마로니에	마로니에/NNG
공원에서	공원/NNG+에서/JKB
62일간	62/SN+일/NNB+간/XSN
노숙농성을	노숙농성/NNG+을/JKO
벌였고,	벌이/VV+었/EP+고/EC+,/SP
서울시는	서울시/NNP+는/JX
2009년	2009/SN+년/NNB
‘탈시설화	‘/SN+탈/NNB+시설/NNG+화/XSN
정책	정책/NNG
및	및/MAG
주거환경	주거환경/NNG
지원	지원/NNG
학술연구	학술연구/NNG
용역’과	용역/NNG+’/SL+과/JC
‘장애인생활시설	‘/SN+장애인생활시설/NNG
개선	개선/NNG
및	및/MAG
자립생활	자립생활/NNG
지원계획’을	지원계획/NNG+’/SL+을/JKO
수립	수립/NNG
2010년	2010/SN+년/NNB
5월	5/SN+월/NNB
서비스센터를	서비스센터/NNG+를/JKO
개소했다	개소하/VV+였/EP+다/EC

이에	이/NP+에/JKB
앞선	앞서/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
12월	12/SN+월/NNB
서울시는	서울시/NNP+는/JX
자립생활체험홈	자립생활체험홈/NNG
3개소를	3/SN+개소/NNB+를/JKO
시범운영하고	시범/NNG+운영하/VV+고/EC
2011년	2011/SN+년/NNB
20개소로	20/SN+개소/NNB+로/JKB
운영을	운영/NNG+을/JKO
확대했다	확대하/VV+였/EP+다/EC

또한	또한/MAG
2010년	2010/SN+년/NNB
7월에는	7/SN+월/NNB+에/JKB+는/JX
자립생활가정	자립생활가정/NNG
1개소를	1/SN+개소/NNB+를/JKO
개원했고	개원하/VV+였/EP+고/EC
현재	현재/MAG
21개소를	21/SN+개소/NNB+를/JKO
확보해	확보하/VV+여/EC
놓은	놓/VX+은/ETM
상태다	상태/NNG+이/VCP+다/EC

올해	올해/NNG
1월에는	1/SN+월/NNB+에/JKB+는/JX
시설	시설/NNG
퇴소	퇴소/NNG
장애인의	장애인/NNG+의/JKG
거주	거주/NNG
안정을	안정/NNG+을/JKO
위해	위하/VV+여/EC
전세주택(보증금)	전세주택/NNG+(/SS+보증금/NNG+)/SS
제공	제공/NNG
지원체계를	지원체계/NNG+를/JKO
마련해	마련하/VV+여/EC
추진하고	추진하/VV+고/EC
있다	있/VX+다/EC

이외에도	이외/NNG+에/JKB+도/JX
김	김/NNP
활동가는	활동가/NNG+는/JX
“현재	“/SL+현재/NNG
시설에서	시설/NNG+에서/JKB
거주하고	거주하/VV+고/EC
있는	있/VX+는/ETM
당사자의	당사자/NNG+의/JKG
경우	경우/NNG
독립세대주로	독립세대주/NNG+로/JKB
돼	되/VV+어/EC
있는	있/VX+는/ETM
사례는	사례/NNG+는/JX
거의	거의/MAG
없다”며	없/VA+다/EC+”/VX+며/EC
“시설에서	“/SN+시설/NNG+에서/JKB
바로	바로/MAG
지역사회	지역사회/NNG
자립으로	자립/NNG+으로/JKB
전환할	전환하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
독립세대주로	독립세대주/NNG+로/JKB
분리해	분리하/VV+여/EC
임대아파트	임대아파트/NNG
등의	등/NNB+의/JKG
신청	신청/NNG
자격을	자격/NNG+을/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

특히	특히/MAG
김	김/NNP
활동가는	활동가/NNG+는/JX
“올해	“/SL+올해/NNG
서울시는	서울시/NNP+는/JX
기초생활수급자,	기초생활수급/NNG+자/XSN+,/SP
차상위120%	차상위/NNG+120/SN+%/SW
이하의	이하/NNG+의/JKG
시설	시설/NNG
퇴소자에	퇴소/NNG+자/XSN+에/JKB
한해	한하/VV+여/EC
퇴소	퇴소/NNG
정착금을	정착금/NNG+을/JKO
지원한다고	지원하/VV+ㄴ다고/EC
명시하고	명시하/VV+고/EC
있는데	있/VX+는데/EC
이는	이/NP+는/JX
개선돼야	개선되/VV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"시설	"/SS+시설/NNG
거주자	거주자/NNG
중에는	중/NNB+에/JKB+는/JX
부양의무관계로	부양의무관계/NNG+로/JKB
비수급자	비수급/NNG+자/JKC
되면서	되/VV+면서/EC
탈시설에	탈시설/NNG+에/JKB
걸림돌이	걸림돌/NNG+이/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
상황”이라고	상황/NNG+”/SN+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EC

서울시는	서울시/NNP+는/JX
탈시설	탈시설/NNG
활성화	활성화/NNG
계획으로	계획/NNG+으로/JKB
사설의	사설/NNG+의/JKG
사회화(정상화),	사회화/NNG+(/SS+정상화/NNG+)/SS+,/SP
당사자	당사자/NNG
중심의	중심/NNG+의/JKG
시설운영,	시설운영/NNG+,/SP
시설입조	시설입조/NNG
자격	자격/NNG
기준	기준/NNG
강화,	강화/NNG+,/SP
거주시설의	거주시설/NNG+의/JKG
주거	주거/NNG
환경	환경/NNG
개선	개선/NNG
등을	등/NNB+을/JKO
제시했다	제시하/VV+였/EP+다/EC

최생인	최생/NNG+이/VCP+ㄴ/ETM
서울시	서울시/NNP
장애인복지과	장애인복지/NNG+과/JC
장애인생활지원팀장	장애인생활지원팀장/NNG

최	최/NNP
팀장은	팀장/NNG+은/JX
탈시설을	탈시설/NNG+을/JKO
활성화하기	활성화하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
향후	향후/NNG
계획으로	계획/NNG+으로/JKB
사설의	사설/NNG+의/JKG
사회화(정상화,	사회화/NNG+(/SS+정상화/NNG+,/SP
당사자	당사자/NNG
중심의	중심/NNG+의/JKG
시설운영,	시설운영/NNG+,/SP
시설입조	시설입조/NNG
자격	자격/NNG
기준	기준/NNG
강화,	강화/NNG+,/SP
거주시설의	거주시설/NNG+의/JKG
주거	주거/NNG
환경	환경/NNG
개선	개선/NNG
등을	등/NNB+을/JKO
제시했다	제시하/VV+였/EP+다/EC

이날	이날/NNG
토론자로	토론자/NNG+로/JKB
참석한	참석하/VV+ㄴ/ETM
최생인	최생/NNG+이/VCP+ㄴ/ETM
서울시	서울시/NNP
장애인복지과	장애인복지/NNG+과/JC
장애인생활지원팀장은	장애인생활지원팀장/NNG+은/JX
“지역사회	“/SN+지역사회/NNG
프로그램과	프로그램/NNG+과/JC
자원	자원/NNG
등을	등/NNB+을/JKO
활용,	활용/NNG+,/SP
시설과	시설/NNG+과/JC
복지관·자립생활센터를	복지관/NNG+·/SP+자립생활센터/NNG+를/JKO
네트워크화	네트워크화/NNG
하고	하/VV+고/EC
시설	시설/NNG
거주	거주/NNG
장애인의	장애인/NNG+의/JKG
심리치료,	심리치료/NNG+,/SP
동기부여	동기부여/NNG
등을	등/NNB+을/JKO
위해	위하/VV+여/EC
전문상담가	전문상담/NNG+가/JKS
또는	또는/MAG
동료상담가	동료상담/NNG+가/JKS
등을	등/NNB+을/JKO
시설에	시설/NNG+에/JKB
상시	상시/NNG
배치	배치/NNG
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

또한	또한/MAG
“시설	“/SL+시설/NNG
거주	거주/NNG
장애인의	장애인/NNG+의/JKG
지역사회	지역사회/NNG
프로그램	프로그램/NNG
이용,	이용/NNG+,/SP
문화·여가	문화/NNG+·/SP+여가/NNG
활동	활동/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
나들이	나들이/NNG
보조인(가칭)을	보조인/NNG+(/SS+가칭/NNG+)/SS+을/JKO
지원하고	지원하/VV+고/EC
아울러	아울러/MAG
시설의	시설/NNG+의/JKG
인적·물적	인적/NNG+·/SP+물적/NNG
자원을	자원/NNG+을/JKO
지역사회에	지역사회/NNG+에/JKB
거주하는	거주하/VV+는/ETM
장애인이	장애인/NNG+이/JKS
활용할	활용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
