"시민들도	"/SS+시민/NNG+들/XSN+도/JX
반시설	반/XPN+시설/NNG
동의…국토대장정의	동의/NNG+…/SE+국토대장정/NNG+의/JKG
'힘'"	'/SS+힘/NNG+'"/SS

지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
반시설과	반시설/NNG+과/JC
장애인자립생활보장법	장애인자립생활보장법/NNG
제정을	제정/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위해	위하/VV+여/EC
9명의	9/SN+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
‘국토대장정’을	‘/SL+국토대장정’/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
23일간	23/SN+일/NNB+간/XSN
부산을	부산/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
창원,	창원/NNP+,/SP
울산,	울산/NNP+,/SP
대구,	대구/NNP+,/SP
대전,	대전/NNP+,/SP
인천	인천/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
9월	9/SN+월/NNB
4일	4/SN+일/NNB
서울에	서울/NNP+에/JKB
입성하게	입성하/VV+게/EC
된다	되/VV+ㄴ다/EF

전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
장애인	장애인/NNG
시설의	시설/NNG+의/JKG
문제점과	문제점/NNG+과/JC
인권침해·유린	인권침해/NNG+·/SP+유린/NNG
등의	등/NNB+의/JKG
현실과	현실/NNG+과/JC
장애인	장애인/NNG
자립생활	자립생활/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘장애인자립생활보장법	‘/SL+장애인자립생활보장법/NNG
제정’의	제정/NNG+’/SL+의/JKG
필요성을	필요성/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

국토대장정을	국토대장정/NNG+을/JKO
공동주관한	공동주관하/VV+ㄴ/ETM
한국장애인연맹(DPI)의	한국/NNP+장애인연맹/NNG+(/SS+DPI/SL+)/SS+의/JKG
자료협조를	자료협조/NNG+를/JKO
받아	받/VV+아/EC
긴	길/VA+ㄴ/ETM
여정의	여정/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
연재한다	연재하/VV+ㄴ다/EF

<편집자주>	</SS+편집자주/NNG+>/SS
더위에	더위/NNG+에/JKB
지친	지치/VV+ㄴ/ETM
국토대장정	국토대장정/NNG
대원들이	대원/NNG+들/XSN+이/JKS
다리	다리/NNG
밑에서	밑/NNG+에서/JKB
휴식을	휴식/NNG+을/JKO
취하고	취하/VV+고/EC
있다	있/VX+다/EC

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
8월	8/SN+월/NNB
20일,	20/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희	이권희/NNP
(서울장애인인권포럼	(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원대구DPI	대원대구/NNG+DPI/SL
서준호	서준호/NNP
사무국장과	사무국/NNG+장/XSN+과/JC
경찰의	경찰/NNG+의/JKG
길	길/NNG
안내로	안내/NNG+로/JKB
약	약/MM
1시간	1/SN+시간/NNB
정도의	정도/NNG+의/JKG
시내행군을	시내행군/NNG+을/JKO
통해	통하/VV+여/EC
오전	오전/NNG
10시	10/SN+시/NNB
대구시청에	대구시청/NNP+에/JKB
도착하였고,	도착하/VV+였/EP+고/EC+,/SP
약	약/MM
30여명의	30/SN+여/XSN+명/NNB+의/JKG
대구지역	대구/NNP+지역/NNG
시민사회단체	시민사회단체/NNG
활동가들과	활동가/NNG+들/XSN+과/JKB
함께	함께/MAG
대구지역	대구/NNP+지역/NNG
결의대회를	결의대회/NNG+를/JKO
기자회견	기자회견/NNG
형식으로	형식/NNG+으로/JKB
약	약/MM
30분간	30/SN+분/NNB+간/XSN
진행한	진행하/VV+ㄴ/ETM
다음	다음/NNG
곧바로	곧바로/MAG
다음	다음/NNG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
칠곡을	칠곡/NNP+을/JKO
향했다	향하/VV+었/EP+다/EC

오후	오후/NNG
1시	1/SN+시/NNB
30분에	30/SN+분/NNB+에/JKB
덕산교회에	덕산교회/NNP+에/JKB
도착하여	도착하/VV+여/EC
도시락으로	도시락/NNG+으로/JKB
점심식사를	점심식사/NNG+를/JKO
하였고,	하/VV+였/EP+고/EC+,/SP
전동휠체어	전동휠체어/NNG
충전을	충전/NNG+을/JKO
위해	위하/VV+여/EC
2시간	2/SN+시간/NNB
정도	정도/NNG
휴식을	휴식/NNG+을/JKO
취했다	취하/VV+였/EP+다/EC

교회건물	교회건물/NNG
옆에	옆/NNG+에/JKB
노인대학으로	노인대학/NNG+으로/JKB
이용되는	이용되/VV+는/ETM
공간을	공간/NNG+을/JKO
목사님이	목사/NNG+님/XSN+이/JKS
내어	내/VV+어/EC
주셨다	주/VV+시었/EP+다/EC

짧은	짧/VA+은/ETM
시간이지만	시간/NNG+이/VCP+지만/EC
1시간	1/SN+시간/NNB
