우리의	우리/NP+의/JKG
자립은	자립/NNG+은/JX
현재	현재/MAG
진행형!	진행형/NNG+!/SF

최근	최근/NNG
하남장애인자립생활센터의	하남/NNP+장애인자립생활센터/NNG+의/JKG
동료상담	동료상담/NNG
심화교육을	심화교육/NNG+을/JKO
갔다가	가/VV+았/EP+다가/EC
나와	나오/VV+아/EC
같은	같/VA+은/ETM
이름의	이름/NNG+의/JKG
그녀를	그녀/NP+를/JKO
만났다	만나/VV+았/EP+다/EC

은미와	은미/NNP+와/JC
은미	은미/NNP

이름이	이름/NNG+이/JKS
같아서,	같/VA+아서/EC+,/SP
같은	같/VA+은/ETM
여성장애인이라서	여성장애인/NNG+이/VCP+라서/EC

더	더/MAG
관심이	관심/NNG+이/JKS
갔다	가/VV+았/EP+다/EC

그녀는	그녀/NP+는/JX
현재	현재/MAG
국문학과	국문학과/NNG
4학년,	4/SN+학년/NNG+,/SP
작가를	작가/NNG+를/JKO
꿈꾸는	꿈꾸/VV+는/ETM
30대	30/SN+대/NNB
초반의	초반/NNG+의/JKG
여성장애인이었다	여성장애인/NNG+이/VCP+었/EP+다/EF

동료상담을	동료상담/NNG+을/JKO
하면서	하/VV+면서/EC
과거에	과거/NNG+에/JKB
겪었던	겪/VV+었/EP+던/ETM
힘들었던	힘들/VA+었/EP+던/ETM
시간을	시간/NNG+을/JKO
돌아보며	돌아보/VV+며/EC
참	참/MAG
많이도	많이/MAG+도/JX
울었다	울/VV+었/EP+다/EC

강의를	강의/NNG+를/JKO
진행하던	진행하/VV+던/ETM
나도	나/NP+도/JX
함께	함께/MAG
울수	울/VV+ㄹ/ETM+수/NNG
밖에	밖에/JX
없던	없/VA+던/ETM
가슴아픈	가슴/NNG+아프/VA+ㄴ/ETM
경험들이	경험/NNG+들/XSN+이/JKS
토해져	토해지/VV+어/EC
나왔다	나오/VV+았/EP+다/EF

그녀를	그녀/NP+를/JKO
울게하는	울/VV+게/EC+하/VX+는/ETM
현실이라는	현실/NNG+이/VCP+라는/ETM
사회는	사회/NNG+는/JX
참	참/MAG
녹녹치	녹녹하/VA+지/EC
않았다	않/VX+았/EP+다/EF

자립생활을	자립생활/NNG+을/JKO
겁내던	겁내/VV+던/ETM
그녀에게	그녀/NP+에게/JKB
시간은	시간/NNG+은/JX
너무나	너무나/MAG
빨리	빨리/MAG
지나가	지나가/VV+아/EC
벌써	벌써/MAG
30대가	30/SN+대/NNB+가/JKS
되었다	되/VV+었/EP+다/EC

그러다가	그러/VV+다가/EC
한	한/MM
