부족한	부족하/VA+ㄴ/ETM
활동지원,	활동지원/NNG+,/SP
가계에	가계/NNG+에/JKB
‘직격탄’	‘/SN+직격탄/NNG+’/SN

지난해	지난해/NNG
10월부터	10/SN+월/NNB+부터/JX
본격	본격/NNG
시행된	시행되/VV+ㄴ/ETM
장애인	장애인/NNG
활동지원제도	활동지원/NNG+제/XSN+도/JX

이는	이/NP+는/JX
혼자서	혼자/NNG+서/JKS
일상생활과	일상생활/NNG+과/JC
사회생활이	사회생활/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
장애인에게	장애인/NNG+에게/JKB
활동지원급여를	활동지원급여/NNG+를/JKO
제공해	제공하/VV+여/EC
장애인의	장애인/NNG+의/JKG
자립생활을	자립생활/NNG+을/JKO
지원하고	지원하/VV+고/EC
그	그/MM
가족의	가족/NNG+의/JKG
부담을	부담/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
제도로,	제도/NNG+로/JKB+,/SP
많은	많/VA+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
집	집/NNG
밖을	밖/NNG+을/JKO
당당히	당당히/MAG
나설	나서/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
뒷	뒷/SW
받침	받침/NNG
해주고	하/VV+여/EC+주/VX+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
일각에서는	일각/NNG+에서/JKB+는/JX
하루종일	하루종일/NNG
누워서	눕/VV+어서/EC
생활하는	생활하/VV+는/ETM
와상장애인이나	와상장애인/NNG+이나/JC
호흡기	호흡기/NNG
장애인	장애인/NNG
등	등/NNB
일부	일부/NNG
장애인에게는	장애인/NNG+에게/JKB+는/JX
24시간	24/SN+시간/NNB
도움을	도움/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
활동보조인이	활동보조인/NNG+이/JKS
가족의	가족/NNG+의/JKG
부담을	부담/NNG+을/JKO
덜	덜/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
우려의	우려/NNG+의/JKG
시각도	시각/NNG+도/JX
조심스레	조심스레/MAG
나오고	나오/VV+고/EC
있다	있/VX+다/EC

■30년간	■/SW+30/SN+년/NNB+간/XSN
수발…고달픈	수발/NNG+…/SE+고달프/VA+ㄴ/ETM
생활의	생활/NNG+의/JKG
연장=30년전	연장/NNG+=/SW+30/SN+년/NNB+전/NNG
사고로	사고/NNG+로/JKB
인해	인하/VV+여/EC
사지마비	사지마비/NNG
판정을	판정/NNG+을/JKO
받은	받/VV+은/ETM
지체1급	지체/NNG+1/SN+급/NNG
장애인	장애인/NNG
박민호(가명·62)씨는	박민호/NNP+(/SS+가명/NNG+·/SP+62/SN+)/SS+씨/NNB+는/JX
수화기를	수화기/NNG+를/JKO
통해	통하/VV+여/EC
긴	길/VA+ㄴ/ETM
한숨을	한숨/NNG+을/JKO
토했다	토하/VV+였/EP+다/EC

항상	항상/MAG
그의	그/NP+의/JKG
곁에서	곁/NNG+에서/JKB
모든	모든/MM
생활을	생활/NNG+을/JKO
돕고	돕/VV+고/EC
있는	있/VX+는/ETM
아내와의	아내/NNG+와/JKB+의/JKG
생활이	생활/NNG+이/JKS
너무나	너무나/MAG
고달프다는	고달프/VA+다는/ETM
것	것/NNB

경기도	경기도/NNP
평택에	평택/NNP+에/JKB
거주하는	거주하/VV+는/ETM
박씨는	박/NNP+씨/NNB+는/JX
사고로	사고/NNG+로/JKB
인한	인하/VV+ㄴ/ETM
경추신경	경추신경/NNG
손상으로	손상/NNG+으로/JKB
전신을	전신/NNG+을/JKO
사용하지	사용하/VV+지/EC
못하는	못하/VX+는/ETM
중증으로,	중증/NNG+으로/JKB+,/SP
혼자서는	혼자/NNG+서/JKS+는/JX
앉아서도,	앉/VV+아서/EC+도/JX+,/SP
손가락을	손가락/NNG+을/JKO
굽힐	굽히/VV+ㄹ/ETM
수도	수/NNB+도/JX
없다	없/VA+다/EC

그런	그런/MM
그를	그/NP+를/JKO
위해	위하/VV+여/EC
아내	아내/NNG
장모씨는	장/NNP+모/NP+씨/NNB+는/JX
30년간	30/SN+년/NNB+간/XSN
신변처리는	신변처리/NNG+는/JX
물론,	물론/MAG+,/SP
24시간	24/SN+시간/NNB
그의	그/NP+의/JKG
곁에서	곁/NNG+에서/JKB
함께하고	함께하/VV+고/EC
있다	있/VX+다/EC

그로	그/NP+로/JKB
인해	인하/VV+여/EC
변변찮은	변변찮/VA+은/ETM
수입	수입/NNG
없이,	없이/MAG+,/SP
장씨의	장/NNP+씨/NNB+의/JKG
잠깐	잠깐/NNG
잠깐의	잠깐/NNG+의/JKG
아르바이트를	아르바이트/NNG+를/JKO
통해	통하/VV+여/EC
생계를	생계/NNG+를/JKO
어렵게	어렵/VA+게/EC
유지하고	유지하/VV+고/EC
있는	있/VX+는/ETM
상황	상황/NNG

이마저도	이/NP+마저도/JX
세월이	세월/NNG+이/JKS
흘러	흐르/VV+어/EC
중년	중년/NNG
막바지에	막바지/NNG+에/JKB
다다른	다다르/VV+ㄴ/ETM
장씨에게는	장/NNP+씨/NNB+에게/JKB+는/JX
경제활동이	경제활동/NNG+이/JKS
어려워	어렵/VA+어/EC
전세보증금으로만	전세보증금/NNG+으로/JKB+만/JX
생활하고	생활하/VV+고/EC
있다	있/VX+다/EC

그런	그런/MM
그에게	그/NP+에게/JKB
생활을	생활/NNG+을/JKO
보조해준다는	보조하/VV+여/EC+주/VX+ㄴ다는/ETM
활동지원제도의	활동지원제도/NNG+의/JKG
시행은	시행/NNG+은/JX
환영할	환영하/VV+ㄹ/ETM
만한	만하/VX+ㄴ/ETM
일이었을까?	일/NNG+이/VCP+었/EP+을까/EF+?/SF
판정을	판정/NNG+을/JKO
위해	위하/VV+여/EC
찾아온	찾아오/VV+ㄴ/ETM
국민연금공단	국민연금공단/NNP
직원은	직원/NNG+은/JX
그에게	그/NP+에게/JKB
하루	하루/NNG
4시간정도의	4/SN+시간/NNB+정도/NNG+의/JKG
서비스	서비스/NNG
시간을	시간/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
제시했다	제시하/VV+였/EP+다/EC

하지만	하지만/MAJ
활동보조인이	활동보조인/NNG+이/JKS
떠난	떠나/VV+ㄴ/ETM
나머지	나머지/NNG
20시간은	20/SN+시간/NNB+은/JX
부인의	부인/NNG+의/JKG
몫	몫/NNG

부담을	부담/NNG+을/JKO
덜어주기는	덜/VV+어/EC+주/VX+기/ETN+는/JX
커녕,	커녕/NNG+,/SP
오히려	오히려/MAG
4만원	4/SN+만/NR+원/NNB
가량의	가량/XSN+의/JKG
자부담으로	자부담/NNG+으로/JKB
인해	인하/VV+여/EC
생활만	생활/NNG+만/JX
더	더/MAG
힘들어질	힘들어지/VV+ㄹ/ETM
