자립센터	자립센터/NNG
실태발표	실태발표/NNG
토론회	토론회/NNG
'인증제'로	'/SS+인증제/NNG+'/SS+로/JKB
시끌	시끌/VV+ㄹ/ETM

한국장애인자립생활센터연합회(이하	한국장애인자립생활센터연합회/NNP+(/SS+이하/NNG
한자연)이	한자연/NNP+)/SS+이/JKS
장애인자립생활센터의	장애인자립생활센터/NNG+의/JKG
실태조사	실태조사/NNG
연구를	연구/NNG+를/JKO
발표했지만,	발표하/VV+였/EP+지만/EC+,/SP
이는	이/NP+는/JX
앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
2월부터	2/SN+월/NNB+부터/JX
한자연이	한자연/NNG+이/JKS
끌고	끌/VV+고/EC
온	오/VV+ㄴ/ETM
인증제를	인증제/NNG+를/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
포석이라는	포석/NNG+이/VCP+라는/ETM
지적의	지적/NNG+의/JKG
목소리들로	목소리/NNG+들/XSN+로/JKB
가득했다	가득하/VA+었/EP+다/EC

한자연은	한자연/NNP+은/JX
2일	2/SN+일/NNB
이룸센터에서	이룸센터/NNG+에서/JKB
‘장애인자립생활센터	‘/SN+장애인자립생활센터/NNG
실태	실태/NNG
및	및/MAG
발전방안	발전방안/NNG
연구	연구/NNG
토론회’를	토론회/NNG+’/SL+를/JKO
개최했다	개최하/VV+였/EP+다/EC

토론회는	토론회/NNG+는/JX
자립생활센터	자립생활센터/NNG
운영	운영/NNG
실태를	실태/NNG+를/JKO
분석한	분석하/VV+ㄴ/ETM
자료를	자료/NNG+를/JKO
발표하고,	발표하/VV+고/EC+,/SP
연구결과를	연구결과/NNG+를/JKO
토대로	토대/NNG+로/JKB
향후	향후/NNG
자립생활센터의	자립생활센터/NNG+의/JKG
발전방안을	발전방안/NNG+을/JKO
제안하는	제안하/VV+는/ETM
자리였다	자리/NNG+이/VCP+었/EP+다/EF

이날	이날/NNG
발제를	발제/NNG+를/JKO
맡은	맡/VV+은/ETM
목원대학교	목원대학교/NNP
사회복지학과	사회복지학과/NNG
김동기	김동기/NNP
교수는	교수/NNG+는/JX
지난	지나/VV+ㄴ/ETM
9월부터	9/SN+월/NNB+부터/JX
한	한/MM
달간	달/NNB+간/XSN
75개	75/SN+개/NNB
센터를	센터/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시하/VV+ㄴ/ETM
‘장애인자립생활센터	‘/SN+장애인자립생활센터/NNG
실태	실태/NNG
및	및/MAG
발전방안연구	발전방안연구/NNG
발표’	발표’/NNG
연구를	연구/NNG+를/JKO
통해	통하/VV+여/EC
실태조사를	실태조사/NNG+를/JKO
발표하며,	발표하/VV+며/EC+,/SP
센터들이	센터/NNG+들/XSN+이/JKS
‘센터답게’	‘/SL+센터/NNG+답/XSA+게/EC+’/SL
가고자	가/VV+고자/EC
하는	하/VX+는/ETM
방향을	방향/NNG+을/JKO
잘	잘/MAG
가고	가/VV+고/EC
있는지에	있/VX+는지/EC+에/JKB
대해	대하/VV+여/EC
논의할	논의하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

하지만	하지만/MAJ
김	김/NNP
교수가	교수/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
연구	연구/NNG
‘이론적	‘/SN+이론적/NNG
배경’에	배경/NNG+’/SL+에/JKB
자립생활센터의	자립생활센터/NNG+의/JKG
역사적	역사적/NNG
유래,	유래/NNG+,/SP
특성과	특성/NNG+과/JC
역할	역할/NNG
등을	등/NNB+을/JKO
소개한	소개하/VV+ㄴ/ETM
후,	후/NNG+,/SP
실태조사와	실태조사/NNG+와/JC
상관이	상관/NNG+이/JKS
없는	없/VA+는/ETM
인증기준	인증기준/NNG
부분이	부분/NNG+이/JKS
포함됐을	포함되/VV+었/EP+을/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
자립생활	자립생활/NNG
발전방안과	발전방안/NNG+과/JC
결론	결론/NNG
및	및/MAG
제언에서	제언/NNG+에서/JKB
계속	계속/MAG
‘인증’에	‘/SN+인증’/NNG+에/JKB
관해	관하/VV+여/EC
언급됐다	언급되/VV+었/EP+다/EF

특히	특히/MAG
결론부분에	결론부분/NNG+에/JKB
장애인자립생활센터	장애인자립생활센터/NNG
발전방안을	발전방안/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
