'돼지처럼	'/SS+돼지/NNG+처럼/JKB
살수	살/VV+ㄹ/ETM+수/NNB
없다'…자립생활	없/VA+다/EF+'/SS+…/SE+자립생활/NNG
보장	보장/NNG
촉구	촉구/NNG

“태어나서	“/SN+태어/NNB+나/VV+아서/EC
죽을때까지	죽/VV+을/ETM+때/NNG+까지/JX
내가	내/NP+가/JKS
살고싶은	살/VV+고/EC+싶/VX+은/ETM
곳에서	곳/NNG+에서/JKB
자유롭게	자유롭/VA+게/EC
살고	살/VV+고/EC
싶다	싶/VX+다/EC

중증장애인의	중증장애인/NNG+의/JKG
자립생활이	자립생활/NNG+이/JKS
가능하게	가능하/VA+게/EC
장애인복지법을	장애인복지법/NNG+을/JKO
개정하라!”한국장애인단체총연합회와	개정하/VV+라/EF+!/SF+”/SL+한국장애인단체총연합회/NNP+와/JC
한국장애인자립생활센터총연합회(이하	한국장애인자립생활센터총연합회/NNP+(/SS+이하/NNG
한자연)는	한자연/NNP+)/SS+는/JX
25일	25/SN+일/NNB
여의도에서	여의도/NNP+에서/JKB
장애인	장애인/NNG
등	등/NNB
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참석한	참석하/VV+ㄴ/ETM
가운데	가운데/NNG
‘장애인복지법	‘/SN+장애인복지법/NNG
개정	개정/NNG
촉구를	촉구/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
전국결의대회’를	전/MM+국결의대회’/NNG+를/JKO
열고	열/VV+고/EC
삭발식까지	삭발/NNG+식/XSN+까지/JX
거행,	거행/NNG+,/SP
장애인복지법	장애인복지법/NNG
개정을	개정/NNG+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

이는	이/NP+는/JX
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
새누리당	새누리당/NNP
김정록	김정록/NNP
의원이	의원/NNG+이/JKS
장애인의	장애인/NNG+의/JKG
자립생활	자립생활/NNG
지원	지원/NNG
내용을	내용/NNG+을/JKO
담아	담/VV+아/EC
발의한	발의하/VV+ㄴ/ETM
'장애인복지법	'/SS+장애인복지법/NNG
개정안'의	개정안/NNG+'/SS+의/JKG
올해	올해/NNG
안	안/NNG
국회	국회/NNG
본회의	본회/NNG+의/JKG
통과	통과/NNG
목표를	목표/NNG+를/JKO
이루기	이루/VV+기/ETN
위한	위하/VV+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
의지의	의지/NNG+의/JKG
표현이다	표현/NNG+이/VCP+다/EC

김	김/NNP
의원이	의원/NNG+이/JKS
발의한	발의하/VV+ㄴ/ETM
개정안에는	개정안/NNG+에/JKB+는/JX
장애인정책종합계획에	장애인정책종합계획/NNG+에/JKB
장애인의	장애인/NNG+의/JKG
자립생활에	자립생활/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
사항을	사항/NNG+을/JKO
포함시켰고,	포함/NNG+시키/XSV+었/EP+고/EC+,/SP
국가와	국가/NNG+와/JC
지방자치단체가	지방자치단체/NNG+가/JKS
장애인의	장애인/NNG+의/JKG
자립생활	자립생활/NNG
실현을	실현/NNG+을/JKO
위해	위하/VV+여/EC
장애인에게	장애인/NNG+에게/JKB
공공주택을	공공주택/NNG+을/JKO
우선	우선/MAG
분양	분양/NNG
및	및/MAG
임대하도록	임대하/VV+도록/EC
했다	하/VX+였/EP+다/EC

또한	또한/MAG
장애인복지시설에	장애인복지시설/NNG+에/JKB
장애인자립생활센터를	장애인자립생활센터/NNG+를/JKO
포함하고	포함하/VV+고/EC
동료상담,	동료상담/NNG+,/SP
활동보조	활동보조/NNG
등의	등/NNB+의/JKG
자립생활서비스를	자립생활서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
내용이	내용/NNG+이/JKS
명시함으로써	명시하/VV+ㅁ/ETN+으로써/JKB
중증장애인이	중증장애인/NNG+이/JKS
지역사회에서	지역사회/NNG+에서/JKB
‘인간답게’	‘/SN+인간/NNG+답/XSA+게/EC+’/JX
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

장애인복지법	장애인복지법/NNG
개정을	개정/NNG+을/JKO
촉구하는	촉구하/VV+는/ETM
송성민	송성민/NNP
부산장애인자립생활센터	부산장애인자립생활센터/NNG
소장	소장/NNG

이날	이날/NNG
부산장애인자립생활센터	부산장애인자립생활센터/NNG
송성민	송성민/NNP
소장은	소장/NNG+은/JX
“20년동안	“/SL+20/SN+년/NNB+동안/NNG
중증장애인으로써	중증장애인/NNG+으로써/JKB
모든	모든/MM
사람들에게	사람/NNG+들/XSN+에게/JKB
차별받고	차별/NNG+받/VV+고/EC
무시당하며	무시/NNG+당하/XSV+며/EC
살아왔다	살아오/VV+았/EP+다/EC

15년	15/SN+년/NNB
전	전/NNG
자립생활을	자립생활/NNG+을/JKO
외치며	외치/VV+며/EC
목이	목/NNG+이/JKS
터져라	터지/VV+어라/EC
외쳤지만	외치/VV+었/EP+지만/EC
여전히	여전히/MAG
중증장애인은	중증장애인/NNG+은/JX
귀찮은	귀찮/VA+은/ETM
존재”라며	존재”/NNG+이/VCP+라며/EC
“중증장애인을	“/SL+중증장애인/NNG+을/JKO
지원하는	지원하/VV+는/ETM
자립생활센터의	자립생활센터/NNG+의/JKG
법적	법적/NNG
지위가	지위/NNG+가/JKS
올라가야	올라가/VV+아야/EC
중증장애인의	중증장애인/NNG+의/JKG
생활	생활/NNG
기반이	기반/NNG+이/JKS
나아진다	나아지/VV+ㄴ다/EF

법	법/NNG
개정을	개정/NNG+을/JKO
위해	위하/VV+여/EC
목숨을	목숨/NNG+을/JKO
다	다/MAG
바쳐	바치/VV+어/EC
생존권을	생존권/NNG+을/JKO
되찾겠다”고	되찾/VV+겠/EP+다/EC+”/VV+고/EC
의지를	의지/NNG+를/JKO
다졌다	다지/VV+었/EP+다/EF

새날동대문자립생활센터	새날동대문자립생활센터/NNG
손덕연	손덕연/NNP
활동가는	활동가/NNG+는/JX
“소,	“/SN+소/NNB+,/SP
돼지도	돼지/NNG+도/JX
도살장에	도살장/NNG+에/JKB
끌려갈	끌려가/VV+ㄹ/ETM
때	때/NNG
좋은	좋/VA+은/ETM
곳에서	곳/NNG+에서/JKB
맛있는	맛있/VA+는/ETM
음식을	음식/NNG+을/JKO
준다고	주/VV+ㄴ다고/EC
한다	하/VV+ㄴ다/EF

중증장애인이	중증장애인/NNG+이/JKS
소,	소/NNG+,/SP
돼지도	돼지/NNG+도/JX
아닌데	아니/VCN+ㄴ데/EC
주는	주/VV+는/ETM
대로	대로/NNB
먹고,	먹/VV+고/EC+,/SP
싸고	싸/VA+고/EC
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
과연	과연/MAG
행복의	행복/NNG+의/JKG
길인지	길/NNG+이/VCP+ㄴ지/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EC+”/VX+며/EC
“행복은	“/SN+행복/NNG+은/JX
스스로	스스로/MAG
결정하고	결정하/VV+고/EC
그	그/MM
결정에	결정/NNG+에/JKB
대해	대하/VV+여/EC
책임져가는	책임지/VV+어/EC+가/VX+는/ETM
삶이다	삶/NNG+이/VCP+다/EC

(법	(/SS+법/NNG
개정이	개정/NNG+이/JKS
되지	되/VV+지/EC
않은)현재는	않/VX+은/ETM+)/SS+현재/NNG+는/JX
소,	소/NNG+,/SP
돼지처럼	돼지/NNG+처럼/JKB
살	살/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다	없/VA+다/EC

다	다/MAG
같이	같이/MAG
더불어	더불/VV+어/EC
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대한민국을	대한민국/NNP+을/JKO
위해	위하/VV+여/EC
투쟁하겠다”고	투쟁하/VV+겠/EP+다/EC+”/VX+고/EC
외쳤다	외치/VV+었/EP+다/EC

이어	이어/MAG
자립생활	자립생활/NNG
보장의	보장/NNG+의/JKG
장애인복지법	장애인복지법/NNG
개정을	개정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
삭발식이	삭발/NNG+식/XSN+이/JKS
거행됐다	거행되/VV+었/EP+다/EF

삭발식에는	삭발/NNG+식/XSN+에/JKB+는/JX
성북미래장애인자립생활센터	성북/NNP+미래장애인자립생활센터/NNG
김경일	김경일/NNP
소장,	소장/NNG+,/SP
한자연	한자연/NNP
구근호	구근호/NNP
투쟁위원장,	투쟁위원장/NNG+,/SP
