교과부,	교과부/NNG+,/SP
장애인	장애인/NNG
고용	고용/NNG
우수사례	우수사례/NNG
12건	12/SN+건/NNB
선정	선정/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김태균	김태균/NNP
기자	기자/NNG
=	=/SW
교육과학기술부는	교육과학기술부/NNG+는/JX
경기도교육청과	경기도교육청/NNP+과/JC
경인교대	경인교대/NNP
등	등/NNB
장애인	장애인/NNG
고용	고용/NNG
우수사례	우수사례/NNG
12건을	12/SN+건/NNB+을/JKO
선정했다고	선정하/VV+였/EP+다고/EC
17일	17/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

교과부는	교과부/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
2시	2/SN+시/NNB
서울	서울/NNP
정부중앙청사	정부중앙청사/NNG
별관에서	별관/NNG+에서/JKB
'장애인	'/SS+장애인/NNG
고용	고용/NNG
우수사례	우수사례/NNG
경진대회'를	경진대회/NNG+'/SS+를/JKO
열고	열/VV+고/EC
부처	부처/NNG
소속기관,	소속기관/NNG+,/SP
시ㆍ도	시/NNG+ㆍ/SP+도/JX
교육청,	교육청/NNG+,/SP
국립대,	국립대/NNG+,/SP
관련	관련/NNG
공공기관	공공기관/NNG
중에서	중/NNB+에서/JKB
돋보이는	돋보이/VV+는/ETM
장애인	장애인/NNG
채용	채용/NNG
사례를	사례/NNG+를/JKO
공유한다	공유하/VV+ㄴ다/EF

경기교육청은	경기교육청/NNG+은/JX
전문	전문/NNG
직무	직무/NNG
훈련	훈련/NNG
및	및/MAG
교육	교육/NNG
안내서	안내서/NNG
6종을	6/SN+종/NNG+을/JKO
개발해	개발하/VV+여/EC
중증	중증/NNG
장애인	장애인/NNG
173명을	173/SN+명/NNB+을/JKO
고용하고	고용하/VV+고/EC
장애인	장애인/NNG
커피전문가를	커피전문가/NNG+를/JKO
양성하는	양성하/VV+는/ETM
사업을	사업/NNG+을/JKO
벌였다	벌이/VV+었/EP+다/EF

경인교대는	경인교대/NNG+는/JX
자폐성	자폐성/NNG
장애인을	장애인/NNG+을/JKO
사서보조로	사서보조/NNG+로/JKB
채용했고	채용하/VV+였/EP+고/EC
대구교육청은	대구교육청/NNP+은/JX
학교기업	학교기업/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
특수학교	특수학교/NNG
졸업생의	졸업생/NNG+의/JKG
일자리	일자리/NNG
창출에	창출/NNG+에/JKB
힘썼다	힘쓰/VV+었/EP+다/EF

한국항공우주연구원은	한국항공우주/NNP+연구원/NNG+은/JX
고졸	고졸/NNG
이상	이상/NNG
장애인	장애인/NNG
인턴제를	인턴/NNG+제/XSN+를/JKO
시행하고	시행하/VV+고/EC
충남대병원은	충남대병원/NNP+은/JX
콜센터	콜센터/NNG
활성화로	활성화/NNG+로/JKB
장애인	장애인/NNG
채용	채용/NNG
기회를	기회/NNG+를/JKO
넓혔다	넓허/VV+였/EP+다/EF

교과부는	교과부/NNG+는/JX
경진대회	경진대회/NNG
현장평가단	현장평가/NNG+단/XSN
점수	점수/NNG
등을	등/NNB+을/JKO
토대로	토대/NNG+로/JKB
우수사례	우수사례/NNG
12건	12/SN+건/NNB
중	중/NNB
금상	금상/NNG
1건,	1/SN+건/NNB+,/SP
은상	은상/NNG
2건,	2/SN+건/NNB+,/SP
동상	동상/NNG
3건을	3/SN+건/NNB+을/JKO
선정한다	선정하/VV+ㄴ다/EF

tae@yna	tae/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
