“지금까지	“/SL+지금/NNG+까지/JX
준비해	준비하/VV+여/EC
온	오/VX+ㄴ/ETM
만큼	만큼/NNB
최선	최선/NNG
다해야죠”	다하/VV+여야죠/EC+”/SN

“사실	“/SL+사실/NNG
학교	학교/NNG
정문을	정문/NNG+을/JKO
들어서면서도	들어서/VV+면서/EC+도/JX
실감은	실감/NNG+은/JX
잘	잘/MAG
안나요	안/MAG+나/VV+아요/EF

하지만	하지만/MAJ
지금까지	지금/NNG+까지/JX
준비해	준비하/VV+여/EC
온	오/VX+ㄴ/ETM
만큼	만큼/NNB
최선을	최선/NNG+을/JKO
다해야죠	다하/VV+여야죠/EC

”매해	”/SL+매해/NNG
치러지는	치르/VV+어/EC+지/VX+는/ETM
대학수학능력시험에서는	대학수학능력시험/NNG+에서/JKB+는/JX
선배의	선배/NNG+의/JKG
수능이	수능/NNG+이/JKS
대박나길	대박/NNG+나/XSV+기/ETN+ㄹ/JKO
기원하는	기원하/VV+는/ETM
후배나,	후배/NNG+나/JC+,/SP
고사장	고사장/NNG
문	문/NNP
앞에서	앞/NNG+에서/JKB
애타는	애타/VV+는/ETM
마음에	마음/NNG+에/JKB
발을	발/NNG+을/JKO
동동	동동/MAG
거리며	거리/VV+며/EC
자녀를	자녀/NNG+를/JKO
기다리는	기다리/VV+는/ETM
부모의	부모/NNG+의/JKG
모습을	모습/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

하지만	하지만/MAJ
‘2013학년도	‘/SL+2013/SN+학년도/NNG
대학수학능력시험’이	대학수학능력시험/NNG+’/SL+이/JKS
치러지는	치르/VV+어/EC+지/VX+는/ETM
서울맹학교에서는	서울맹학교/NNP+에서/JKB+는/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
없었다	없/VA+었/EP+다/EF

‘진짜	‘/SL+진짜/NNG
여기가	여기/NP+가/JKS
수능	수능/NNG
보는	보/VV+는/ETM
곳이	곳/NNG+이/JKS
맞아?’	맞/VV+아/EF+?/SF+’/SL
라고	라고/NNG
생각	생각/NNG
할	하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
매우	매우/MAG
조용했다	조용하/VV+였/EP+다/EC

현재	현재/MAG
서울맹학교에서는	서울맹학교/NNP+에서/JKB+는/JX
서울지역의	서울/NNP+지역/NNG+의/JKG
시각장애	시각장애/NNG
수험생	수험생/NNG
22명이	22/SN+명/NNB+이/JKS
수능시험을	수능시험/NNG+을/JKO
치르고	치르/VV+고/EC
있다	있/VX+다/EC

8일	8/SN+일/NNB
수능	수능/NNG
당일	당일/NNG
오전	오전/NNG
7시	7/SN+시/NNB
30분경	30/SN+분/NNB+경/XSN

서울맹학교	서울맹학교/NNP
안에는	안/NNG+에/JKB+는/JX
일찍	일찍/MAG
고사장에	고사장/NNG+에/JKB
입실한	입실하/VV+ㄴ/ETM
시각장애	시각장애/NNG
학생들이	학생/NNG+들/XSN+이/JKS
보였고,	보이/VV+었/EP+고/EC+,/SP
이들	이/NP+들/XSN
옆에는	옆/NNG+에/JKB+는/JX
든든한	든든하/VA+ㄴ/ETM
학교	학교/NNG
교사와	교사/NNG+와/JC
부모님들도	부모님/NNG+들/XSN+도/JX
있었다	있/VA+었/EP+다/EF

떨리고	떨리/VV+고/EC
초조한	초조하/VA+ㄴ/ETM
마음에	마음/NNG+에/JKB
서로	서로/MAG
별	별/MM
다른	다른/MM
대화는	대화/NNG+는/JX
하지	하/VV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
부모와	부모/NNG+와/JC
교사는	교사/NNG+는/JX
무언의	무언/NNG+의/JKG
마음으로	마음/NNG+으로/JKB
응원하고	응원하/VV+고/EC
있었다	있/VX+었/EP+다/EF

때	때/NNG
마침	마침/MAG
왁자지껄	왁자지껄/MAG
하는	하/VV+는/ETM
소리가	소리/NNG+가/JKS
들렸고,	들리/VV+었/EP+고/EC+,/SP
별	별/MM
얘기	얘기/NNG
아닌	아니/VCN+ㄴ/ETM
말에도	말/NNG+에/JKB+도/JX
배꼽잡으며	배꼽잡/VV+으며/EC
깔깔깔	깔깔깔/MAG
웃는	웃/VV+는/ETM
19세의	19/SN+세/NNB+의/JKG
여고생	여고생/NNG
4명이	4/SN+명/NNB+이/JKS
고사장으로	고사장/NNG+으로/JKB
들어왔다	들어오/VV+았/EP+다/EC

이중	이/MM+중/NNB
서울맹학교에	서울맹학교/NNP+에/JKB
다니는	다니/VV+는/ETM
최유민	최/XPN+유민/NNG
학생(시각장애	학생/NNG+(/SS+시각장애/NNG
1급,	1/SN+급/NNG+,/SP
19세)은	19/SN+세/NNB+)/SS+은/JX
유난히	유난히/MAG
궁금증이	궁금증/NNG+이/JKS
많아	많/VA+아/EC
교실	교실/NNG
안에	안/NNG+에/JKB
무엇이	무엇/NP+이/JKS
있는	있/VA+는/ETM
지	지/NNB
물으며	묻/VV+으며/EC
다녔다	다니/VV+었/EP+다/EF

떨리지	떨리/VV+지/EC
않냐는	않/VX+냐는/ETM
기자의	기자/NNG+의/JKG
물음에	물음/NNG+에/JKB
“담담하다	“담담하/VA+다/EC

공부를	공부/NNG+를/JKO
너무	너무/MAG
많이	많이/MAG
해서	하/VV+여서/EC
그런가?	그렇/VA+ㄴ가/EF+?/SF
하하하”	하하하”/NNG
라고	이/VCP+라고/EC
웃으며	웃/VV+으며/EC
답을	답/NNG+을/JKO
피해가기도	피하/VV+여/EC+가/VX+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

이내	이내/NNG
같이	같이/MAG
수능에	수능/NNG+에/JKB
응시하는	응시하/VV+는/ETM
친구들과	친구/NNG+들/XSN+과/JC
얘기를	얘기/NNG+를/JKO
나누며	나누/VV+며/EC
당찬	당차/VA+ㄴ/ETM
여고생의	여고생/NNG+의/JKG
포스를	포스/NNG+를/JKO
뿜어내기도	뿜어내/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

최	최/NNP
양은	양/NNP+은/JX
“수능에	“/SL+수능/NNG+에/JKB
응시한다는	응시하/VV+ㄴ다는/ETM
사실이	사실/NNG+이/JKS
잘	잘/MAG
실감나지	실감/NNG+나/VV+지/EC
않는다	않/VX+는다/EF

막상	막상/MAG
시험이	시험/NNG+이/JKS
시작되면	시작되/VV+면/EC
나도	나/NP+도/JX
모르게	모르/VV+게/EC
긴장	긴장/NNG
될	되/VV+ㄹ/ETM
까봐	까/EC+보/VX+아/EC
약간	약간/MAG
겁이	겁/NNG+이/JKS
나기도	나/VV+기/ETN+도/JX
한다	하/VX+ㄴ다/EF

하지만	하지만/MAJ
공부해	공부하/VV+여/EC
온	오/VX+ㄴ/ETM
만큼	만큼/NNB
최선을	최선/NNG+을/JKO
다해서	다하/VV+여서/EC
뒤	뒤/NNG
늦게	늦/VA+게/EC
후회하고	후회하/VV+고/EC
싶지	싶/VX+지/EC
않다”고	않/VX+다/EC+”/VV+고/EC
강조했다	강조하/VV+였/EP+다/EC

고사장	고사장/NNG
안	안/NNP
자리에	자리/NNG+에/JKB
착석한	착석하/VV+ㄴ/ETM
한빛맹학교	한빛맹학교/NNP
김상현	김상현/NNP
학생	학생/NNG

또	또/MAG
다른	다른/MM
고사장	고사장/NNG
안	안/NNG

유독	유독/MAG
늠름해	늠름하/VA+여/EC
보이는	보이/VV+는/ETM
김상현	김상현/NNP
학생(시각장애	학생/NNG+(/SS+시각장애/NNG
1급,	1/SN+급/NNG+,/SP
한빛맹학교)이	한빛맹학교/NNP+)/SS+이/JKS
보였다	보이/VV+었/EP+다/EF

수시모집에	수시모집/NNG+에/JKB
합격되면	합격되/VV+면/EC
굳이	굳이/MAG
정시(수능)를	정시/NNG+(/SS+수능/NNG+)/SS+를/JKO
보지	보/VV+지/EC
않아도	않/VX+아도/EC
될	되/VV+ㄹ/ETM
법	법/NNG
한데	한데/NNG
김	김/NNP
군은	군/NNB+은/JX
침례신학대학교	침례신학대학교/NNG
‘상담심리학과’에	‘/SN+상담심리학과’/NNG+에/JKB
수시로	수시로/MAG
합격했지만,	합격하/VV+였/EP+지만/EC+,/SP
수능도	수능/NNG+도/JX
준비해왔다고	준비하/VV+여/EC+오/VX+았/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이번	이번/NNG
수능에서	수능/NNG+에서/JKB
점수가	점수/NNG+가/JKS
잘	잘/MAG
나오면	나오/VV+면/EC
대구대의	대구대/NNP+의/JKG
재활심리학과에	재활심리학과/NNG+에/JKB
진학하겠다는	진학하/VV+겠/EP+다는/ETM
내심	내심/NNG
당찬	당차/VA+ㄴ/ETM
포부도	포부/NNG+도/JX
갖고	갖/VV+고/EC
있었다	있/VX+었/EP+다/EF

김	김/NNP
군은	군/NNB+은/JX
어렸을	어리/VA+었/EP+을/ETM
때부터	때/NNG+부터/JX
심리학에	심리학/NNG+에/JKB
관심이	관심/NNG+이/JKS
많았다	많/VA+았/EP+다/EC

사람의	사람/NNG+의/JKG
심리를	심리/NNG+를/JKO
공부해보고	공부하/VV+여/EC+보/VX+고/EC
싶은	싶/VX+은/ETM
마음에	마음/NNG+에/JKB
결국	결국/NNG
심리학과를	심리학과/NNG+를/JKO
1지망	1/SN+지망/NNG
목표	목표/NNG
학과로	학과/NNG+로/JKB
정했다	정하/VV+였/EP+다/EF

그는	그/NP+는/JX
시각장애	시각장애/NNG
수험생으로서	수험생/NNG+으로서/JKB
수능을	수능/NNG+을/JKO
준비해오면서	준비하/VV+여/EC+오/VX+면서/EC
겪었던	겪/VV+었/EP+던/ETM
어려움도	어려움/NNG+도/JX
털어놨다	털/VV+어/EC+놓/VX+았/EP+다/EF

텍스트로	텍스트/NNG+로/JKB
전환되지	전환되/VV+지/EC
않은	않/VX+은/ETM
교재들	교재/NNG+들/XSN
때문에	때문/NNB+에/JKB
공부	공부/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
범위는	범위/NNG+는/JX
적었고,	적/VA+었/EP+고/EC+,/SP
텍스트로	텍스트/NNG+로/JKB
전환	전환/NNG
되는	되/VV+는/ETM
준비	준비/NNG
기간도	기간/NNG+도/JX
많이	많이/MAG
걸려	걸리/VV+어/EC
실제	실제/NNG
정안인보다	정안인/NNG+보다/JKB
적다면	적/VA+다면/EC
적은	적/VA+은/ETM
시간동안	시간동안/NNG
수능을	수능/NNG+을/JKO
준비했다	준비하/VV+였/EP+다/EC

“정안인(시각장애를	“/SL+정안/NNG+이/VCP+ㄴ/ETM+(/SS+시각장애/NNG+를/JKO
가지지	가지/VV+지/EC
않은	않/VX+은/ETM
비장애인)이	비장애인/NNG+)/SS+이/JKS
공부를	공부/NNG+를/JKO
하는	하/VV+는/ETM
데	데/NNB
어려움은	어려움/NNG+은/JX
없잖아요	없/VA+잖아요/EC

교재도	교재/NNG+도/JX
여러권	여러/MM+권/NNB
씩	씩/XSN
볼	보/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC

그런데	그런데/MAJ
시각장애인	시각장애인/NNG
같은	같/VA+은/ETM
경우	경우/NNG
텍스트로	텍스트/NNG+로/JKB
된	되/VV+ㄴ/ETM
교재가	교재/NNG+가/JKS
없으니	없/VA+으니/EC
공부	공부/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	것/NNB+이/JKS
항상	항상/MAG
제한되어	제한되/VV+어/EC
있더라구요	있/VX+더라구오/EF

텍스트로	텍스트/NNG+로/JKB
전환되는	전환되/VV+는/ETM
것도	것/NNB+도/JX
너무	너무/MAG
오래	오래/MAG
걸리고…”“한소넷	걸리/VV+고/EF+…/SE+”“/SL+한소넷/NNG
같은	같/VA+은/ETM
점자단말기를	점자단말기/NNG+를/JKO
수능	수능/NNG
치를	치르/VV+ㄹ/ETM
때	때/NNG
사용하게	사용하/VV+게/EC
하는	하/VX+는/ETM
것도	것/NNB+도/JX
좋은	좋/VA+은/ETM
방법인	방법/NNG+이/VCP+ㄴ/ETM
것	것/NNB
같아요	같/VA+아요/EC

테이프로	테이프/NNG+로/JKB
들을	듣/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
건	것/NNB+ㄴ/JX
한계가	한계/NNG+가/JKS
있거든요	있/VA+거든요/EC

아,	아/IC+,/SP
저녁	저녁/NNG
9시	9/SN+시/NNB
넘게까지	넘/VV+게/EC+까지/JX
시험을	시험/NNG+을/JKO
계속	계속/MAG
보면	보/VV+면/EC
집중력이	집중력/NNG+이/JKS
떨어져요	떨어져요/VV

점자단말기	점자단말기/NNG
이용하는	이용하/VV+는/ETM
대신	대신/NNG
편리하니까	편리하/VA+니까/EC
시간도	시간/NNG+도/JX
1	1/SN

7배	7/SN+배/NNG
줄	줄/NNG
필요없죠	필요없/VA+죠/EC

1	1/SN

5배만	5/SN+배/NNG+만/JX
줘도	주/VV+어도/EC
될	되/VV+ㄹ/ETM
것	것/NNB
같고	같/VA+고/EC

꿩	꿩/NNG
먹고	먹/VV+고/EC
알	알/NNG
먹고	먹/VV+고/EC
인	인/NNG
거죠	것/NNB+이/VCP+죠/EF

”분명하게	”분명하/VA+게/EC
자신의	자신/NNG+의/JKG
생각을	생각/NNG+을/JKO
설명한	설명하/VV+ㄴ/ETM
뒤	뒤/NNG
정부가	정부/NNG+가/JKS
실제	실제/NNG
시각장애	시각장애/NNG
수험생들의	수험생/NNG+들/XSN+의/JKG
불편한	불편하/VA+ㄴ/ETM
점을	점/NNG+을/JKO
청취했으면	청취하/VV+였/EP+으면/EC
좋겠다고	좋/VA+겠/EP+다고/EC
제안했다	제안하/VV+였/EP+다/EC

“시각장애	“/SN+시각장애/NNG
수험생	수험생/NNG
입장에서	입장/NNG+에서/JKB
불편한	불편하/VA+ㄴ/ETM
점,	점/NNG+,/SP
애로사항	애로사항/NNG
등을	등/NNB+을/JKO
듣고	듣/VV+고/EC
시험	시험/NNG
편의지원	편의지원/NNG
정책들을	정책/NNG+들/XSN+을/JKO
고쳐나갔으면	고치/VV+어/EC+나가/VV+았/EP+으면/EC
좋겠어요	좋/VA+겠/EP+어요/EC

직접	직접/MAG
겪어보지	겪/VV+어/EC+보/VX+지/EC
않으면	않/VX+으면/EC
잘	잘/MAG
모르잖아요	모르/VV+지/EC+않/VX+아요/EF

”한편	”/SL+한편/NNG
시각장애	시각장애/NNG
수험생들은	수험생/NNG+들/XSN+은/JX
매	매/MM
교시	교시/NNG
1	1/SN

7배의	7/SN+배/NNG+의/JKG
시간연장을	시간/NNB+연장/NNG+을/JKO
받아	받/VV+아/EC
오후	오후/NNG
9시	9/SN+시/NNB
38분에	38/SN+분/NNB+에/JKB
수능시험을	수능시험/NNG+을/JKO
끝마친다	끝마친/VV+다/EF
