인천교육청,	인천/NNP+교육청/NNG+,/SP
장애학생에	장애학생/NNG+에/JKB
치료ㆍ통학비	치료/NNG+ㆍ/SP+통학비/NNG
지원	지원/NNG

(인천=연합뉴스)	(/SS+인천/NNP+=/SW+연합뉴스/NNP+)/SS
김창선	김창선/NNP
기자	기자/NNG
=	=/SW
인천시교육청은	인천시교육청/NNP+은/JX
장애학생의	장애학생/NNG+의/JKG
치료와	치료/NNG+와/JC
통학비를	통학비/NNG+를/JKO
지원해준다고	지원하/VV+여/EC+주/VX+ㄴ다고/EC
20일	20/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

치료	치료/NNG
지원	지원/NNG
대상은	대상/NNG+은/JX
유치원생과	유치원생/NNG+과/JC
초등학생,	초등학생/NNG+,/SP
중학생,	중학생/NNG+,/SP
고교	고교/NNG
1∼2년생이다	1/SN+∼/SO+2/SN+년/NNB+생/XSN+이/VCP+다/EC

특수학교나	특수학교/NNG+나/JC
특수교육지원센터의	특수교육지원센터/NNG+의/JKG
치료사가	치료사/NNG+가/JKS
정규수업이	정규수업/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
물리,	물리/NNG+,/SP
언어,	언어/NNG+,/SP
작업	작업/NNG
분야	분야/NNG
치료를	치료/NNG+를/JKO
하거나	하/VV+거나/EC
청능(듣기능력	청능/NNG+(/SS+듣기능력/NNG
강화)	강화/NNG+)/SS
훈련을	훈련/NNG+을/JKO
한다	하/VV+ㄴ다/EF

학교에서	학교/NNG+에서/JKB
치료를	치료/NNG+를/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
장애학생에	장애학생/NNG+에/JKB
대해선	대하/VV+여서/EC+ㄴ/JX
월	월/NNG
10만원	10/SN+만/NR+원/NNB
범위	범위/NNG
안에서	안/NNG+에서/JKB
병원과	병원/NNG+과/JC
민간기관에서	민간기관/NNG+에서/JKB
치료나	치료/NNG+나/JC
훈련을	훈련/NNG+을/JKO
받도록	받/VV+도록/EC
지원한다	지원하/VV+ㄴ다/EC

내년에는	내년/NNG+에/JKB+는/JX
치료지원	치료지원/NNG
대상을	대상/NNG+을/JKO
고	골/VV
3학생까지	3/SN+학생/NNG+까지/JX
확대할	확대하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

다만	다만/MAG
올해	올해/NNG
학교	학교/NNG
안에서	안/NNG+에서/JKB
이뤄지는	이루어지/VV+는/ETM
치료와	치료/NNG+와/JC
훈련은	훈련/NNG+은/JX
받도록	받/VV+도록/EC
할	하/VX+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

시교육청은	시교육청/NNG+은/JX
또	또/MAG
부모	부모/NNG
소득에	소득/NNG+에/JKB
상관없이	상관없이/MAG
장애학생들에게	장애학생/NNG+들/XSN+에게/JKB
통학비를	통학비/NNG+를/JKO
지원하기로	지원하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

통학비	통학비/NNG
지원액은	지원/NNG+액/XSN+은/JX
초등학생의	초등학생/NNG+의/JKG
경우	경우/NNG
왕복	왕복/NNG
900원,	900/SN+원/NNB+,/SP
중ㆍ고생은	중/NNG+ㆍ/SP+고생/NNG+은/JX
2천원이다	2/SN+천/NR+원/NNB+이/VCP+다/EC

장애	장애/NNG
정도가	정도/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
학생은	학생/NNG+은/JX
장애인콜택시비	장애인콜택시비/NNG
5천원을	5/SN+천/NR+원/NNB+을/JKO
지급한다	지급하/VV+ㄴ다/EF

월	월/NNG
지급액은	지급액/NNG+은/JX
학교	학교/NNG
등교일을	등/NNB+교일/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
결정된다	결정되/VV+ㄴ다/EF

지원	지원/NNG
대상은	대상/NNG+은/JX
일반학교의	일반학교/NNG+의/JKG
특수학급이나	특수학급/NNG+이나/JC
통합학급에	통합학급/NNG+에/JKB
다니는	다니/VV+는/ETM
학생이다	학생/NNG+이/VCP+다/EC

통학버스가	통학버스/NNG+가/JKS
있는	있/VA+는/ETM
특수학교	특수학교/NNG
재학생은	재학생/NNG+은/JX
제외되지만	제외되/VV+지만/EC
버스가	버스/NNG+가/JKS
닿지	닿/VV+지/EC
않는	않/VX+는/ETM
학생은	학생/NNG+은/JX
지원	지원/NNG
혜택을	혜택/NNG+을/JKO
받는다	받/VV+는다/EC

이순미	이순미/NNP
시교육청	시교육청/NNG
장학사는	장학사/NNG+는/JX
"장애	"/SS+장애/NNG
정도를	정도/NNG+를/JKO
완화해	완화하/VV+여/EC
교육	교육/NNG
효과를	효과/NNG+를/JKO
높이고	높이/VV+고/EC
장애학생	장애학생/NNG
모두가	모두/NNG+가/JKS
학교에	학교/NNG+에/JKB
다니도록	다니/VV+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+여/EC
치료와	치료/NNG+와/JC
통학비를	통학비/NNG+를/JKO
지원하기로	지원하/VV+기/ETN+로/JKB
했다"고	하/VV+였/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

changsun@yna	changsun/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
