경북교육청,	경북/NNP+교육청/NNG+,/SP
장애학생	장애학생/NNG
통학비	통학비/NNG
지원	지원/NNG
현실화	현실화/NNG

경북도교육청은	경북도/NNP+교육청/NNG+은/JX
올해	올해/NNG
특수학교	특수학교/NNG
대상학생과	대상학생/NNG+과/JC
보호자에	보호자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
통학지원비를	통학지원/NNG+비/XSN+를/JKO
전년	전년/NNG
대비	대비/NNG
12%	12/SN+%/SW
증가한	증가하/VV+ㄴ/ETM
8억	8/SN+억/NR
2000만원을	2000/SN+만/NR+원/NNB+을/JKO
지원한다고	지원하/VV+ㄴ다고/EC
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

도교육청은	도교육청/NNG+은/JX
특수교육	특수교육/NNG
대상학생들의	대상학생/NNG+들/XSN+의/JKG
통학	통학/NNG
실태를	실태/NNG+를/JKO
파악해	파악하/VV+여/EC
통학수단별	통학수단/NNG+별/XSN
맞춤형	맞춤/NNG+형/XSN
통학비를	통학비/NNG+를/JKO
지원하고,	지원하/VV+고/EC+,/SP
개별	개별/NNG
통학이	통학/NNG+이/JKS
불가능한	불가능하/VA+ㄴ/ETM
장애학생의	장애학생/NNG+의/JKG
경우	경우/NNG
보호자의	보호자/NNG+의/JKG
통학비까지	통학비/NNG+까지/JX
지원하는	지원하/VV+는/ETM
등	등/NNB
특수교육	특수교육/NNG
대상학생의	대상학생/NNG+의/JKG
통학편의를	통학편의/NNG+를/JKO
제공하고	제공하/VV+고/EC
있다	있/VX+다/EC

발표에	발표/NNG+에/JKB
따르면	따르/VV+면/EC
통학비	통학비/NNG
지원금은	지원금/NNG+은/JX
지난해	지난해/NNG
1인당	1/SN+인/NNG+당/XSN
1일	1/SN+일/NNB
2천원,	2/SN+천/NR+원/NNB+,/SP
연간	연간/NNG
42만원	42/SN+만/NR+원/NNB
한도로	한도/NNG+로/JKB
통학거리	통학거리/NNG
기준으로	기준/NNG+으로/JKB
차등지급하던	차등/NNG+지급하/VV+던/ETM
방식에서	방식/NNG+에서/JKB
올해	올해/NNG
시내,	시내/NNG+,/SP
농산어촌,	농산어촌/NNG+,/SP
시외로	시외/NNG+로/JKB
구분해	구분하/VV+여/EC
실제	실제/NNG
소요되는	소요되/VV+는/ETM
대중교통	대중교통/NNG
요금으로	요금/NNG+으로/JKB
개선했다	개선하/VV+였/EP+다/EC

올해	올해/NNG
지원규모도	지원규모/NNG+도/JX
전년	전년/NNG
대비	대비/NNG
698명과	698/SN+명/NNB+과/JC
예산	예산/NNG
9300만원으로	9300/SN+만/NR+원/NNB+으로/JKB
늘려	늘리/VV+어/EC
2,433명에게	2,433/SN+명/NNB+에게/JKB
8억	8/SN+억/NR
2000만원이	2000/SN+만/NR+원/NNB+이/JKS
투입된다	투입되/VV+ㄴ다/EF

경상북도교육청	경상북도교육청/NNP
여영희	여영희/NNP
교육정책과장은	교육정책과장/NNG+은/JX
"장애학생과	"/SS+장애학생/NNG+과/JC
보호자에	보호자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
통학비	통학비/NNG
지원	지원/NNG
현실화를	현실화/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
치료사의	치료사/NNG+의/JKG
순회치료지원	순/MM+회치료지원/NNG
및	및/MAG
치료지원비,	치료지원비/NNG+,/SP
특수교육	특수교육/NNG
대상학생	대상학생/NNG
방과후학교	방과후학교/NNG
지원비	지원/NNG+비/XSN
확대	확대/NNG
등	등/NNB
우리	우리/NP
도내	도내/NNG
4,600명의	4,600/SN+명/NNB+의/JKG
특수교육	특수교육/NNG
대상학생들이	대상학생/NNG+들/XSN+이/JKS
학교생활에	학교생활/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
없도록	없/VA+도록/EC
다양한	다양하/VA+ㄴ/ETM
지원을	지원/NNG+을/JKO
위해	위하/VV+여/EC
노력	노력/NNG
하겠다"라고	하/VV+겠/EP+다/EF+"/SS+라고/JKQ
밝혔다	밝히/VV+었/EP+다/EC
