세종대왕도	세종/NNP+대왕/NNG+도/JX
인정한	인정하/VV+ㄴ/ETM
‘수화언어권’	‘/SL+수화언어/NNG+권/XSN+’/SN

영화	영화/NNG
‘도가니’를	‘/SN+도가니/NNG+’/SL+를/JKO
통해	통하/VV+여/EC
청각장애인	청각장애인/NNG
교육권	교육권/NNG
문제가	문제/NNG+가/JKS
수면으로	수면/NNG+으로/JKB
드러남에도	드러남/VV+에/EC+도/JX
불구하고	불구하/VV+고/EC
여전히	여전히/MAG
정부가	정부/NNG+가/JKS
농교육을	농교육/NNG+을/JKO
외면하고	외면하/VV+고/EC
있자,	있/VX+자/EC+,/SP
장애계가	장애/NNG+계/XSN+가/JKS
문제해결을	문제해결/NNG+을/JKO
위해	위하/VV+여/EC
하나로	하나/NNG+로/JKB
모였다	모이/VV+었/EP+다/EC

수화언어	수화언어/NNG
권리	권리/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공동대책위원회(이하	공동대책위원회/NNG+(/SS+이하/NNG
수화언어권	수화언어/NNG+권/XSN
공대위)는	공대위/NNP+)/SS+는/JX
14일	14/SN+일/NNB
광화문광장	광화문/NNP+광장/NNG
세종대왕	세종/NNP+대왕/NNG
동상	동상/NNG
앞에서	앞/NNG+에서/JKB
출범식을	출범식/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
관할부처인	관할부처/NNG+이/VCP+ㄴ/ETM
교육과학기술부(이하	교육과학기술부/NNG+(/SS+이하/NNG
교과부)를	교과부/NNG+)/SS+를/JKO
향해	향하/VV+여/EC
수화언어권	수화언어/NNG+권/XSN
및	및/MAG
농교육	농교육/NNG
개선을	개선/NNG+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

이날	이날/NNG
수화언어권	수화언어/NNG+권/XSN
공대위는	공대위/NNP+는/JX
청각장애인의	청각장애인/NNG+의/JKG
참된	참되/VA+ㄴ/ETM
교육환경을	교육환경/NNG+을/JKO
마련	마련/NNG
청각장애	청각장애/NNG
아동의	아동/NNG+의/JKG
언어선택권을	언어선택권/NNG+을/JKO
보장	보장/NNG
공인된	공인되/VV+ㄴ/ETM
언어로서	언어/NNG+로서/JKB
수화의	수화/NNG+의/JKG
법적	법적/NNG
권리를	권리/NNG+를/JKO
마련할	마련하/VV+ㄹ/ETM
것	것/NNB
등의	등/NNB+의/JKG
요구사항을	요구사항/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
4월말	4/SN+월말/NNB
420장애인차별쳘폐공동투쟁단(이하	420/SN+장애인차/NNG+별/XSN+쳘/SN+폐공동투쟁단/NNG+(/SS+이하/NNG
420공투단)은	420/SN+공투단/NNG+)/SS+은/JX
수화권	수화권/NNG
문제의	문제/NNG+의/JKG
해결을	해결/NNG+을/JKO
위해	위하/VV+여/EC
투쟁을	투쟁/NNG+을/JKO
해왔으며,	하/VV+여/EC+오/VX+았/EP+으며/EC+,/SP
투쟁과정에서	투쟁과정/NNG+에서/JKB
가진	가지/VV+ㄴ/ETM
교과부와의	교과부/NNG+와/JKB+의/JKG
면담에서	면담/NNG+에서/JKB
“농학교의	“/SL+농학교/NNG+의/JKG
교사	교사/NNG
전원이	전원/NNG+이/JKS
수화통역증을	수화통역증/NNG+을/JKO
취득하도록	취득하/VV+도록/EC
하겠다”는	하/VX+겠/EP+다/EC+”/SL+는/JX
등	등/NNB
농교육	농교육/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+여/EC
여러	여러/MM
가지	가지/NNB
약속을	약속/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

하지만	하지만/MAJ
