청각장애인학교	청각장애인학교/NNG
수화통역사	수화통역사/NNG
'태부족'	'/SS+태부족/NNG+'/SS

전국	전국/NNG
15개	15/SN+개/NNB
청각장애학교의	청각장애학교/NNG+의/JKG
교원	교원/NNG
중	중/NNB
수화통역사	수화통역사/NNG
자격증을	자격증/NNG+을/JKO
소지한	소지하/VV+ㄴ/ETM
교원이	교원/NNG+이/JKC
6%에	6/SN+%/SW+에/JKB
불과한	불과하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

5일	5/SN+일/NNB
국회	국회/NNG
교육과학기술위원회	교육과학기술위원회/NNG
이상민	이상민/NNP
의원(민주통합당)이	의원/NNG+(/SS+민주통합당/NNP+)/SS+이/JKS
발표한	발표하/VV+ㄴ/ETM
국정감사	국정감사/NNG
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
15개	15/SN+개/NNB
학교	학교/NNG
교원	교원/NNG
391명	391/SN+명/NNB
중	중/NNB
24명(6%)만	24/SN+명/NNB+(/SS+6/SN+%/SW+)/SS+만/JX
수화통역사	수화통역사/NNG
자격증을	자격증/NNG+을/JKO
소지하고	소지하/VV+고/EC
있었다	있/VX+었/EP+다/EF

심지어	심지어/MAG
3개	3/SN+개/NNB
학교는	학교/NNG+는/JX
수화통역사	수화통역사/NNG
자격증을	자격증/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
교원이	교원/NNG+이/JKC
단	단/MM
한명도	한/MM+명/NNB+도/JX
없었다	없/VA+었/EP+다/EF

이	이/MM
의원은	의원/NNG+은/JX
“자의적인	“/SL+자의적/NNG+이/VCP+ㄴ/ETM
판단으로	판단/NNG+으로/JKB
수화가	수화/NNG+가/JKS
가능한	가능하/VA+ㄴ/ETM
교원이	교원/NNG+이/JKC
대부분이라고	대부분/NNG+이/VCP+라고/EC
하나,	하나/NR+,/SP
실제	실제/NNG
수화를	수화/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
의사전달이	의사전달/NNG+이/JKS
원활한	원활하/VA+ㄴ/ETM
수준인지는	수준/NNG+이/VCP+ㄴ지/EC+는/JX
판단하기	판단하/VV+기/ETN
어렵다”고	어렵/VA+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이	이/MM
의원은	의원/NNG+은/JX
“청각장애	“/SL+청각장애/NNG
학생들을	학생/NNG+들/XSN+을/JKO
가르치는	가르치/VV+는/ETM
교원들에게	교원/NNG+들/XSN+에게/JKB
수화통역에	수화통역/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
자격	자격/NNG
기준이	기준/NNG+이/JKS
있어야	있/VA+어야/EC
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
“청각장애학교	“/SL+청각장애학교/NNG
채용	채용/NNG
시	시/NNG
수화통역에	수화통역/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
요건을	요건/NNG+을/JKO
두거나,	두/VV+거나/EC+,/SP
수화통역을	수화통역/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
연수를	연수/NNG+를/JKO
별도로	별도/NNG+로/JKB
진행하는	진행하/VV+는/ETM
등의	등/NNB+의/JKG
정책이	정책/NNG+이/JKS
필요하다”고	필요하/VA+다”고/EC
주문했다	주문하/VV+였/EP+다/EF

한편	한편/MAG
이	이/MM
의원은	의원/NNG+은/JX
수능을	수능/NNG+을/JKO
준비하고	준비하/VV+고/EC
있는	있/VX+는/ETM
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
EBS	EBS/SL
교재의	교재/NNG+의/JKG
점역	점역/NNG
작업이	작업/NNG+이/JKS
최대	최대/NNG
4개월까지	4/SN+개월/NNB+까지/JX
늦어지는	늦어지/VV+는/ETM
문제도	문제/NNG+도/JX
언급했다	언급하/VV+였/EP+다/EC

올해	올해/NNG
EBS	EBS/SL
방송교재	방송교재/NNG
점역	점역/NNG
현황에	현황/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
3월20일	3/SN+월/NNB+20/SN+일/NNB
발행한	발행하/VV+ㄴ/ETM
수능특강	수능특강/NNG
일본어	일본어/NNP
교재가	교재/NNG+가/JKS
4개월	4/SN+개월/NNB
후인	후/NNG+이/VCP+ㄴ/ETM
7월25일	7/SN+월/NNB+25/SN+일/NNB
점역이	점역/NNG+이/JKS
완료되어	완료되/VV+어/EC
탑재가	탑재/NNG+가/JKS
됐다	되/VV+었/EP+다/EC

또한	또한/MAG
수리영역의	수리영역/NNG+의/JKG
수학1·2,	수학/NNG+1/SN+·/SP+2/SN+,/SP
미적분과	미적분/NNG+과/JKB
통계	통계/NNG
기본,	기본/NNG+,/SP
적분과	적분/NNG+과/JC
통계	통계/NNG
과목은	과목/NNG+은/JX
2개월	2/SN+개월/NNB
후인	후/NNG+이/VCP+ㄴ/ETM
5월20일에	5/SN+월/NNB+20/SN+일/NNB+에/JKB
탑재됐다	탑재되/VV+었/EP+다/EF

이	이/NNP
의원은	의원/NNG+은/JX
“교재	“/SL+교재/NNG
검역	검역/NNG
작업이	작업/NNG+이/JKS
최대	최대/NNG
4월까지	4/SN+월/NNB+까지/JX
늦어져	늦어지/VV+어/EC
시각장애	시각장애/NNG
학생들에게	학생/NNG+들/XSN+에게/JKB
학습의	학습/NNG+의/JKG
지장을	지장/NNG+을/JKO
주고	주/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"단순히	"/SS+단순히/MAG
CD	CD/SL
수령이	수령/NNG+이/JKS
늦어져서	늦어지/VV+어서/EC
점역	점역/NNG
작업이	작업/NNG+이/JKS
늦게	늦/VA+게/EC
완료되는	완료되/VV+는/ETM
경우도	경우/NNG+도/JX
있는데,	있/VA+는데/EC+,/SP
이는	이/NP+는/JX
행정적인	행정적/NNG+이/VCP+ㄴ/ETM
차질로	차질/NNG+로/JKB
시각장애	시각장애/NNG
수능준비생들에게	수능준비생/NNG+들/XSN+에게/JKB
어려움을	어려움/NNG+을/JKO
주고	주/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF
