“IT강국	“IT/SL+강국/NNG
한국,	한국/NNP+,/SP
장애청소년	장애청소년/NNG
교육에	교육/NNG+에/JKB
힘	힘/NNG
써야”	쓰/VV+어야/EC+”/SN

작가	작가/NNG
고정욱씨가	고정욱/NNP+씨/NNB+가/JKS
15일	15/SN+일/NNB
한국우진학교에서	한국우진학교/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘2012	‘2012/SN
정보통신보조기기	정보통신보조기기/NNG
지역순회	지역순회/NNG
전시	전시/NNG
및	및/MAG
설명회’	설명회’/NNG
강연자로	강연자/NNG+로/JKB
나서	나서/VV+어/EC
IT강국인	IT/SL+강국/NNG+이/VCP+ㄴ/ETM
대한민국이	대한민국/NNP+이/JKS
장애청소년들의	장애청소년/NNG+들/XSN+의/JKG
교육을	교육/NNG+을/JKO
위해	위하/VV+여/EC
적극적으로	적극적/NNG+으로/JKB
나서야	나서/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
강조했다	강조하/VV+였/EP+다/EC

이날	이날/NNG
고씨는	고/NNP+씨/NNB+는/JX
‘장애청소년과	‘/SN+장애청소년/NNG+과/JKB
함께	함께/MAG
만드는	만들/VV+는/ETM
정보화	정보/NNG+화/XSN
미래사회’를	미래사회’/NNG+를/JKO
주제로	주제/NNG+로/JKB
자신의	자신/NNG+의/JKG
장애	장애/NNG
이야기부터	이야기/NNG+부터/JX
앞으로의	앞/NNG+으로/JKB+의/JKG
꿈까지	꿈/NNG+까지/JX
30여분동안	30/SN+여/XSN+분/NNB+동안/NNG
허심탄회하게	허심탄회하/VA+게/EC
털어놓으며,	털어놓/VV+으며/EC+,/SP
객석에	객석/NNG+에/JKB
앉은	앉/VV+은/ETM
장애청소년들과	장애청소년/NNG+들/XSN+과/JC
학부모들의	학부모/NNG+들/XSN+의/JKG
큰	크/VA+ㄴ/ETM
공감을	공감/NNG+을/JKO
얻었다	얻/VV+었/EP+다/EC

고씨는	고/NNP+씨/NNB+는/JX
“1살	“/SL+1/SN+살/NNB
때	때/NNG
소아마비로	소아마비/NNG+로/JKB
인해	인하/VV+여/EC
장애를	장애/NNG+를/JKO
가지게	가지/VV+게/EC
됐다	되/VV+었/EP+다/EC

‘장애인이	‘/SL+장애인/NNG+이/JKC
됐다’라는	되/VV+었/EP+다/EC+’/VV+라는/ETM
걸	것/NNB+ㄹ/JKO
안	안/NNG
초등학교	초등학교/NNG
때부터	때/NNG+부터/JX
웃으면서	웃/VV+으면서/EC
사진을	사진/NNG+을/JKO
찍지	찍/VV+지/EC
못했다”며	못하/VX+였/EP+다/EC+”/VX+며/EC
“장애인으로	“/SN+장애인/NNG+으로/JKB
사는	살/VV+는/ETM
건	것/NNB+ㄴ/JX
너무나	너무나/MAG
큰	크/VA+ㄴ/ETM
고통이었고	고통/NNG+이/VCP+었/EP+고/EC
괴로운	괴롭/VA+ㄴ/ETM
일이었다”고	일/NNG+이/VCP+었/EP+다/EC+”/SN+고/EC
토로했다	토로하/VV+였/EP+다/EF

