교과부,	교과부/NNG+,/SP
‘장애학생	‘/SN+장애학생/NNG
스마트러닝’	스마트러닝’/NNG
대상·기관	대상/NNG+·/SP+기관/NNG
확대	확대/NNG

교육과학기술부(장관	교육과학기술부/NNG+(/SS+장관/NNG
이주호)는	이주호/NNP+)/SS+는/JX
장애	장애/NNG
또는	또는/MAG
건강의	건강/NNG+의/JKG
문제로	문제/NNG+로/JKB
학교에	학교/NNG+에/JKB
다니기	다니/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
장애학생고	장애학생고/NNG
순회교육학생을	순/MM+회교육학생/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
추진해	추진하/VV+여/EC
온	오/VX+ㄴ/ETM
‘장애학생	‘/SL+장애학생/NNG
스마트러닝’	스마트러닝/NNG+’/SL
지원	지원/NNG
대상과	대상/NNG+과/JC
기관을	기관/NNG+을/JKO
확대한다고	확대하/VV+ㄴ다고/EC
19일	19/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

장애학생	장애학생/NNG
스마트러닝은	스마트러닝/NNG+은/JX
교과부와	교과부/NNG+와/JC
삼성전자,	삼성전자/NNP+,/SP
SK텔레콤이	SK/SL+텔레콤/NNG+이/JKS
‘장애학생	‘/SL+장애학생/NNG
스마트러닝	스마트러닝/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
양해각서’에	양해각서’/NNG+에/JKB
따라	따르/VV+아/EC
추진한	추진하/VV+ㄴ/ETM
사업이다	사업/NNG+이/VCP+다/EC

지난해	지난해/NNG
장애학생	장애학생/NNG
스마트러닝	스마트러닝/NNG
지원	지원/NNG
플랫폼을	플랫폼/NNG+을/JKO
구축한	구축하/VV+ㄴ/ETM
후	후/NNG
장애학생	장애학생/NNG
및	및/MAG
지원교사	지원교사/NNG
등	등/NNB
1,000명을	1,000/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
스마트기기를	스마트기기/NNG+를/JKO
보급해	보급하/VV+여/EC
서비스를	서비스/NNG+를/JKO
지원하고	지원하/VV+고/EC
있다	있/VX+다/EC

발표에	발표/NNG+에/JKB
따르면	따르/VV+면/EC
이달	이달/NNG
서울	서울/NNP
국사봉중학교	국사봉중학교/NNP
특수학급에	특수학급/NNG+에/JKB
청각장애	청각장애/NNG
학생	학생/NNG
스마트교실	스마트교실/NNG
구축을	구축/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
장애	장애/NNG
유형별	유형/NNG+별/XSN
스마트교실	스마트교실/NNG
운영에	운영/NNG+에/JKB
들어간다	들어가/VV+ㄴ다/EC

일반학교에	일반학교/NNG+에/JKB
다니는	다니/VV+는/ETM
청각장애	청각장애/NNG
학생을	학생/NNG+을/JKO
위해	위하/VV+여/EC
스마트기기를	스마트기기/NNG+를/JKO
제공해	제공하/VV+여/EC
청각장애	청각장애/NNG
학생도	학생/NNG+도/JX
통합교육을	통합교육/NNG+을/JKO
쉽게	쉽/VA+게/EC
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/EF
것	것/NNB

청각장애	청각장애/NNG
학생에게	학생/NNG+에게/JKB
지원되는	지원/NNG+되/XSV+는/ETM
스마트기기는	스마트기기/NNG+는/JX
교사의	교사/NNG+의/JKG
수업과	수업/NNG+과/JC
친구와의	친구/NNG+와/JKB+의/JKG
대화를	대화/NNG+를/JKO
원격교육지원센터를	원격교육지원센터/NNG+를/JKO
통해	통하/VV+여/EC
실시간	실시간/NNG
수화통역·문자통역을	수화통역/NNG+·/SP+문자통역/NNG+을/JKO
받고,	받/VV+고/EC+,/SP
학생이	학생/NNG+이/JKS
질문이나	질문/NNG+이나/JC
대답을	대답/NNG+을/JKO
스마트기기에	스마트기기/NNG+에/JKB
입력하게	입력하/VV+게/EC
되면	되/VV+면/EC
스피커를	스피커/NNG+를/JKO
통해	통하/VV+여/EC
교사나	교사/NNG+나/JC
친구에게	친구/NNG+에게/JKB
전달된다	전달되/VV+ㄴ다/EF

특히	특히/MAG
스마트교실에는	스마트교실/NNG+에/JKB+는/JX
스마트기기	스마트기기/NNG
뿐만	뿐만/JX
아니라	아니/VCN+라/EC
서책형교과서	서책형교과서/NNG
등	등/NNB
기존	기존/NNG
인쇄매체의	인쇄매체/NNG+의/JKG
장점도	장점/NNG+도/JX
융합해	융합하/VV+여/EC
인쇄물과	인쇄물/NNG+과/JKB
디지털콘텐츠를	디지털콘텐츠/NNG+를/JKO
함께	함께/MAG
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
구축된다	구축되/VV+ㄴ다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
교실에서	교실/NNG+에서/JKB
학생이	학생/NNG+이/JKS
인쇄된	인쇄되/VV+ㄴ/ETM
수업자료에	수업자료/NNG+에/JKB
특수한	특수하/VA+ㄴ/ETM
필기도구로	필기도구/NNG+로/JKB
문제를	문제/NNG+를/JKO
풀거나	풀/VV+거나/EC
기록한	기록하/VV+ㄴ/ETM
내용이	내용/NNG+이/JKS
교실의	교실/NNG+의/JKG
모니터	모니터/NNG
또는	또는/MAG
태블릿PD에	태블릿/NNG+PD/SL+에/JKB
표시	표시/NNG
돼	되/VV+어/EC
교사나	교사/NNG+나/JC
급우와도	급우/NNG+와/JKB+도/JX
학습	학습/NNG
정보를	정보/NNG+를/JKO
공유할	공유하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

한편	한편/MAG
교과부는	교과부/NNG+는/JX
장애학생	장애학생/NNG
스마트교실을	스마트교실/NNG+을/JKO
시범	시범/NNG
운영한	운영하/VV+ㄴ/ETM
후	후/NNG
지원	지원/NNG
대상을	대상/NNG+을/JKO
2,000명으로	2,000/SN+명/NNB+으로/JKB
확대할	확대하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
