‘포항	‘/SL+포항/NNG
성인장애인	성인장애인/NNG
평생교육	평생교육/NNG
조례’	조례/NNG+’/SL
제정	제정/NNG
탄력	탄력/NNG

‘포항시	‘/SL+포항시/NNP
성인중증장애인	성인중/NNP+증장애인/NNG
평생교육	평생교육/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조례(이하	조례/NNG+(/SS+이하/NNG
평생교육	평생교육/NNG
지원	지원/NNG
조례)'	조례/NNG+)'/SS
제정이	제정/NNG+이/JKS
탄력을	탄력/NNG+을/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

포항시중증장애인평생교육원설립추진위원회(이하	포항시/NNP+중증장애인평생교육원설립추진위원회/NNG+(/SS+이하/NNG
추진위)는	추진위/NNG+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
평생교육	평생교육/NNG
지원	지원/NNG
조례	조례/NNG
제정청구	제정청구/NNG
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
3개월	3/SN+개월/NNB
간	간/XSN
주민발의를	주민발의/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
서명운동을	서명운동/NNG+을/JKO
전개했다	전개하/VV+였/EP+다/EC

'주민발의제’는	'/SS+주민발의제/NNG+’/SL+는/JX
지역주민의	지역주민/NNG+의/JKG
생활에	생활/NNG+에/JKB
가장	가장/MAG
밀접한	밀접하/VA+ㄴ/ETM
관련이	관련/NNG+이/JKS
있는	있/VA+는/ETM
법률인	법률/NNG+이/VCP+ㄴ/ETM
조례	조례/NNG
제정을	제정/NNG+을/JKO
주민이	주민/NNG+이/JKS
직접	직접/MAG
추진하는	추진하/VV+는/ETM
제도로,	제도/NNG+로/JKB+,/SP
인구	인구/NNG
수	수/NNG
규모에	규모/NNG+에/JKB
따라	따르/VV+아/EC
주민	주민/NNG
서명을	서명/NNG+을/JKO
통해	통하/VV+여/EC
지자체장에게	지자체장/NNG+에게/JKB
조례	조례/NNG
제정을	제정/NNG+을/JKO
청구할	청구하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

이후	이후/NNG
지방의회를	지방의회/NNG+를/JKO
통과해야	통과하/VV+여야/EC
조례가	조례/NNG+가/JKS
발의된다	발의되/VV+ㄴ다/EF

추진위는	추진위/NNG+는/JX
그동안	그동안/NNG
“포항시에	“/SL+포항시/NNP+에/JKB
거주하고	거주하/VV+고/EC
있는	있/VX+는/ETM
약	약/MM
6천명의	6/SN+천/NR+명/NNB+의/JKG
중증장애인은	중증장애인/NNG+은/JX
고등학교	고등학교/NNG
졸업	졸업/NNG
이후	이후/NNG
교육을	교육/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없어	없/VA+어/EC
집에만	집/NNG+에/JKB+만/JX
있는	있/VA+는/ETM
경우가	경우/NNG+가/JKS
많다”면서	많/VA+다/EC+”/VV+면서/EC
“성인	“/SL+성/NNG+이/VCP+ㄴ/ETM
중증	중증/NNG
장애인도	장애인/NNG+도/JX
비장애인과	비장애인/NNG+과/JC
대등한	대등하/VA+ㄴ/ETM
지위에서	지위/NNG+에서/JKB
교육	교육/NNG
기회	기회/NNG
확보를	확보/NNG+를/JKO
통해	통하/VV+여/EC
행복	행복/NNG
추구권을	추구/NNG+권/XSN+을/JKO
실현하고자	실현하/VV+고자/EC
‘평생교육	‘/SL+평생교육/NNG
지원	지원/NNG
조례’를	조례/NNG+’/SL+를/JKO
제정하기로	제정하/VV+기/ETN+로/JKB
했다”고	하/VV+였/EP+다/EC+”/VV+고/EC
취지를	취지/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

추진위에	추진위/NNG+에/JKB
따르면	따르/VV+면/EC
포항시의	포항시/NNP+의/JKG
인구에	인구/NNG+에/JKB
따라	따르/VV+아/EC
약	약/MM
4천여명의	4/SN+천/NR+여/XSN+명/NNB+의/JKG
주민의	주민/NNG+의/JKG
서명을	서명/NNG+을/JKO
받아야만	받/VV+아야/EC+만/JX
포항시의회에	포항시의회/NNP+에/JKB
평생교육	평생교육/NNG
지원	지원/NNG
조례안이	조례안/NNG+이/JKS
안건으로	안건/NNG+으로/JKB
올라가게	올라가/VV+게/EC
된다	되/VV+ㄴ다/EF

추진위는	추진위/NNG+는/JX
약	약/MM
3개월간	3/SN+개월/NNB+간/XSN
13차례에	13/SN+차례/NNG+에/JKB
걸친	걸치/VV+ㄴ/ETM
거리서명운동에서	거리서명운동/NNG+에서/JKB
받은	받/VV+은/ETM
3,850명의	3,850/SN+명/NNB+의/JKG
서명과	서명/NNG+과/JC
추진위원회	추진위원회/NNG
회원이	회원/NNG+이/JKS
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
5,736명	5,736/SN+명/NNB
등	등/NNB
총	총/MM
9,586명의	9,586/SN+명/NNB+의/JKG
서명을	서명/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

이중	이/MM+중/NNB
유효	유효/NNG
서명지로	서명/NNG+지/XSN+로/JKB
분류된	분류되/VV+ㄴ/ETM
8,427명의	8,427/SN+명/NNB+의/JKG
서명지를	서명/NNG+지/XSN+를/JKO
오는	오/VV+는/ETM
16일	16/SN+일/NNB
포항시에	포항시/NNP+에/JKB
전달할	전달하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
추진위는	추진위/NNG+는/JX
“8,427명이란	“8,427/SN+명/NNB+이란/JX
수는	수/NNG+는/JX
포항시	포항시/NNP
유권자의	유권자/NNG+의/JKG
1/50에	1/SN+//SP+50/SN+에/JKB
해당하는	해당하/VV+는/ETM
인원으로	인원/NNG+으로/JKB
장애부모들과	장애부모/NNG+들/XSN+과/JC
포항시민의	포항/NNP+시민/NNG+의/JKG
중증장애인	중증장애인/NNG
평생교육에	평생교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
그만큼	그만큼/MAG
크다는	크/VA+다는/ETM
것을	것/NNB+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있다”면서	있/VA+다”면서/EC
“중증장애인	“/SL+중증장애/NNG+이/VCP+ㄴ/ETM
학교과정	학교과정/NNG
이후의	이후/NNG+의/JKG
교육문제가	교육문제/NNG+가/JKS
해당	해당/NNG
가족만의	가족/NNG+만/JX+의/JKG
문제가	문제/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
만큼	만큼/NNB
포항시를	포항시/NNP+를/JKO
비롯해	비롯하/VV+여/EC
포항시민들이	포항시민/NNG+들/XSN+이/JKS
같이	같이/MAG
풀어나가야	풀/VV+어/EC+나가/VX+아야/EC
하는	하/VX+는/ETM
문제”라고	문제”/NNG+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

추진위는	추진위/NNG+는/JX
