경진학교	경진학교/NNG
학부모	학부모/NNG
"교사폭력	"/SS+교사폭력/NNG
근절대책	근절대책/NNG
마련하라"	마련하/VV+라/EF+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
임기창	임기창/NNP
기자	기자/NNG
=	=/SW
정서·행동장애인을	정서/NNG+·/SP+행동장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특수학교인	특수학교/NNG+이/VCP+ㄴ/ETM
국립	국립/NNG
한국경진학교(경기	한국경진학교/NNP+(/SS+경기/NNP
고양시	고양시/NNP
소재)	소재/NNG+)/SS
학부모회는	학부모회/NNG+는/JX
18일	18/SN+일/NNB
서울	서울/NNP
세종로	세종로/NNP
정부중앙청사	정부중앙청사/NNG
후문에서	후문/NNG+에서/JKB
집회를	집회/NNG+를/JKO
열어	열/VV+어/EC
특수교사의	특수교사/NNG+의/JKG
폭력	폭력/NNG
근절	근절/NNG
대책을	대책/NNG+을/JKO
마련하라고	마련하/VV+라고/EC
촉구했다	촉구하/VV+였/EP+다/EC

학부모회는	학부모회/NNG+는/JX
"지난	"/SS+지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
국가인권위원회	국가인권위원회/NNG
직권조사	직권조사/NNG
결과	결과/NNG
교사들의	교사/NNG+들/XSN+의/JKG
폭력행위가	폭력행위/NNG+가/JKS
추가로	추가/NNG+로/JKB
드러났으나	드러나/VV+았/EP+으나/EC
학교는	학교/NNG+는/JX
아무런	아무런/MM
조치도	조치/NNG+도/JX
내놓지	내놓/VV+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"문제가	"/SS+문제/NNG+가/JKS
돼	되/VV+어/EC
정직	정직/NNG
3개월을	3/SN+개월/NNB+을/JKO
받은	받/VV+은/ETM
교사는	교사/NNG+는/JX
11월	11/SN+월/NNB
복직	복직/NNG
예정이어서	예정/NNG+이/VCP+어서/EC
학부모들이	학부모/NNG+들/XSN+이/JKS
불안에	불안/NNG+에/JKB
떨고	떨/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이	이/MM
학교에서는	학교/NNG+에서/JKB+는/JX
인턴교사가	인턴교사/NNP+가/JKS
2학년	2/SN+학년/NNG
담임이던	담임/NNG+이/VCP+던/ETM
A교사의	A/SL+교사/NNG+의/JKG
가혹행위를	가혹행위/NNG+를/JKO
학교장에게	학교장/NNG+에게/JKB
보고하고	보고하/VV+고/EC
나서도	나/VX+아서/EC+도/JX
별다른	별다르/VA+ㄴ/ETM
조치가	조치/NNG+가/JKS
없자	없/VA+자/EC
학교를	학교/NNG+를/JKO
그만두기	그만두/VV+기/ETN
전	전/NNG
해당	해당/NNG
교사의	교사/NNG+의/JKG
행위들을	행위/NNG+들/XSN+을/JKO
정리한	정리하/VV+ㄴ/ETM
일지를	일지/NNG+를/JKO
학부모에게	학부모/NNG+에게/JKB
전달하면서	전달하/VV+면서/EC
논란이	논란/NNG+이/JKS
확산됐다	확산되/VV+었/EP+다/EF

학부모들이	학부모/NNG+들/XSN+이/JKS
이날	이날/NNG
공개한	공개하/VV+ㄴ/ETM
가혹행위	가혹행위/NNG
