서울시,	서울시/NNP+,/SP
‘서울시	‘/SL+서울시/NNP
평생학습포털’	평생학습포털/NNG+’/SL
본격	본격/NNG
운영	운영/NNG

서울시가	서울시/NNP+가/JKS
15일	15/SN+일/NNB
‘서울시	‘/SL+서울시/NNP
평생학습포털(http://sll	평생학습포털/NNG+(/SS+http/SL+:///SP+sll/SL

seoul	seoul/SL

go	go/SL

kr)을	kr/SL+)/SS+을/JKO
구축,	구축/NNG+,/SP
본격적으로	본격적/NNG+으로/JKB
운영한다고	운영하/VV+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
자치구,	자치구/NNG+,/SP
자치회관,	자치회관/NNG+,/SP
여성시설,	여성시설/NNG+,/SP
복지관,	복지/NNG+관/XSN+,/SP
도서관	도서관/NNG
등에	등/NNB+에/JKB
다양하게	다양하/VA+게/EC
산재되어	산재되/VV+어/EC
있던	있/VX+던/ETM
평생학습	평생학습/NNG
관련	관련/NNG
정보를	정보/NNG+를/JKO
한	한/MM
곳에	곳/NNG+에/JKB
활인하고,	활인하/VV+고/EC+,/SP
다양한	다양하/VA+ㄴ/ETM
사이버학습서비스를	사이버학습서비스/NNG+를/JKO
손쉽게	손쉽/VA+게/EC
학습할	학습하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다	되/VV+었/EP+다/EC

‘평생학습포털시스템’은	‘/SL+평생학습포털시스템’/NNG+은/JX
검색어	검색어/NNG
하나만	하나/NR+만/JX
입력하면	입력하/VV+면/EC
교육프로그램,	교육프로그램/NNG+,/SP
운영기관,	운영기관/NNG+,/SP
기관위치,	기관위치/NNG+,/SP
수강신청여부	수강신청여부/NNG
등	등/NNB
자신에게	자신/NNG+에게/JKB
가장	가장/MAG
적합한	적합하/VA+ㄴ/ETM
평생학습을	평생학습/NNG+을/JKO
제공하는	제공하/VV+는/ETM
기관의	기관/NNG+의/JKG
정보를	정보/NNG+를/JKO
모두	모두/MAG
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

평생학습지도서비스는	평생학습지도서비스/NNG+는/JX
내	나/NP+의/JKG
위치를	위치/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
평생학습기관의	평생학습기관/NNG+의/JKG
위치,	위치/NNG+,/SP
주소,	주소/NNG+,/SP
연락처	연락처/NNG
등	등/NNB
시설	시설/NNG
현황과	현황/NNG+과/JC
그	그/MM
기관에서	기관/NNG+에서/JKB
운영	운영/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
프로그램	프로그램/NNG
정보	정보/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
학습	학습/NNG
정보까지	정보/NNG+까지/JX
찾아볼	찾아보/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
외국어,	외국어/NNG+,/SP
직업/자격증,	직업/NNG+//SP+자격증/NNG+,/SP
가족/자녀교육,	가족/NNG+//SP+자녀교육/NNG+,/SP
문화/교양,	문화/NNG+//SP+교양/NNG+,/SP
취미	취미/NNG
및	및/MAG
건강,	건강/NNG+,/SP
정보화교육,	정보/NNG+화/XSN+교육/NNG+,/SP
U-지식여행	U/SL+-/SO+지식여행/NNG
등	등/NNB
질	질/NNG
높은	높/VA+은/ETM
콘텐츠를	콘텐츠/NNG+를/JKO
제공한다	제공하/VV+ㄴ다/EF

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
시민	시민/NNG
맞춤형	맞춤/NNG+형/XSN
학습진단	학습진단/NNG
서비스를	서비스/NNG+를/JKO
통해	통하/VV+여/EC
개인의	개인/NNG+의/JKG
학습역량을	학습역량/NNG+을/JKO
진단하고	진단하/VV+고/EC
이와	이/NP+와/JKB
관련된	관련되/VV+ㄴ/ETM
강좌를	강좌/NNG+를/JKO
추천해준다	추천하/VV+여/EC+주/VX+ㄴ다/EF
