'꿈'	'/SS+꿈/NNP+'/SS
잃어	잃/VV+어/EC
가는	가/VX+는/ETM
예비	예비/NNG
특수교사들	특수교사/NNG+들/XSN

4일	4/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
반	반/NNG
서울	서울/NNP
중앙정부청사	중앙정부청사/NNP
일대	일대/NNG

일찍이	일찍이/MAG
점심식사를	점심식사/NNG+를/JKO
하러	하/VV+러/EC
나온	나오/VV+ㄴ/ETM
직장인들이	직장인/NNG+들/XSN+이/JKS
바쁘게	바쁘/VA+게/EC
움직인다	움직이/VV+ㄴ다/EC

이	이/MM
때	때/NNG
앳돼	앳되/VA+어/EC
보이는	보이/VV+는/ETM
여학생들이	여학생/NNG+들/XSN+이/JKS
여럿	여럿/NNG
서	서/VV+어/EC
있다	있/VX+다/EF

장애인	장애인/NNG
교육권	교육권/NNG
및	및/MAG
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연대회의(이하	연대회의/NNG+(/SS+이하/NNG
연대회의)에	연대회의/NNG+)/SS+에/JKB
소속된	소속되/VV+ㄴ/ETM
이들은	이/NP+들/XSN+은/JX
‘특수교사도	‘/SL+특수교사/NNG+도/JX
특수학급도	특수학급/NNG+도/JX
없어서	없/VA+어서/EC
장애학생들이	장애학생/NNG+들/XSN+이/JKS
제대로	제대로/MAG
교육받지	교육/NNG+받/VV+지/EC
못하고	못하/VX+고/EC
있다’는	있/VX+다/EC+’/SL+는/JX
말이	말/NNG+이/JKS
쓰여진	쓰이/VV+어/EC+지/VX+ㄴ/ETM
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
있었다	있/VX+었/EP+다/EF

알고	알/VV+고/EC
보니	보/VX+니/EC
이화여대,	이화여대/NNP+,/SP
위덕대,	위덕대/NNG+,/SP
대구대	대구대/NNP
특수교육과	특수교육/NNG+과/JC
학생들이	학생/NNG+들/XSN+이/JKS
장애인	장애인/NNG
교육권	교육권/NNG
보장	보장/NNG
및	및/MAG
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보의	확보/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
내기	내/VV+기/ETN
위해	위하/VV+여/EC
올	올/NNG
상반기에	상반기/NNG+에/JKB
이어	잇/VV+어/EC
또	또/MAG
다시	다시/MAG
거리에	거리/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것	것/NNB

1인	1/SN+인/NNG
시위에	시위/NNG+에/JKB
참여한	참여하/VV+ㄴ/ETM
특수교육과	특수교육/NNG+과/JC
학생들	학생/NNG+들/XSN
중	중/NNB
유독	유독/MAG
이화여대	이화여대/NNP
특수교육과	특수교육/NNG+과/JC
4학년에	4/SN+학년/NNG+에/JKB
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
조미영(가명)	조미영/NNP+(/SS+가명/NNG+)/SS
학생이	학생/NNG+이/JKS
미래에	미래/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불안한	불안하/VA+ㄴ/ETM
표정을	표정/NNG+을/JKO
띠고	띠/VV+고/EC
있었다	있/VX+었/EP+다/EF

그녀는	그녀/NP+는/JX
한숨을	한숨/NNG+을/JKO
내쉰	내쉬/VV+ㄴ/ETM
뒤	뒤/NNG
‘특수교사	‘/SN+특수교사/NNG
법정정원	법정정원/NNG
확보’에	확보’/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
피켓을	피켓/NNG+을/JKO
든	들/VV+ㄴ/ETM
채	채/NNB
특수교사	특수교사/NNG
부족으로	부족/NNG+으로/JKB
인해	인하/VV+여/EC
야기되는	야기되/VV+는/ETM
문제점들을	문제점/NNG+들/XSN+을/JKO
설명했다	설명하/VV+었/EP+다/EC

먼저	먼저/MAG
조	좋/VA
양은	양/NNG+은/JX
특수교육과를	특수교육과/NNG+를/JKO
졸업하는	졸업하/VV+는/ETM
학생들의	학생/NNG+들/XSN+의/JKG
미래가	미래/NNG+가/JKS
불안정해	불안정하/VA+여/EC
자칫	자칫/MAG
특수교육이	특수교육/NNG+이/JKS
침체기에	침체기/NNG+에/JKB
들어설까	들어서/VV+ㄹ까/EC
두려운	두렵/VA+ㄴ/ETM
마음이	마음/NNG+이/JKS
든다고	들/VV+ㄴ다고/EC
말했다	말하/VV+였/EP+다/EC

조	조/NNG
양은	양/NNG+은/JX
“사범대를	“/SN+사범대/NNG+를/JKO
졸업한	졸업하/VV+ㄴ/ETM
학생들은	학생/NNG+들/XSN+은/JX
다른	다르/VA+ㄴ/ETM
길로	길/NNG+로/JKB
빠지는	빠지/VV+는/ETM
수가	수/NNB+가/JKS
극히	극히/MAG
드물어	드물/VA+어/EC
졸업을	졸업/NNG+을/JKO
하면	하/VV+면/EC
기간제	기간제/NNG
교사,	교사/NNG+,/SP
대학원	대학원/NNG
준비,	준비/NNG+,/SP
임용고시	임용고시/NNG
준비생,	준비생/NNG+,/SP
특수교사를	특수교사/NNG+를/JKO
아예	아예/MAG
포기하는	포기하/VV+는/ETM
학생들로	학생/NNG+들/XSN+로/JKB
나뉘어진다”며	나뉘/VV+어/EC+지/VX+ㄴ다/EC+”/VX+며/EC
“특수교사	“/SN+특수교사/NNG
채용이	채용/NNG+이/JKS
부족한	부족하/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
학생들은	학생/NNG+들/XSN+은/JX
취업의	취업/NNG+의/JKG
문턱에서	문턱/NNG+에서/JKB
계속	계속/MAG
좌절하고,	좌절하/VV+고/EC+,/SP
미래에	미래/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불안함이	불안하/VA+ㅁ/ETN+이/JKS
극심해질	극심하/VA+여/EC+지/VX+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

또한	또한/MAG
“이러한	“/SL+이러하/VA+ㄴ/ETM
상황이	상황/NNG+이/JKS
계속적으로	계속적/NNG+으로/JKB
반복된다면,	반복되/VV+ㄴ다면/EC+,/SP
장애학생은	장애학생/NNG+은/JX
급증하고	급증하/VV+고/EC
있는	있/VX+는/ETM
반면	반면/NNG
특수교육을	특수교육/NNG+을/JKO
공부하는	공부하/VV+는/ETM
학생들은	학생/NNG+들/XSN+은/JX
장담할	장담하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
미래	미래/NNG
때문에	때문/NNB+에/JKB
점차	점차/MAG
줄어	줄/VV+어/EC
들	들/VX
게	것/NNB+이/JKS
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“결국	“결국/NNG
장애학생들을	장애학생/NNG+들/XSN+을/JKO
비전문적인	비/XPN+전문적/NNG+이/VCP+ㄴ/ETM
일반교사들이	일반교사/NNG+들/XSN+이/JKS
가르치는	가르치/VV+는/ETM
말도	말/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
일이	일/NNG+이/JKS
일어나게	일어나/VV+게/EC
될	되/VV+ㄹ/ETM
까	까/VV+아/EC
무섭다	무섭/VA+다/EC

결국	결국/NNG
특수교육의	특수교육/NNG+의/JKG
전문성은	전문성/NNG+은/JX
떨어지고,	떨어지/VV+고/EC+,/SP
특수교육이	특수교육/NNG+이/JKS
침체기에	침체기/NNG+에/JKB
이르게	이르/VV+게/EC
되지	되/VV+지/EC
않을까	않/VX+을까/EC
하는	하/VV+는/ETM
생각도	생각/NNG+도/JX
하게	하/VV+게/EC
된다”고	되/VV+ㄴ다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

조	조/NNG
양은	양/NNP+은/JX
“현재	“/SL+현재/MAG
많은	많/VA+은/ETM
친구들이	친구/NNG+들/XSN+이/JKS
암담한	암담하/VA+ㄴ/ETM
현실을	현실/NNG+을/JKO
개탄하며,	개탄하/VV+며/EC+,/SP
이러한	이러하/VA+ㄴ/ETM
활동에	활동/NNG+에/JKB
적극적으로	적극적/NNG+으로/JKB
나서서	나서/VV+어서/EC
바꿔보자	바꾸/VV+어/EC+보/VX+자/EC
하는	하/VX+는/ETM
친구들도	친구/NNG+들/XSN+도/JX
있지만,	있/VA+지만/EC+,/SP
‘당장	‘/SL+당장/NNG
나부터	나/NP+부터/JX
먹고	먹/VV+고/EC
살아야	살/VV+아야/EC
된다’는	되/VV+ㄴ다/EF+’/SL+는/JX
인식으로	인식/NNG+으로/JKB
임용고시에	임용고시/NNG+에/JKB
올인해	올인하/VV+여/EC
공부하는	공부하/VV+는/ETM
친구도	친구/NNG+도/JX
많다”고	많/VA+다/EC+”/VX+고/EC
전했다	전하/VV+었/EP+다/EC

이어	이어/MAG
조	조/NNG
양은	양/NNG+은/JX
“특수교사	“/SN+특수교사/NNG
부족	부족/NNG
문제는	문제/NNG+는/JX
한	한/MM
번에	번/NNB+에/JKB
해결되는	해결되/VV+는/ETM
것이	것/NNB+이/JKC
아니고,	아니/VCN+고/EC+,/SP
계속	계속/MAG
문제가	문제/NNG+가/JKS
제기되는	제기되/VV+는/ETM
만큼	만큼/NNB
장애인을	장애인/NNG+을/JKO
비롯해	비롯하/VV+여/EC
부모,	부모/NNG+,/SP
학생	학생/NNG
모두	모두/MAG
참여해	참여하/VV+여/EC
특수교사	특수교사/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
움직임이	움직임/NNG+이/JKS
지속적으로	지속적/NNG+으로/JKB
끌고	끌/VV+고/EC
가야	가/VV+아야/EC
될	되/VV+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

연대회의는	연대회의/NNG+는/JX
특수교사	특수교사/NNG
법정	법정/NNG
정원	정원/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+여/EC
내년	내년/NNG
1500명을	1500/SN+명/NNB+을/JKO
충원한	충원하/VV+ㄴ/ETM
뒤	뒤/NNG
향후	향후/NNG
총	총/MM
7000명까지	7000/SN+명/NNB+까지/JX
늘릴	늘리/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC

이를	이/NP+를/JKO
위해	위하/VV+여/EC
오는	오/VV+는/ETM
20일까지	20/SN+일/NNB+까지/JX
중앙정부청사	중앙정부청사/NNG
일대(정문,	일대/NNG+(/SS+정문/NNG+,/SP
후문	후문/NNG
등)에서	등/NNB+)/SS+에서/JKB
각	각/MM
대학의	대학/NNG+의/JKG
특수교육과	특수교육/NNG+과/JC
학생	학생/NNG
및	및/MAG
관계자들의	관계자/NNG+들/XSN+의/JKG
릴레이	릴레이/NNG
1인	1/SN+인/NNG
시위를	시위/NNG+를/JKO
진행하고,	진행하/VV+고/EC+,/SP
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
10만인	10/SN+만/NNB+이/VCP+ㄴ/ETM
서명운동,	서명운동/NNG+,/SP
거리	거리/NNG
선전전을	선전전/NNG+을/JKO
병행할	병행하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

중앙청부청사	중앙청부청사/NNP
정문	정문/NNG
앞에서	앞/NNG+에서/JKB
1인	1/SN+인/NNG
시위에	시위/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
전국유아특수교육과학생연대	전국유아특수교육과학생연대/NNP
박재희	박재희/NNP
의장(대구대학교	의장/NNG+(/SS+대구대학교/NNP
유아특수교육과)	유아특수교육과/NNG+)/SS

중앙정부청사	중앙정부청사/NNP
후문	후문/NNG
앞에서	앞/NNG+에서/JKB
1인	1/SN+인/NNG
시위에	시위/NNG+에/JKB
참여한	참여하/VV+ㄴ/ETM
이화여대	이화여대/NNP
특수교육과	특수교육/NNG+과/JC
3학년	3/SN+학년/NNG
홍정연	홍정연/NNP
학생	학생/NNG
