'무리하더니..'	'/SS+무리하/VV+더니/EF+../SF+'/SS
광주교육청	광주/NNP+교육청/NNG
특수교육행정	특수교육행정/NNG
졸속	졸속/NNG

(광주=연합뉴스)	(/SS+광주/NNP+=/SW+연합뉴스/NNP+)/SS
송형일	송형일/NNP
기자	기자/NNG
=	=/SW
광주시교육청이	광주시교육청/NNP+이/JKS
옛	옛/MM
광주	광주/NNP
인화학교에	인화학교/NNG+에/JKB
조성을	조성/NNG+을/JKO
추진,	추진/NNG+,/SP
논란을	논란/NNG+을/JKO
불렀던	부르/VV+었/EP+던/ETM
특수교육지원센터	특수교육지원센터/NNG
건립이	건립/NNG+이/JKS
사실상	사실상/NNG
무산되는	무산되/VV+는/ETM
등	등/NNB
졸속	졸속/NNG
행정이	행정/NNG+이/JKS
도마위에	도마위/NNG+에/JKB
올랐다	오르/VV+았/EP+다/EC

광주시교육청은	광주시교육청/NNP+은/JX
특수교육지원센터	특수교육지원센터/NNG
건립	건립/NNG
후보지로	후보지/NNG+로/JKB
인화학교를	인화학교/NNG+를/JKO
제외한	제외하/VV+ㄴ/ETM
관내	관내/NNG
폐교와	폐교/NNG+와/JC
옛	옛/MM
교육기관	교육기관/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
원점에서	원점/NNG+에서/JKB
후보지를	후보지/NNG+를/JKO
재검토	재검토/NNG
중이다고	중/NNB+이/VCP+다고/EC
3일	3/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

후보지는	후보지/NNG+는/JX
신축	신축/NNG
이전으로	이전/NNG+으로/JKB
현재	현재/MAG
방치된	방치되/VV+ㄴ/ETM
옛	옛/MM
광주과학고(남구	광주과학고/NNP+(/SS+남구/NNG
주월동)와	주월동/NNP+)/SS+와/JC
옛	옛/MM
지원중(동구	지원/NNG+중/NNB+(/SS+동구/NNP
학동),	학동/NNG+)/SS+,/SP
옛	옛/MM
교육과학원(동구	교육과학원/NNG+(/SS+동구/NNP
동명동)	동명동/NNP+)/SS
등	등/NNB
4-5곳이다	4/SN+-/SO+5/SN+곳/NNG+이/VCP+다/EC

시	시/NNG
교육청이	교육청/NNG+이/JKS
인화학교	인화학교/NNG
카드를	카드/NNG+를/JKO
포기한	포기하/VV+ㄴ/ETM
것은	것/NNB+은/JX
인화학교	인화학교/NNG
성폭력	성폭력/NNG
피해자들이	피해자/NNG+들/XSN+이/JKS
가해법인	가해법인/NNG
등을	등/NNB+을/JKO
