‘2013	‘/SL+2013/SN
수능’에	수능/NNG+’/SL+에/JKB
도전하는	도전하/VV+는/ETM
시각장애학생들	시각장애학생/NNG+들/XSN

'2013학년도	'/SS+2013/SN+학년도/NNG
대학수학능력시험'이	대학수학능력시험/NNG+'/SS+이/JKS
8일	8/SN+일/NNB
오전	오전/NNG
8시	8/SN+시/NNB
40분부터	40/SN+분/NNB+부터/JX
전국적으로	전국적/NNG+으로/JKB
실시되고	실시되/VV+고/EC
있다	있/VX+다/EC

이번	이번/NNG
시험에	시험/NNG+에/JKB
응시하는	응시하/VV+는/ETM
장애	장애/NNG
수험생을	수험생/NNG+을/JKO
포함한	포함하/VV+ㄴ/ETM
시험특별관리대상자는	시험특별관리대상자/NNG+는/JX
총	총/MM
935명으로	935/SN+명/NNB+으로/JKB
지난해보다	지난해/NNG+보다/JKB
35명	35/SN+명/NNB
늘어났다	늘어나/VV+았/EP+다/EC

서울	서울/NNP
지역의	지역/NNG+의/JKG
시각장애	시각장애/NNG
학생들은	학생/NNG+들/XSN+은/JX
서울맹학교,	서울맹학교/NNP+,/SP
청각장애	청각장애/NNG
학생들은	학생/NNG+들/XSN+은/JX
서울농학교,	서울농학교/NNP+,/SP
지적·뇌병변장애	지적/NNG+·/SP+뇌병변장애/NNG
학생들은	학생/NNG+들/XSN+은/JX
서울경운학교에서	서울/NNP+경운학교/NNG+에서/JKB
수능	수능/NNG
시험을	시험/NNG+을/JKO
치른다	치르/VV+ㄴ다/EC

현재	현재/MAG
서울맹학교	서울맹학교/NNP
내	내/NNB
4개의	4/SN+개/NNB+의/JKG
고사장에서	고사장/NNG+에서/JKB
22명의	22/SN+명/NNB+의/JKG
시각장애	시각장애/NNG
학생들이	학생/NNG+들/XSN+이/JKS
시험에	시험/NNG+에/JKB
응시하고	응시하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
이들은	이/NP+들/XSN+은/JX
비장애	비/XPN+장애/NNG
학생들보다	학생/NNG+들/XSN+보다/JKB
매	매/MM
교시	교시/NNG
1	1/SN

7배의	7/SN+배/NNG+의/JKG
시간연장을	시간/NNB+연장/NNG+을/JKO
받아	받/VV+아/EC
오후	오후/NNG
9시	9/SN+시/NNB
38분까지	38/SN+분/NNB+까지/JX
수능	수능/NNG
시험을	시험/NNG+을/JKO
치른다	치르/VV+ㄴ다/EC

이	이/MM
밖에	밖/NNG+에/JKB
자원봉사자를	자원봉사자/NNG+를/JKO
통해	통하/VV+여/EC
시각장애	시각장애/NNG
수험생들의	수험생/NNG+들/XSN+의/JKG
화장실	화장실/NNG
이용,	이용/NNG+,/SP
휴식시간	휴식시간/NNG
등	등/NNB
필요사항을	필요사항/NNG+을/JKO
지원하고	지원하/VV+고/EC
있으며	있/VX+으며/EC
학교	학교/NNG
밖에서는	밖/NNG+에서/JKB+는/JX
응급상황을	응급상황/NNG+을/JKO
대비해	대비하/VV+여/EC
119	119/SN
구급차가	구급차/NNG+가/JKS
대기하고	대기하/VV+고/EC
있다	있/VX+다/EC

입실	입실/NNG
전	전/NNG
시각장애	시각장애/NNG
수험생이	수험생/NNG+이/JKS
화장실을	화장실/NNG+을/JKO
다녀	다니/VV+어/EC
온	오/VV+ㄴ/ETM
뒤	뒤/NNG
고시장으로	고시장/NNG+으로/JKB
들어가는	들어가/VV+는/ETM
모습	모습/NNG

벽면의	벽면/NNG+의/JKG
점자를	점자/NNG+를/JKO
읽으며	읽/VV+으며/EC
가고	가/VX+고/EC
있다	있/VX+다/EC

입실한	입실하/VV+ㄴ/ETM
시각장애	시각장애/NNG
수험생이	수험생/NNG+이/JKS
초조한	초조하/VA+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
예비령이	예비령/NNG+이/JKS
울리기를	울리/VV+기/ETN+를/JKO
기다리고	기다리/VV+고/EC
있다	있/VX+다/EC

입신	입신/NNG
전	전/NNG
금속탐지기	금속탐지기/NNG
검사하는	검사하/VV+는/ETM
시험관리감독교사	시험관리감독교사/NNG

일찍	일찍/MAG
입실한	입실하/VV+ㄴ/ETM
시각장애	시각장애/NNG
수험생이	수험생/NNG+이/JKS
마음을	마음/NNG+을/JKO
다잡고	다잡/VV+고/EC
있다	있/VX+다/EC

시각장애	시각장애/NNG
수험생이	수험생/NNG+이/JKS
수험표를	수험표/NNG+를/JKO
책상	책상/NNG
가장자리	가장자리/NNG
쪽에	쪽/NNB+에/JKB
옮겨놓고	옮기/VV+어/EC+놓/VX+고/EC
있다	있/VX+다/EC

8일	8/SN+일/NNB
오전	오전/NNG
8시	8/SN+시/NNB
40분	40/SN+분/NNB
이후	이후/NNG
굳게	굳/VA+게/EC
닫힌	닫히/VV+ㄴ/ETM
서울맹학교	서울맹학교/NNP
정문	정문/NNG
