美	美/SL
전역으로	전역/NNG+으로/JKB
퍼진	퍼지/VV+ㄴ/ETM
‘서클	‘/SL+서클/NNG
오브	오브/NNG
프랜드’	프랜드/NNG+’/SN

사랑이	사랑/NNG+이/JKS
있는	있/VA+는/ETM
사람들에게는	사람/NNG+들/XSN+에게/JKB+는/JX
사랑할	사랑하/VV+ㄹ/ETM
것이	것/NNB+이/JKS
눈에	눈/NNG+에/JKB
뜨인다	뜨이/VV+ㄴ다/EC

사랑이	사랑/NNG+이/JKS
있는	있/VA+는/ETM
언어	언어/NNG
치료사	치료/NNG+사/XSN
바바라	바바라/NNP
팰리리스에게	팰리리스/NNP+에게/JKB
소외된	소외되/VV+ㄴ/ETM
자폐증	자폐증/NNG
학생들이	학생/NNG+들/XSN+이/JKS
보였다	보이/VV+었/EP+다/EF

점심	점심/NNG
시간	시간/NNG
자폐증	자폐증/NNG
학생들은	학생/NNG+들/XSN+은/JX
늘	늘/MAG
외톨이었다	외톨/NNG+이/VCP+었/EP+다/EF

모든	모든/MM
사람이	사람/NNG+이/JKS
자기	자기/NP
일이	일/NNG+이/JKC
아니라며	아니/VCN+라며/EC
스쳐지나가는	스치/VV+어/EC+지나가/VV+는/ETM
그	그/MM
모습이	모습/NNG+이/JKS
바바라의	바바라/NNP+의/JKG
마음에	마음/NNG+에/JKB
와	오/VV+아/EC
닿은	닿/VV+은/ETM
것이다	것/NNB+이/VCP+다/EC

마음에	마음/NNG+에/JKB
와	오/VV+아/EC
닿았다는	닿/VV+았/EP+다는/ETM
것	것/NNB
만으로는	만/JX+으로/JKB+는/JX
아무것도	아무것/NNG+도/JX
하지	하/VV+지/EC
못한다	못하/VX+ㄴ다/EF

그녀는	그녀/NP+는/JX
그들을	그/NP+들/XSN+을/JKO
위해	위하/VV+여/EC
무언가를	무엇/NP+이/VCP+ㄴ가/EC+를/JKO
해	하/VV+여/EC
주어야	주/VX+어야/EC
한다는	하/VX+ㄴ다는/ETM
생각을	생각/NNG+을/JKO
했다	하/VV+였/EP+다/EF

‘그래,	‘/SL+그래/NNG+,/SP
점심	점심/NNG
시간에	시간/NNG+에/JKB
홀로	홀로/MAG
있는	있/VA+는/ETM
아이들에게	아이/NNG+들/XSN+에게/JKB
친구를	친구/NNG+를/JKO
만들어	만들/VV+어/EC
주자	주/VX+자/EF

’그녀의	’/SL+그녀/NP+의/JKG
결심이	결심/NNG+이/JKS
만들어	만들/VV+어/EC
낸	내/VX+ㄴ/ETM
것이	것/NNB+이/JKS
‘서클	‘/SL+서클/NNG
오브	오브/NNG
프랜드’(이하	프랜드/NNG+’/SL+(/SS+이하/NNG
프랜드)다	프랜드/NNG+)/SS+이/VCP+다/EF

이	이/MM
프로그램은	프로그램/NNG+은/JX
비장애인들을	비장애인/NNG+들/XSN+을/JKO
점심시간에	점심시간/NNG+에/JKB
자폐증	자폐증/NNG
학생들과	학생/NNG+들/XSN+과/JKB
함께	함께/MAG
어울려	어울리/VV+어/EC
식사하게	식사하/VA+게/EC
만드는	만들/VV+는/ETM
것으로	것/NNB+으로/JKB
UCLA를	UCLA/SL+를/JKO
포함해	포함하/VV+여/EC
수	수/NNB
많은	많/VA+은/ETM
학교에서	학교/NNG+에서/JKB
진행되고	진행되/VV+고/EC
있다	있/VX+다/EC

프랜드는	프랜드/NNG+는/JX
여기서	여기/NP+서/JKB
그치지	그치/VV+지/EC
않고	않/VX+고/EC
캠프까지	캠프/NNG+까지/JX
마련해	마련하/VV+여/EC
자연	자연/NNG
속에서	속/NNG+에서/JKB
둘	두/VV+ㄹ/ETM
사이의	사이/NNG+의/JKG
거리를	거리/NNG+를/JKO
더욱	더욱/MAG
좁혀가고	좁히/VV+어/EC+가/VX+고/EC
있다	있/VX+다/EC

프랜드	프랜드/NNG
홈페이지의	홈페이지/NNG+의/JKG
설명에	설명/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/MM
프로그램은	프로그램/NNG+은/JX
장애와	장애/NNG+와/JC
비장애의	비장애/NNG+의/JKG
간격을	간격/NNG+을/JKO
더	더/MAG
좁히는	좁히/VV+는/ETM
계기를	계기/NNG+를/JKO
마련해	마련하/VV+여/EC
주기	주/VX+기/ETN
위해서	위하/VV+여서/EC
시행되고	시행되/VV+고/EC
있다	있/VX+다/EC

이	이/MM
프로그램에	프로그램/NNG+에/JKB
비장애인	비/XPN+장애인/NNG
학생들이	학생/NNG+들/XSN+이/JKS
등록하면	등록하/VV+면/EC
자폐증	자폐증/NNG
학생들과	학생/NNG+들/XSN+과/JC
친구를	친구/NNG+를/JKO
맺어	맺/VV+어/EC
주고	주/VX+고/EC
친구와	친구/NNG+와/JC
점심을	점심/NNG+을/JKO
함께하는	함께하/VV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
극장이나	극장/NNG+이나/JC
음식점들도	음식점/NNG+들/XSN+도/JX
함께	함께/MAG
다니며	다니/VV+며/EC
우정을	우정/NNG+을/JKO
돈독하게	돈독하/VA+게/EC
키워간다	키우/VV+어/EC+가/VX+ㄴ다/EF

홈페이지는	홈페이지/NNG+는/JX
이	이/MM
프로그램이	프로그램/NNG+이/JKS
주는	주/VV+는/ETM
긍정적	긍정적/NNG
효과로	효과/NNG+로/JKB
학생	학생/NNG
때부터	때/NNG+부터/JX
장애와	장애/NNG+와/JC
비장애인들이	비장애인/NNG+들/XSN+이/JKS
어울려	어울리/VV+어/EC
나중에	나중/NNG+에/JKB
자라서	자라/VV+아서/EC
건전한	건전하/VA+ㄴ/ETM
인격을	인격/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
성인으로	성인/NNG+으로/JKB
성장해	성장하/VV+여/EC
사회를	사회/NNG+를/JKO
더	더/MAG
밝해	밝하/VV+여/EC
만들	만들/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
들고	들/VV+고/EC
있다	있/VX+다/EC

바바라,	바바라/NNP+,/SP
그녀가	그녀/NP+가/JKS
점심	점심/NNG
시간에	시간/NNG+에/JKB
학교에서	학교/NNG+에서/JKB
본	보/VV+ㄴ/ETM
자폐증	자폐증/NNG
학생의	학생/NNG+의/JKG
고독,	고독/NNG+,/SP
그	그/MM
때	때/NNG
가졌던	가지/VV+었/EP+던/ETM
작은	작/VA+은/ETM
사랑의	사랑/NNG+의/JKG
불씨가	불/NNP+씨/NNB+가/JKS
이제	이제/MAG
미	미/NNP
전역에	전역/NNG+에/JKB
싹으로	싹/NNG+으로/JKB
자라고	자라/VV+고/EC
있다	있/VX+다/EC

서클	서클/NNG
오브	오브/NNG
프랜드	프랜드/NNG
캠프	캠프/NNG

(오스틴	(/SS+오스틴/NNP
데일리	데일리/NNP
헤럴드	헤럴드/NNG
캡처화면)	캡처화면/NNP+)/SS
ⓒ샘	ⓒ샘/SN
*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
