특수학교서	특수학교/NNG+서/JKB
가까운	가깝/VA+ㄴ/ETM
학생	학생/NNG
우선배치	우선배치/NNG
‘제동’	‘/SN+제동/NNP+’/SL

특수교육	특수교육/NNG
대상자의	대상자/NNG+의/JKG
학교	학교/NNG
배치기준	배치기준/NNG
해석	해석/NNG
오류를	오류/NNG+를/JKO
인정한	인정하/VV+ㄴ/ETM
서울특별시교육청	서울/NNP+특별시교육청/NNG
행정심판위원회(이하	행정심판위원회/NNG+(/SS+이하/NNG
위원회)의	위원회/NNG+)/SS+의/JKG
재결(판결)이	재결/NNG+(/SS+판결/NNG+)/SS+이/JKS
나와	나오/VV+아/EC
주목된다	주목되/VV+ㄴ다/EF

위원회는	위원회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
특수학교	특수학교/NNG
정원	정원/NNG
초과	초과/NNG
등의	등/NNB+의/JKG
이유를	이유/NNG+를/JKO
들며	들/VV+며/EC
특수학교	특수학교/NNG
미배치	미배치/NNG
처분을	처분/NNG+을/JKO
받은	받/VV+은/ETM
장애학생들을	장애학생/NNG+들/XSN+을/JKO
특수학교(서울동천학교)에	특수학교/NNG+(/SS+서울동천학교/NNP+)/SS+에/JKB
재배치하라고	재/XPN+배치하/VV+라고/EC
주문했다	주문하/VV+였/EP+다/EF

이는	이/NP+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
특수학교	특수학교/NNG
배치를	배치/NNG+를/JKO
받지	받/VV+지/EC
못한	못하/VX+ㄴ/ETM
서울시	서울시/NNP
중랑구에	중랑구/NNP+에/JKB
거주하는	거주하/VV+는/ETM
중학교	중학교/NNG
입학	입학/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
장애학생	장애학생/NNG
부모들이(이하	부모/NNG+들/XSN+이/JKS+(/SS+이하/NNG
청구인)	청구인/NNG+)/SS
위원회에	위원회/NNG+에/JKB
청구한	청구하/VV+ㄴ/ETM
행정심판에	행정심판/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최종	최종/NNG
판결이다	판결/NNG+이/VCP+다/EC

서울시북부교육청	서울시/NNP+북부교육청/NNG
특수교육운영위원회(이하	특수교육운영위원회/NNG+(/SS+이하/NNG
피청구인)가	피청구인/NNG+)/SS+가/JKS
‘장애인	‘/SN+장애인/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
특수교육법(이하	특수교육법/NNG+(/SS+이하/NNG
특수교육법)’의	특수교육법/NNG+)/SS+’/SL+의/JKG
‘거주지에서	‘/SL+거주지/NNG+에서/JKB
가장	가장/MAG
가까운	가깝/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
배치해야	배치하/VV+여야/EC
한다’는	하/VX+ㄴ다/EF+’/SL+는/JX
조항	조항/NNG
취지와는	취지/NNG+와/JKB+는/JX
다른	다르/VA+ㄴ/ETM
배치기준을	배치기준/NNG+을/JKO
적용했다고	적용하/VV+였/EP+다고/EC
주장한	주장하/VV+ㄴ/ETM
청구인들의	청구인/NNG+들/XSN+의/JKG
손을	손/NNG+을/JKO
들어	들/VV+어/EC
준	주/VX+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

피청구인은	피청구인/NNG+은/JX
지난해	지난해/NNG
다른	다른/MM
지역교육청의	지역교육청/NNG+의/JKG
관행을	관행/NNG+을/JKO
참고하고	참고하/VV+고/EC
같은	같/VA+은/ETM
사정에	사정/NNG+에/JKB
있는	있/VA+는/ETM
특수교육대상	특수교육대상/NNG
학생들의	학생/NNG+들/XSN+의/JKG
통학시간과	통학시간/NNG+과/JC
거리,	거리/NNG+,/SP
학교버스	학교버스/NNG
운행노선,	운행노선/NNG+,/SP
특수학교	특수학교/NNG
정원	정원/NNG
내	내/NNB
과도한	과도하/VA+ㄴ/ETM
초과	초과/NNG
배치	배치/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
특수학교가	특수학교/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
인근	인근/NNG
일반	일반/NNG
중학교	중학교/NNG
특수학급	특수학급/NNG
배치를	배치/NNG+를/JKO
결정했다	결정하/VV+였/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
위원회는	위원회/NNG+는/JX
피청구인이	피청구인/NNG+이/JKS
적용한	적용하/VV+ㄴ/ETM
특수학교	특수학교/NNG
배치	배치/NNG
기준은	기준/NNG+은/JX
특수교육법	특수교육법/NNG
자체의	자체/NNG+의/JKG
취지를	취지/NNG+를/JKO
정확하게	정확하/VA+게/EC
파악하지	파악하/VV+지/EC
못하고,	못하/VX+고/EC+,/SP
헌법	헌법/NNG
제11조	제/XPN+11/SN+조/NNB
법	법/NNG
앞의	앞/NNG+의/JKG
평등	평등/NNG
원칙과	원칙/NNG+과/JKB
충돌하는	충돌하/VV+는/ETM
잘못이	잘못/NNG+이/JKS
있다고	있/VA+다고/EC
판단했다	판단하/VV+였/EP+다/EC

특수교육법에는	특수교육법/NNG+에/JKB+는/JX
교육장과	교육장/NNG+과/JC
교육감은	교육감/NNG+은/JX
특수교육대상자를	특수교육대상자/NNG+를/JKO
특수교육운영위원회의	특수교육운영위원회/NNG+의/JKG
심사와	심사/NNG+와/JC
장애정도,	장애정도/NNG+,/SP
능력,	능력/NNG+,/SP
보호자의	보호자/NNG+의/JKG
의견	의견/NNG
등을	등/NNB+을/JKO
종합적으로	종합적/NNG+으로/JKB
판단해서	판단하/VV+여서/EC
거주지에서	거주지/NNG+에서/JKB
가장	가장/MAG
가까운	가깝/VA+ㄴ/ETM
곳(학교)에	곳/NNG+(/SS+학교/NNG+)/SS+에/JKB
배치하도록	배치하/VV+도록/EC
돼	되/VV+어/EC
있다	있/VX+다/EC

‘거주지에서	‘/SN+거주지/NNG+에서/JKB
가까운	가깝/VA+ㄴ/ETM
곳’은	곳/NNG+’/SN+은/JX
학생	학생/NNG
입장에서	입장/NNG+에서/JKB
학생이	학생/NNG+이/JKS
거주하는	거주하/VV+는/ETM
곳을	곳/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
가까운	가깝/VA+ㄴ/ETM
곳이라고	곳/NNG+이/VCP+라고/EC
하는	하/VV+는/ETM
의미임에도	의미/NNG+이/VCP+ㅁ에도/EC
불구하고	불구하/VV+고/EC
실제	실제/NNG
처분은	처분/NNG+은/JX
이	이/MM
기준을	기준/NNG+을/JKO
적용하지	적용하/VV+지/EC
않고,	않/VX+고/EC+,/SP
반대로	반대/NNG+로/JKB
학교를	학교/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
‘학교에서	‘/SN+학교/NNG+에서/JKB
가까운	가깝/VA+ㄴ/ETM
학생들’을	학생/NNG+들/XSN+’/SL+을/JKO
우선	우선/MAG
배치했다는	배치하/VV+였/EP+다는/ETM
것	것/NNB

위원회는	위원회/NNG+는/JX
또한	또한/MAG
학생	학생/NNG
배치	배치/NNG
시	시/NNG
다른	다른/MM
지역교육청의	지역교육청/NNG+의/JKG
특수교육운영위원회	특수교육운영위원회/NNG
기준(관내	기준/NNG+(/SS+관내/NNG
학생	학생/NNG
우선	우선/NNG
배치)을	배치/NNG+)/SS+을/JKO
고려했다고	고려하/VV+였/EP+다고/EC
하지만	하/VV+지만/EC
합리적	합리적/NNG
이유	이유/NNG
없이	없이/MAG
다른	다른/MM
관내	관내/NNG
학생을	학생/NNG+을/JKO
차별하는	차별하/VV+는/ETM
것으로	것/NNB+으로/JKB
헌법의	헌법/NNG+의/JKG
평등원칙을	평등원칙/NNG+을/JKO
위반했다고	위반하/VV+였/EP+다고/EC
결론	결론/NNG
내렸다	내리/VV+었/EP+다/EC

특히	특히/MAG
위원회는	위원회/NNG+는/JX
피청구인이	피청구인/NNG+이/JKS
이미	이미/MAG
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
학생들의	학생/NNG+들/XSN+의/JKG
쾌적한	쾌적하/VA+ㄴ/ETM
환경에서	환경/NNG+에서/JKB
교육받을	교육/NNG+받/VV+을/ETM
권리를	권리/NNG+를/JKO
주장하고	주장하/VV+고/EC
있지만	있/VX+지만/EC
서울동천학교가	서울동천학교/NNP+가/JKS
2010년부터	2010/SN+년/NNB+부터/JX
2012년까지	2012/SN+년/NNB+까지/JX
6명이나	6/SN+명/NNB+이나/JX
입학정원을	입학정원/NNG+을/JKO
초과한	초과하/VV+ㄴ/ETM
전례를	전례/NNG+를/JKO
살펴볼	살펴보/VV+ㄹ/ETM
때	때/NNG
학생들의	학생/NNG+들/XSN+의/JKG
교육받을	교육/NNG+받/VV+을/ETM
권리	권리/NNG
박탈보다	박탈/NNG+보다/JKB
절실한	절실하/VA+ㄴ/ETM
문제라고	문제/NNG+이/VCP+라고/EC
판단되지	판단되/VV+지/EC
않는다고	않/VX+는다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
위원회는	위원회/NNG+는/JX
“지역교육청이	“/SL+지역교육청/NNG+이/JKS
학생들의	학생/NNG+들/XSN+의/JKG
특수학교	특수학교/NNG
배치에	배치/NNG+에/JKB
있어	있/VA+어/EC
관내	관내/NNG
우선	우선/MAG
원칙을	원칙/NNG+을/JKO
적용한	적용하/VV+ㄴ/ETM
관행이	관행/NNG+이/JKS
있다면	있/VA+다면/EC
즉시	즉시/NNG
바로	바로/MAG
잡아야	잡/VV+아야/EC
할	하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“향후	“/SL+향후/NNG
서울시교육청은	서울시/NNP+교육청/NNG+은/JX
특수학교에서	특수학교/NNG+에서/JKB
교육	교육/NNG
받을	받/VV+을/ETM
권리를	권리/NNG+를/JKO
박탈당하는	박탈/NNG+당하/XSV+는/ETM
일이	일/NNG+이/JKS
재발되지	재발되/VV+지/EC
않도록	않/VX+도록/EC
수요에	수요/NNG+에/JKB
비해	비하/VV+여/EC
모자라는	모자라/VV+는/ETM
특수학교	특수학교/NNG
증설에	증설/NNG+에/JKB
박차를	박차/NNG+를/JKO
가해야	가하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
주문했다	주문하/VV+였/EP+다/EF

이어	이어/MAG
“특수교육법의	“/SN+특수교육법/NNG+의/JKG
배치기준은	배치기준/NNG+은/JX
지원	지원/NNG
대상	대상/NNG
학교가	학교/NNG+가/JKS
수요에	수요/NNG+에/JKB
비해	비하/VV+여/EC
수용할	수용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
정원이	정원/NNG+이/JKS
부족한	부족하/VA+ㄴ/ETM
경우,	경우/NNG+,/SP
서로	서로/MAG
경합관계에	경합관계/NNG+에/JKB
서는	서/VV+는/ETM
학생들	학생/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
공정하게	공정하/VA+게/EC
배치할	배치하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
잣대로	잣대/NNG+로/JKB
부족하다”며	부족하/VA+다/EC+”/VX+며/EC
“재발되지	“재발되/VV+지/EC
않도록	않/VX+도록/EC
지원	지원/NNG
당사자들이	당사자/NNG+들/XSN+이/JKS
모두	모두/MAG
납득할	납득하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
세부기준을	세부기준/NNG+을/JKO
마련해야	마련하/VV+여야/EC
한다”고	하/VX+ㄴ다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
재결에	재결/NNG+에/JKB
대해	대하/VV+여/EC
지속적으로	지속적/NNG+으로/JKB
문제를	문제/NNG+를/JKO
제기해	제기하/VV+여/EC
온	오/VX+ㄴ/ETM
중랑통합부모회	중랑/NNP+통합부모회/NNG
이현배	이현배/NNP
회장은	회장/NNG+은/JX
특수교육대상자들을	특수교육대상자/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
의미	의미/NNG
있는	있/VA+는/ETM
결과라고	결과/NNG+이/VCP+라고/EC
기쁨을	기쁨/NNG+을/JKO
감추지	감추/VV+지/EC
못했다	못하/VX+였/EP+다/EC

이현배	이현배/NNP
회장은	회장/NNG+은/JX
“미배치된	“미/SN+배치되/VV+ㄴ/ETM
6명의	6/SN+명/NNB+의/JKG
학생들이	학생/NNG+들/XSN+이/JKS
학교	학교/NNG
배치	배치/NNG
심사가	심사/NNG+가/JKS
재논의	재논/NNG+의/JKG
