장애인단체	장애인단체/NNG
"충북	"/SS+충북/NNP
유아특수교사	유아/NNP+특수교사/NNG
52명	52/SN+명/NNB
증원해야"	증원하/VV+여야/EF+"/SS

(청주=연합뉴스)	(/SS+청주/NNP+=/SW+연합뉴스/NNP+)/SS
심규석	심규석/NNP
기자	기자/NNG
=	=/SW
`장애인	`/SW+장애인/NNG
교육권	교육권/NNG
및	및/MAG
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연대회의'는	연대회의/NNG+'/SS+는/JX
5일	5/SN+일/NNB
충북도교육청에	충북도교육청/NNP+에/JKB
장애	장애/NNG
영·유아를	영/NNG+·/SP+유아/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
유치원	유치원/NNG
학급	학급/NNG
설치와	설치/NNG+와/JC
유아특수교사	유아특수교사/NNG
증원을	증원/NNG+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

연대회의는	연대회의/NNG+는/JX
이날	이날/NNG
도교육청	도교육청/NNG
앞에서	앞/NNG+에서/JKB
결의대회를	결의대회/NNG+를/JKO
열고	열/VV+고/EC
"교육청이	"/SS+교육청/NNG+이/JKS
유아특수교사조차	유아특수교사/NNG+조차/JX
확보하지	확보하/VV+지/EC
않고	않/VX+고/EC
무상·의무	무상/NNG+·/SP+의무/NNG
교육을	교육/NNG+을/JKO
추진하고	추진하/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
이같이	이같이/MAG
요구했다	요구하/VV+었/EP+다/EC

연대회의는	연대회의/NNG+는/JX
"정부가	"/SS+정부/NNG+가/JKS
내년도	내년도/NNG
전국	전국/NNG
특수교사	특수교사/NNG
정원을	정원/NNG+을/JKO
196명	196/SN+명/NNB
증원하면서	증원하/VV+면서/EC
유아특수교사는	유아특수교사/NNG+는/JX
4명만	4/SN+명/NNB+만/JX
포함했다"며	포함하/VV+였/EP+다/EF+"/SS+며/EC
"학생	"/SS+학생/NNG
수요를	수요/NNG+를/JKO
감안하면	감안하/VV+면/EC
충북에서만	충북/NNP+에서/JKB+만/JX
52명의	52/SN+명/NNB+의/JKG
유아특수	유아특수/NNG
교사를	교사/NNG+를/JKO
선발해야	선발하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

이	이/MM
단체는	단체/NNG+는/JX
또	또/MAG
장애	장애/NNG
영·유아의	영/NNG+·/SP+유아/NNG+의/JKG
무상·의무	무상/NNG+·/SP+의무/NNG
교육	교육/NNG
실현을	실현/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특수학교	특수학교/NNG
증설,	증설/NNG+,/SP
시·군	시/NNG+·/SP+군/NNG
공립	공립/NNG
유치원별	유치원/NNG+별/XSN
1개	1/SN+개/NNB
이상의	이상/NNG+의/JKG
특수학급	특수학급/NNG
설치가	설치/NNG+가/JKS
필요하다고	필요하/VA+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

연대회의는	연대회의/NNG+는/JX
6일	6/SN+일/NNB
서울	서울/NNP
세종로	세종로/NNP
정부중앙청사	정부중앙청사/NNG
앞에서	앞/NNG+에서/JKB
유아특수교사	유아특수교사/NNG
증원을	증원/NNG+을/JKO
요구하는	요구하/VV+는/ETM
전국	전국/NNG
규모의	규모/NNG+의/JKG
결의대회를	결의대회/NNG+를/JKO
열	열/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

ks@yna	ks/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
