'학생	'/SS+학생/NNG
4명당	4/SN+명/NNB+당/XSN
1명'	1/SN+명/NNB+'/SS
특수교원	특수교원/NNG
배치	배치/NNG
법률에	법률/NNG+에/JKB
명시	명시/NNG

특수교원	특수교원/NNG
배치의	배치/NNG+의/JKG
실효성을	실효성/NNG+을/JKO
확보하는	확보하/VV+는/ETM
동시에	동시/NNG+에/JKB
특수학급	특수학급/NNG
설치기준과	설치기준/NNG+과/JC
특수교육교원의	특수교육교원/NNG+의/JKG
배치기준	배치기준/NNG
등을	등/NNB+을/JKO
점검·평가해	점검/NNG+·/SP+평가하/VV+여/EC
그	그/MM
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
해당	해당/NNG
학교에	학교/NNG+에/JKB
행정적·재정적으로	행정적/NNG+·/SP+재정적/NNG+으로/JKB
지원하는	지원하/VV+는/ETM
법안이	법안/NNG+이/JKS
발의됐다	발의되/VV+었/EP+다/EF

민주통합당	민주통합당/NNP
김우남	김우남/NNP
의원은	의원/NNG+은/JX
10일	10/SN+일/NNB
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
‘장애인	‘/SL+장애인/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
특수교육법	특수교육법/NNG
일부개정법률안’을	일부개정법률안/NNG+’/SL+을/JKO
대표	대표/NNG
발의했다	발의하/VV+였/EP+다/EF

현재	현재/MAG
장애인	장애인/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
특수교육법에는	특수교육법/NNG+에/JKB+는/JX
특수교육대상자들에	특수교육대상자/NNG+들/XSN+에/JKB
대해	대하/VV+여/EC
학급당	학급/NNG+당/XSN
학생	학생/NNG
수의	수/NNG+의/JKG
상한선을	상한선/NNG+을/JKO
유치원	유치원/NNG
4명,	4/SN+명/NNB+,/SP
초등학교	초등학교/NNG
6명,	6/SN+명/NNB+,/SP
중학교	중학교/NNG
6명,	6/SN+명/NNB+,/SP
고등학교	고등학교/NNG
7명으로	7/SN+명/NNB+으로/JKB
정하고	정하/VV+고/EC
있다	있/VX+다/EC

또한	또한/MAG
특수학교와	특수학교/NNG+와/JC
특수학급에	특수학급/NNG+에/JKB
두는	두/VV+는/ETM
특수교육교원의	특수교육교원/NNG+의/JKG
배치기준은	배치기준/NNG+은/JX
대통령령으로	대통령령/NNG+으로/JKB
정하도록	정하/VV+도록/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
동법	동법/NNG
시행령에는	시행령/NNG+에/JKB+는/JX
배치하는	배치하/VV+는/ETM
특수교육	특수교육/NNG
담당	담당/NNG
교사는	교사/NNG+는/JX
학생	학생/NNG
4명마다	4/SN+명/NNB+마다/JX
1명으로	1/SN+명/NNB+으로/JKB
하고	하/VV+고/EC
지역별	지역/NNG+별/XSN
분포	분포/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
특별시·광역시	특별시/NNG+·/SP+광역시/NNG
등의	등/NNB+의/JKG
교사는	교사/NNG+는/JX
교육과학기술부장관이	교육과학기술부장관/NNG+이/JKS
단위	단위/NNG
학교·학급별	학교/NNG+·/SP+학급/NNG+별/XSN
교사는	교사/NNG+는/JX
해당	해당/NNG
교육감	교육감/NNG
또는	또는/MAG
교육장이	교육장/NNG+이/JKS
배치	배치/NNG
기준의	기준/NNG+의/JKG
40퍼센트의	40/SN+퍼센트/NNB+의/JKG
범위에서	범위/NNG+에서/JKB
가감해	가감하/VA+여/EC
배치할	배치하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
지난해	지난해/NNG
전국장애인교육권연대의	전/MM+국장애인교육권연대/NNG+의/JKG
실태조사에	실태조사/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
일반학교	일반학교/NNG
9,756개	9,756/SN+개/NNB
중	중/NNB
5,785개교(59	5,785/SN+개/NNB+교/NNG+(/SS+59/SN

3%)와	3/SN+%/SW+)/SS+와/JC
특수학교	특수학교/NNG
155개	155/SN+개/NNB
중	중/NNB
101개교(65	101/SN+개/NNB+교/NNG+(/SS+65/SN

2%)가	2/SN+%/SW+)/SS+가/JKS
학급당	학급/NNG+당/XSN
