“누리과정,	“/SL+누리과정/NNG+,/SP
비장애유아	비장애유아/NNG
중심으로	중심/NNG+으로/JKB
설계됐다”	설계되/VV+었/EP+다/EF+”/JKG

올해	올해/NNG
3월부터	3/SN+월/NNB+부터/JX
만	만/MM
5세	5/SN+세/NNB
유아	유아/NNG
대상으로	대상/NNG+으로/JKB
실시되고	실시되/VV+고/EC
있는	있/VX+는/ETM
‘누리과정’에	‘/SL+누리과정’/NNG+에/JKB
‘장애인	‘/SN+장애인/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
특수교육법(이하	특수교육법/NNG+(/SS+이하/NNG
특수교육법)’에	특수교육법/NNG+)/SS+’/SL+에/JKB
따라	따르/VV+아/EC
의무교육대상자인	의무교육대상자/NNG+이/VCP+ㄴ/ETM
장애유아가	장애유아/NNP+가/JKS
배제돼	배제되/VV+어/EC
있어	있/VX+어/EC
정책	정책/NNG
개선이	개선/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
지적이다	지적/NNG+이/VCP+다/EC

이	이/NP
같은	같/VA+은/ETM
목소리는	목소리/NNG+는/JX
전국장애아동보육제공기관협의회(이하	전국장애아동보육제공기관협의회/NNP+(/SS+이하/NNG
장보협)가	장보협/NNP+)/SS+가/JKS
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
이룸센터에서	이룸센터/NNG+에서/JKB
개최한	개최하/VV+ㄴ/ETM
‘장애아동복지지원법	‘/SL+장애아동복지지원법/NNG
이행과	이행/NNG+과/JC
장애아	장애아/NNG
보육의	보육/NNG+의/JKG
질적	질적/NNG
개선	개선/NNG
위한	위하/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
예산요구	예산요구/NNG
관련	관련/NNG
토론회’에서	토론회/NNG+’/SL+에서/JKB
나왔다	나오/VV+았/EP+다/EF

토론회에	토론회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
장애아동복지지원법	장애아동복지지원법/NNG
제정을	제정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공동대책위원회	공동대책위원회/NNG
김치훈	김치훈/NNP
집행위원장(전국장애인부모연대	집행위원장/NNG+(/SS+전국장애인부모연대/NNP
정책실장)은	정책실장/NNG+)/SS+은/JX
‘장애유아	‘/SN+장애유아/NNP
의무교육	의무교육/NNG
시행을	시행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
만5세	만/MM+5/SN+세/NNB
누리과정	누리과정/NNG
정책요구안’을	정책요구안/NNG+’/SL+을/JKO
발표,	발표/NNG+,/SP
조목조목	조목조목/NNG
문제점을	문제점/NNG+을/JKO
설명했다	설명하/VV+었/EP+다/EC

누리과정은	누리과정/NNG+은/JX
부모의	부모/NNG+의/JKG
소득수준과	소득수준/NNG+과/JKB
관계없이	관계없이/MAG
모든	모든/MM
어린이집	어린이집/NNG
보육료와	보육/NNG+료/XSN+와/JC
유아학비를	유아학비/NNG+를/JKO
지원하고,	지원하/VV+고/EC+,/SP
공통된	공통되/VV+ㄴ/ETM
보육교육이	보육교육/NNG+이/JKS
실시된다	실시되/VV+ㄴ다/EF

올해	올해/NNG
3월	3/SN+월/NNB
만	만/MM
5세	5/SN+세/NNB
유아를	유아/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
시행되고	시행되/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
정부는	정부/NNG+는/JX
내년	내년/NNG
대상	대상/NNG
확대를	확대/NNG+를/JKO
계획하고	계획하/VV+고/EC
있다	있/VX+다/EC

반면	반면/NNG
장애유아	장애유아/NNP
의무교육은	의무교육/NNG+은/JX
특수교육법에	특수교육법/NNG+에/JKB
따라	따르/VV+아/EC
만3세	말/VX+ㄴ/EF+3/SN+세/NNB
이상	이상/NNG
장애유아가	장애유아/NNG+가/JKS
유치원	유치원/NNG
또는	또는/MAG
일정한	일정하/VA+ㄴ/ETM
교육요건을	교육요건/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
어린이집을	어린이집/NNG+을/JKO
이용하면	이용하/VV+면/EC
대상이	대상/NNG+이/JKC
된다	되/VV+ㄴ다/EF

장애아동복지지원법	장애아동복지지원법/NNG
제정을	제정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공동대책위원회	공동대책위원회/NNG
김치훈	김치훈/NNP
집행위원장이	집행위원장/NNG+이/JKS
'장애유아	'/SS+장애유아/NNP
의무교육	의무교육/NNG
시행을	시행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
만5세	만/MM+5/SN+세/NNB
누리과정	누리과정/NNG
정책요구안'에	정책요구안/NNG+'/SS+에/JKB
대해	대하/VV+여/EC
설명하고	설명하/VV+고/EC
있다	있/VX+다/EC

■장애유아	■/SW+장애유아/NNP
누리과정에	누리과정/NNG+에/JKB
배제=먼저	배제/NNG+=/SW+먼저/MAG
김	김/NNP
위원장은	위원장/NNG+은/JX
누리과정의	누리/NP+과정/NNG+의/JKG
정책	정책/NNG
수립	수립/NNG
초기단계부터	초기단계/NNG+부터/JX
정부가	정부/NNG+가/JKS
의무교육	의무교육/NNG
대상자인	대상자/NNG+이/VCP+ㄴ/ETM
장애유아를	장애유아/NNP+를/JKO
배제하고	배제하/VV+고/EC
비장애유아	비장애유아/NNG
일반을	일반/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
제도를	제도/NNG+를/JKO
설계,	설계/NNG+,/SP
추진하고	추진하/VV+고/EC
있다고	있/VX+다고/EC
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

또한	또한/MAG
장애유아	장애유아/NNP
의무교육	의무교육/NNG
여건이	여건/NNG+이/JKS
제대로	제대로/MAG
마련되지	마련되/VV+지/EC
못한	못하/VX+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
지방교육재정교부금을	지방교육재정교부금/NNG+을/JKO
누리과정을	누리과정/NNG+을/JKO
통해	통하/VV+여/EC
의무교육대상자가	의무교육대상자/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
전체	전체/NNG
비장애	비장애/NNG
만5세	만/MM+5/SN+세/NNB
유아에게	유아/NNG+에게/JKB
지원하는	지원하/VV+는/ETM
것은	것/NNB+은/JX
장애유아의	장애유아/NNP+의/JKG
의무교육의	의무교육/NNG+의/JKG
책임을	책임/NNG+을/JKO
‘방기’하는	‘/SN+방/NNG+기’하/VV+는/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EF

현재	현재/MAG
지방교육재정교부금법에	지방교육재정교부금법/NNG+에/JKB
따라	따르/VV+아/EC
의무교육에	의무교육/NNG+에/JKB
종사하는	종사하/VV+는/ETM
교원의	교원/NNG+의/JKG
보수와	보수/NNG+와/JC
기타	기타/NNG
의무교육에	의무교육/NNG+에/JKB
관련된	관련되/VV+ㄴ/ETM
경비를	경비/NNG+를/JKO
지방교육재정교부금과	지방교육재정교부금/NNG+과/JC
지방자치단체의	지방자치단체/NNG+의/JKG
일반회계로부터	일반회계/NNG+로부터/JKB
전입금으로	전입금/NNG+으로/JKB
국가와	국가/NNG+와/JC
지방자치단체가	지방자치단체/NNG+가/JKS
부담하도록	부담하/VV+도록/EC
규정하고	규정하/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
김	김/NNP
위원장은	위원장/NNG+은/JX
“누리과정을	“/SL+누리과정/NNG+을/JKO
통해	통하/VV+여/EC
장애유아	장애유아/NNP
의무교육	의무교육/NNG
시행의	시행/NNG+의/JKG
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
방안을	방안/NNG+을/JKO
마련해야	마련하/VV+여야/EC
한다”면서	하/VX+ㄴ다”면서/EC
“특수교육대상자로	“/SL+특수교육대상자/NNG+로/JKB
선정된	선정되/VV+ㄴ/ETM
장애유아는	장애유아/NNP+는/JX
의무교육대상자임으로	의무교육대상자임/NNG+으로/JKB
만	만/MM
5세	5/SN+세/NNB
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
만	만/MM
4,	4/SN+,/SP
3세까지	3/SN+세/NNB+까지/JX
포함해	포함하/VV+여/EC
누리과정에	누리과정/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
지원을	지원/NNG+을/JKO
확대해야	확대하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
제시했다	제시하/VV+였/EP+다/EC

정부가	정부/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
누리과정	누리/NP+과정/NNG
운영기준에는	운영기준/NNG+에/JKB+는/JX
만	만/MM
5세	5/SN+세/NNB
장애유아가	장애유아/NNG+가/JKS
부족할	부족하/VA+ㄹ/ETM
때	때/NNG
만	만/JX
6세	6/SN+세/NNB
이상,	이상/NNG+,/SP
만	만/MM
4세	4/SN+세/NNB
이하	이하/NNG
순으로	순/XSN+으로/JKB
어린이집	어린이집/NNG
반	반/NNG
편성을	편성/NNG+을/JKO
하도록	하/VV+도록/EC
규정하고	규정하/VV+고/EC
있다	있/VX+다/EC

김	김/NNP
위원장은	위원장/NNG+은/JX
“누리과정	“/SL+누리과정/NNG
예산편성에	예산편성/NNG+에/JKB
장애유아	장애유아/NNG
의무교육	의무교육/NNG
시행을	시행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
항목을	항목/NNG+을/JKO
설정해야	설정하/VV+여야/EC
한다”며	하/VX+ㄴ다”며/EC
“현	“/SL+현/NNG
누리과정	누리과정/NNG
운영기준에서	운영기준/NNG+에서/JKB
규정하는	규정하/VV+는/ETM
장애아	장애아/NNG
보육료	보육/NNG+료/XSN
및	및/MAG
어린이집	어린이집/NNG
특수교사	특수교사/NNG
인건비	인건비/NNG
등	등/NNB
지원과는	지원/NNG+과/JKB+는/JX
별도로	별도/NNG+로/JKB
일반유치원의	일반유치원/NNG+의/JKG
특수학급	특수학급/NNG
설치와	설치/NNG+와/JC
유아	유아/NNG
특수교사	특수교사/NNG
인건비	인건비/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
누리과정	누리과정/NNG
예산편성을	예산편성/NNG+을/JKO
지침으로	지침/NNG+으로/JKB
마련할	마련하/VV+ㄹ/ETM
것”을	것/NNB+”/SL+을/JKO
요구했다	요구하/VV+었/EP+다/EC

더불어	더불/VV+어/EC
“내년	“/SL+내년/NNG
누리과정	누리과정/NNG
예산수립에	예산수립/NNG+에/JKB
어린이집	어린이집/NNG
장애유아	장애유아/NNG
의무교육	의무교육/NNG
시행을	시행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
항목을	항목/NNG+을/JKO
수립하고,	수립하/VV+고/EC+,/SP
장애유아를	장애유아/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
교재·교구비,	교재/NNG+·/SP+교구비/NNG+,/SP
급식비	급식비/NNG
등을	등/NNB+을/JKO
유아교육기관	유아교육기관/NNG
수준으로	수준/NNG+으로/JKB
지원해야	지원하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

■장애아보육료,	■/SW+장애아보육료/NNG+,/SP
부처	부처/NNG
간	간/NNB
떠넘기기=특히	떠넘기/VV+기/ETN+=/SW+특히/MAG
김	김/NNP
위원장은	위원장/NNG+은/JX
장애아보육료를	장애아보육료/NNG+를/JKO
지방교육재정교부금으로	지방교육재정교부금/NNG+으로/JKB
분할해	분할하/VV+여/EC
지급하게	지급하/VV+게/EC
되면서	되/VV+면서/EC
부처	부처/NNG
간의	간/NNB+의/JKG
책임	책임/NNG
떠넘기기로	떠넘기/VV+기/ETN+로/JKB
번지고	번지/VV+고/EC
있다고	있/VX+다고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

김	김/NNP
위원장은	위원장/NNG+은/JX
“현재	“/SL+현재/NNG
5세	5/SN+세/NNB
누리과정은	누리과정/NNG+은/JX
유치원과	유치원/NNG+과/JC
어린이집	어린이집/NNG
간의	간/NNB+의/JKG
격차를	격차/NNG+를/JKO
줄이고	줄이/VV+고/EC
양	양/MM
기관	기관/NNG
간의	간/NNB+의/JKG
공평한	공평하/VA+ㄴ/ETM
교육수준을	교육수준/NNG+을/JKO
마련해	마련하/VV+여/EC
의무교육	의무교육/NNG
1년	1/SN+년/NNB
전	전/NNG
5세	5/SN+세/NNB
유아에게	유아/NNG+에게/JKB
동일한	동일하/VA+ㄴ/ETM
지원을	지원/NNG+을/JKO
국가수준에서	국가수준/NNG+에서/JKB
제공하겠다는	제공하/VV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
담고	담/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“어린이집에서의	“/SL+어린이집/NNG+에서/JKB+의/JKG
장애유아	장애유아/NNP
의무교육은	의무교육/NNG+은/JX
전혀	전혀/MAG
반영되지	반영되/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
기존에	기존/NNG+에/JKB
지원되던	지원/NNG+되/XSV+던/ETM
장애아보육료를	장애아보육료/NNG+를/JKO
지방교육재정교부금으로	지방교육재정교부금/NNG+으로/JKB
떠넘기면서	떠넘기/VV+면서/EC
부처의	부처/NNG+의/JKG
책임까지	책임/NNG+까지/JX
떠넘기고	떠넘기/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

현재	현재/MAG
보건복지부가	보건복지부/NNG+가/JKS
장애아보육료로	장애아보육료/NNG+로/JKB
39만	39/SN+만/NR
4천원을	4/SN+천/NR+원/NNB+을/JKO
지원하고	지원하/VV+고/EC
있었지만	있/VX+었/EP+지만/EC
누리과정	누리/NP+과정/NNG
도입으로	도입/NNG+으로/JKB
인해	인하/VV+여/EC
39만	39/SN+만/NR
4천원	4/SN+천/NR+원/NNB
중	중/NNB
20만원은	20/SN+만/NR+원/NNB+은/JX
지방교육재정교부금(교육과학기술부),	지방교육재정교부금/NNG+(/SS+교육과학기술부/NNG+)/SS+,/SP
19만	19/SN+만/NR
4천원은	4/SN+천/NR+원/NNB+은/JX
보육료(보건복지부)	보육/NNG+료/XSN+(/SS+보건복지부/NNG+)/SS
예산에서	예산/NNG+에서/JKB
지원된다	지원되/VV+ㄴ다/EF

김	김/NNP
위원장은	위원장/NNG+은/JX
“원래대로	“/SN+원래/NNG+대로/JX
복지부가	복지부/NNG+가/JKS
39만	39/SN+만/NR
4천원을	4/SN+천/NR+원/NNB+을/JKO
지급하고,	지급하/VV+고/EC+,/SP
지방교육재정교부금에	지방교육재정교부금/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
장애유아	장애유아/NNP
1인당	1/SN+인/NNG+당/XSN
20만원의	20/SN+만/NR+원/NNB+의/JKG
재정은	재정/NNG+은/JX
유아특수교사	유아특수교사/NNG
인건비	인건비/NNG
등	등/NNB
어린이집의	어린이집/NNG+의/JKG
장애유아	장애유아/NNG
의무교육	의무교육/NNG
여건개선을	여건개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
비용에	비용/NNG+에/JKB
쓰도록	쓰/VV+도록/EC
해야	하/VX+여야/EC
