장애학생	장애학생/NNG
맞춤	맞춤/NNG
국악기·지침서	국악기/NNG+·/SP+지침/NNG+서/JKB
발표	발표/NNG

파라다이스복지재단은	파라다이스복지재단/NNP+은/JX
오는	오/VV+는/ETM
14일	14/SN+일/NNB
재단	재단/NNG
연수실에서	연수실/NNG+에서/JKB
장애학생을	장애학생/NNG+을/JKO
위해	위하/VV+여/EC
개발한	개발하/VV+ㄴ/ETM
국악기	국악기/NNG
및	및/MAG
지침서를	지침서/NNG+를/JKO
소개하는	소개하/VV+는/ETM
발표회를	발표회/NNG+를/JKO
개최한다	개최하/VV+ㄴ다/EF

숙명여자대학교	숙명여자대학교/NNP
음악치료대학원	음악치료대학원/NNG
이주영	이주영/NNP
교수와	교수/NNG+와/JC
국악단	국악/NNG+단/XSN
장가악회가	장가악회/NNG+가/JKS
국악기를	국악기/NNG+를/JKO
개량하는	개량하/VV+는/ETM
작업에	작업/NNG+에/JKB
참여했고,	참여하/VV+였/EP+고/EC+,/SP
초·중등	초/NNG+·/SP+중등/NNG
교과과정에	교과과정/NNG+에/JKB
삽입되어	삽입되/VV+어/EC
있는	있/VX+는/ETM
민요	민요/NNG
총	총/MM
20곡(초등	20/SN+곡/NNG+(/SS+초등/NNG
10곡,	10/SN+곡/NNG+,/SP
중등	중등/NNG
10곡)에	10/SN+곡/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
지침서를	지침서/NNG+를/JKO
연구·개발했다	연구/NNG+·/SP+개발하/VV+였/EP+다/EC

개발	개발/NNG
된	되/VV+ㄴ/ETM
장애학생을	장애학생/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
개량	개량/NNG
국악기는	국악기/NNG+는/JX
단소(12세트),	단소/NNG+(/SS+12/SN+세트/NNG+)/SS+,/SP
가야금,	가야금/NNG+,/SP
공후,	공후/NNG+,/SP
운라,	운라/NNG+,/SP
장구채	장구채/NNG
등	등/NNB
5종이며,	5/SN+종/NNG+이/VCP+며/EC+,/SP
장애학생이	장애학생/NNG+이/JKS
연주하기	연주하/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
형태로	형태/NNG+로/JKB
개발해	개발하/VV+여/EC
기존의	기존/NNG+의/JKG
악기와	악기/NNG+와/JC
차이가	차이/NNG+가/JKS
없어	없/VA+어/EC
악기	악기/NNG
고유의	고유/NNG+의/JKG
전통성을	전통/NNG+성/XSN+을/JKO
잃지	잃/VV+지/EC
않도록	않/VX+도록/EC
했다	하/VX+였/EP+다/EC

더불어	더불/VV+어/EC
장애학생이	장애학생/NNG+이/JKS
쉽게	쉽/VA+게/EC
읽을	읽/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
어려운	어렵/VA+ㄴ/ETM
악보의	악보/NNG+의/JKG
형태가	형태/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
악기지침서와	악기지침서/NNG+와/JC
활동곡	활동곡/NNG
집을	집/NNG+을/JKO
펴냈다	펴내/VV+었/EP+다/EF

개량	개량/NNG
된	되/VV+ㄴ/ETM
국악기	국악기/NNG
및	및/MAG
지침서는	지침서/NNG+는/JX
앞으로	앞/NNG+으로/JKB
특수학교,	특수학교/NNG+,/SP
특수학급,	특수학급/NNG+,/SP
방과후	방과후/NNG
교실,	교실/NNG+,/SP
치료실	치료실/NNG
등에서	등/NNB+에서/JKB
널리	널리/MAG
활용	활용/NNG
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
보급할	보급하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
재단	재단/NNG
측은	측/NNB+은/JX
“향후	“/SN+향후/NNG
장애인의	장애인/NNG+의/JKG
국악	국악/NNG
교육이	교육/NNG+이/JKS
가능하도록	가능하/VA+도록/EC
국악기와	국악기/NNG+와/JC
지침서를	지침서/NNG+를/JKO
보급함으로써	보급하/VV+ㅁ/ETN+으로써/JKB
장애학생들도	장애학생/NNG+들/XSN+도/JX
쉽고	쉽/VA+고/EC
즐겁게	즐겁/VA+게/EC
국악기를	국악기/NNG+를/JKO
접할	접하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
음악을	음악/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
삶의	삶/NNG+의/JKG
질	질/NNG
향상에	향상/NNG+에/JKB
이바지	이바지/NNG
됐으면	되/VV+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EC+”/VV+고/EC
전했다	전하/VV+었/EP+다/EC
