특수학교	특수학교/NNG
학부모	학부모/NNG
"교사가	"/SS+교사/NNG+가/JKS
장애학생에	장애학생/NNG+에/JKB
가혹행위"	가혹행위/NNG+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
임기창	임기창/NNP
기자	기자/NNG
=	=/SW
정서·행동장애인을	정서/NNG+·/SP+행동장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특수학교인	특수학교/NNG+이/VCP+ㄴ/ETM
국립	국립/NNG
한국경진학교(경기	한국경진학교/NNP+(/SS+경기/NNP
고양시	고양시/NNP
소재)에서	소재/NNG+)/SS+에서/JKB
학생에	학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
교사의	교사/NNG+의/JKG
가혹행위가	가혹행위/NNG+가/JKS
잇따랐다는	잇따라/VV+았/EP+다는/ETM
주장이	주장/NNG+이/JKS
제기돼	제기되/VV+어/EC
국가인권위원회가	국가인권위원회/NNG+가/JKS
진상	진상/NNG
조사에	조사/NNG+에/JKB
나섰다	나서/VV+었/EP+다/EF

경진학교	경진학교/NNG
학부모회는	학부모회/NNG+는/JX
17일	17/SN+일/NNB
"2학년	"/SS+2/SN+학년/NNG
담임인	담임/NNG+이/VCP+ㄴ/ETM
A	A/SL
교사가	교사/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
여학생을	여학생/NNG+을/JKO
밀어	밀/VV+어/EC
바닥에	바닥/NNG+에/JKB
머리를	머리/NNG+를/JKO
찧게	찧/VV+게/EC
하는	하/VX+는/ETM
등	등/NNB
여러	여러/MM
차례	차례/NNG
가혹행위를	가혹행위/NNG+를/JKO
했지만	하/VV+였/EP+지만/EC
학교	학교/NNG
측은	측/NNB+은/JX
고작	고작/MAG
정직	정직/NNG
3개월의	3/SN+개월/NNB+의/JKG
징계를	징계/NNG+를/JKO
내려	내리/VV+어/EC
해당	해당/NNG
교사가	교사/NNG+가/JKS
복직하게	복직하/VA+게/EC
