미국	미국/NNP
장애학생	장애학생/NNG
57%	57/SN+%/SW
집단	집단/NNG
괴롭힘	괴롭히/VV+ㅁ/ETN
당해	당하/VV+여/EC

과거,	과거/NNG+,/SP
한국인의	한국인/NNG+의/JKG
생각이	생각/NNG+이/JKS
채	채/MAG
성숙하지	성숙하/VV+지/EC
못했을	못하/VX+였/EP+을/ETM
때	때/NNG
어린	어리/VA+ㄴ/ETM
장애	장애/NNG
학생들을	학생/NNG+들/XSN+을/JKO
괴롭히는	괴롭히/VV+는/ETM
일이	일/NNG+이/JKS
많았다	많/VA+았/EP+다/EC

그러나	그러나/MAJ
끊임없는	끊임없/VA+는/ETM
매스컴의	매스컴/NNG+의/JKG
인식	인식/NNG
개선에	개선/NNG+에/JKB
힘입어	힘입/VV+어/EC
장애	장애/NNG
아동들도	아동/NNG+들/XSN+도/JX
친구가	친구/NNG+가/JKC
되어	되/VV+어/EC
비장애	비/XPN+장애/NNG
학생들과	학생/NNG+들/XSN+과/JKB
꽤	꽤/MAG
친숙하게	친숙하/VA+게/EC
지낸다는	지내/VV+ㄴ다는/ETM
소식을	소식/NNG+을/JKO
자주	자주/MAG
접한다	접하/VV+ㄴ다/EF

골목에서도	골목/NNG+에서/JKB+도/JX
장애	장애/NNG
학생들과	학생/NNG+들/XSN+과/JKB
함께	함께/MAG
노는	놀/VV+는/ETM
훈훈한	훈훈하/VA+ㄴ/ETM
모습을	모습/NNG+을/JKO
본다고	보/VV+ㄴ다고/EC
했다	하/VV+였/EP+다/EC

기자는	기자/NNG+는/JX
한국을	한국/NNP+을/JKO
떠나온지가	떠나오/VV+ㄴ지/EC+가/JKS
너무	너무/MAG
오래되서	오래되/VV+서/EC
얼만큼	얼마/NNG+만큼/JX
변했는지	변하/VV+였/EP+는지/EC
실감은	실감/NNG+은/JX
하지	하/VV+지/EC
못하지만,	못하/VX+지만/EC+,/SP
여러	여러/MM
매체를	매체/NNG+를/JKO
보거나	보/VV+거나/EC
들려오는	들려오/VV+는/ETM
소식을	소식/NNG+을/JKO
보면	보/VV+면/EC
좋아진	좋/VA+아/EC+지/VX+ㄴ/ETM
것	것/NNB
만은	만은/JX
확실하다	확실하/VA+다/EC

그런데	그런데/MAJ
미국은	미국/NNP+은/JX
거꾸로	거꾸로/MAG
가고	가/VV+고/EC
있다	있/VX+다/EC

학교에서	학교/NNG+에서/JKB
왕따를	왕따/NNG+를/JKO
당하거나	당하/VV+거나/EC
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
괴롭힘,	괴롭히/VA+ㅁ/ETN+,/SP
그리고	그리고/MAJ
모욕을	모욕/NNG+을/JKO
당하는	당하/VV+는/ETM
경우가	경우/NNG+가/JKS
심각하게	심각하/VA+게/EC
많아서	많/VA+아서/EC
우려를	우려/NNG+를/JKO
